A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
2875, 5402, 1, "OK", 7, 62, 17, 13, 11, 2, 4, 1
2875, 4378, 1, "OK", 6, 35, 8, 6, 5, 1, 2, 1
4280, 5370, 1, "OK", 2, 26, 9, 7, 6, 1, 2, 1
2987, 4237, 1, "OK", 7, 29, 8, 6, 5, 1, 2, 1
2482, 2744, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  char quote int year int month", 0, 0, 2, 1, 1, 0, 1, 1
2816, 4421, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  float timeZoneF int timeZone", 0, 0, 8, 6, 5, 1, 2, 1
3049, 5402, 1, "OK", 10, 58, 17, 13, 11, 2, 4, 1
3049, 4378, 1, "OK", 9, 31, 8, 6, 5, 1, 2, 1
2615, 4266, 1, "OK", 3, 39, 8, 6, 5, 1, 2, 1
2180, 2399, 1, "OK", 1, 6, 2, 2, 2, 0, 0, 0
2987, 4266, 1, "OK", 8, 31, 8, 6, 5, 1, 2, 1
4280, 5402, 1, "OK", 3, 28, 9, 7, 6, 1, 2, 1
2699, 4237, 1, "OK", 2, 34, 8, 6, 5, 1, 2, 1
3073, 4421, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  float timeZoneF int timeZone", 0, 0, 8, 6, 5, 1, 2, 1
2757, 4237, 1, "OK", 3, 33, 8, 6, 5, 1, 2, 1
2875, 4421, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  float timeZoneF int timeZone", 0, 0, 8, 6, 5, 1, 2, 1
2482, 3035, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  char quote int year int month int day int hour int minute int second int millis", 0, 0, 2, 1, 1, 0, 1, 1
2090, 2399, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 3, 3, 0, 0, 0
2931, 4237, 1, "OK", 6, 30, 8, 6, 5, 1, 2, 1
3049, 4421, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  float timeZoneF int timeZone", 0, 0, 8, 6, 5, 1, 2, 1
2699, 4266, 1, "OK", 3, 36, 8, 6, 5, 1, 2, 1
2482, 3060, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  char quote int year int month int day int hour int minute int second int millis", 0, 0, 2, 1, 1, 0, 1, 1
2180, 5509, 1, "OK", 3, 83, 23, 23, 16, 7, 5, 0
2482, 2803, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  char quote int year int month int day", 0, 0, 2, 1, 1, 0, 1, 1
2647, 5370, 1, "OK", 2, 64, 17, 13, 11, 2, 4, 1
2757, 4266, 1, "OK", 4, 35, 8, 6, 5, 1, 2, 1
2482, 5370, 1, "OK", 2, 69, 19, 14, 12, 2, 5, 1
2816, 4237, 1, "OK", 4, 32, 8, 6, 5, 1, 2, 1
2090, 2170, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
2931, 4266, 1, "OK", 7, 32, 8, 6, 5, 1, 2, 1
2090, 5509, 1, "OK", 3, 88, 24, 24, 17, 7, 5, 0
2207, 2399, 1, "OK", 1, 5, 2, 2, 2, 0, 0, 0
2615, 5370, 1, "OK", 3, 66, 17, 13, 11, 2, 4, 1
2647, 5402, 1, "OK", 3, 66, 17, 13, 11, 2, 4, 1
2647, 4378, 1, "OK", 2, 39, 8, 6, 5, 1, 2, 1
2482, 5402, 1, "OK", 2, 71, 19, 14, 12, 2, 5, 1
2482, 4378, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  char quote float timeZoneF", 0, 0, 10, 7, 6, 1, 3, 1
2816, 4266, 1, "OK", 5, 34, 8, 6, 5, 1, 2, 1
2090, 2198, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
3073, 4237, 1, "OK", 7, 26, 8, 6, 5, 1, 2, 1
