A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
7765, 8183, 0, "Compilation unit does not compile after method extraction.", 3, 15, 6, 3, 3, 0, 3, 1
7414, 7542, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
6692, 6883, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 1, 2
4400, 4725, 1, "OK", 3, 6, 5, 3, 3, 0, 1, 2
7879, 7979, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
7556, 7751, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
3663, 3766, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
6392, 6976, 0, "Compilation unit does not compile after method extraction.", 1, 16, 12, 6, 5, 1, 3, 2
7313, 7865, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 4, 4, 0, 4, 1
7313, 8127, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 12, 6, 6, 0, 6, 1
5257, 5556, 1, "OK", 1, 7, 4, 2, 2, 0, 1, 2
7259, 7751, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 3, 3, 0, 3, 1
3776, 8973, 0, "Compilation unit does not compile after method extraction.", 4, 139, 70, 70, 39, 31, 20, 0
7227, 7979, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 10, 5, 5, 0, 5, 1
6347, 7108, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 14, 11, 7, 4, 3, 1
4225, 4290, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
5660, 5886, 0, "Compilation unit does not compile after method extraction.", 2, 7, 3, 1, 1, 0, 1, 2
4225, 7108, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 40, 31, 23, 8, 9, 1
3837, 4290, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 5, 4, 1, 3, 1
3837, 7108, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 46, 35, 26, 9, 11, 1
3914, 4211, 1, "OK", 1, 8, 6, 4, 3, 1, 2, 1
7227, 7751, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 3, 3, 0, 3, 1
7661, 7865, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 2, 1
7182, 7865, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 4, 4, 0, 4, 1
4787, 7108, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 31, 25, 18, 7, 6, 1
5257, 5594, 0, "Compilation unit does not compile after method extraction.", 1, 8, 4, 2, 2, 0, 1, 2
6067, 7108, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 16, 13, 9, 4, 3, 1
7661, 8127, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 4, 4, 0, 4, 1
3623, 3766, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
7182, 8127, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 12, 6, 6, 0, 6, 1
4400, 4767, 0, "Compilation unit does not compile after method extraction.", 3, 7, 5, 3, 3, 0, 1, 2
7313, 7648, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 2, 1
7765, 7979, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 2, 1
6692, 6939, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 1, 2
7313, 7400, 1, "OK", 1, 3, 2, 1, 1, 0, 1, 1
4834, 5151, 1, "OK", 3, 7, 4, 2, 2, 0, 1, 2
7259, 7542, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 2, 1
7313, 8183, 0, "Compilation unit does not compile after method extraction.", 3, 28, 12, 6, 6, 0, 6, 1
6430, 6883, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 12, 6, 5, 1, 3, 2
7414, 7865, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 3, 3, 0, 3, 1
3962, 4290, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 5, 4, 1, 3, 1
7414, 8127, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 10, 5, 5, 0, 5, 1
3962, 7108, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 46, 35, 26, 9, 11, 1
3663, 8952, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 71, 71, 40, 31, 20, 0
3882, 4211, 1, "OK", 2, 10, 6, 4, 3, 1, 2, 1
7182, 7648, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 2, 1
8307, 8870, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 5, 3, 2, 3, 1
5614, 7108, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 21, 17, 12, 5, 4, 1
7182, 7400, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  long millis TimeZone timeZone", 0, 0, 2, 1, 1, 0, 1, 1
3663, 8973, 0, "Compilation unit does not compile after method extraction.", 4, 144, 71, 71, 40, 31, 20, 0
6692, 6976, 0, "Compilation unit does not compile after method extraction.", 2, 8, 4, 2, 2, 0, 1, 2
7227, 7542, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 2, 1
7993, 8127, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
7124, 8952, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 23, 23, 12, 11, 9, 0
4834, 5190, 0, "Compilation unit does not compile after method extraction.", 3, 9, 4, 2, 2, 0, 1, 2
7414, 7648, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
7661, 8183, 0, "Compilation unit does not compile after method extraction.", 3, 19, 8, 4, 4, 0, 4, 1
5210, 7108, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 26, 21, 15, 6, 5, 1
7182, 8183, 0, "Compilation unit does not compile after method extraction.", 2, 32, 12, 6, 6, 0, 6, 1
3623, 8952, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 71, 71, 40, 31, 20, 0
6430, 6675, 1, "OK", 2, 7, 8, 4, 3, 1, 2, 2
7556, 7865, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 2, 1
8680, 8856, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 1, 1, 0, 1, 2
3914, 4290, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 5, 4, 1, 3, 1
7313, 7979, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 10, 5, 5, 0, 5, 1
3914, 7108, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 46, 35, 26, 9, 11, 1
6538, 6657, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 5, 2, 2, 0, 1, 3
7259, 7865, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 4, 4, 0, 4, 1
6430, 6939, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 12, 6, 5, 1, 3, 2
7556, 8127, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 4, 4, 0, 4, 1
7414, 8183, 0, "Compilation unit does not compile after method extraction.", 3, 24, 10, 5, 5, 0, 5, 1
5294, 5556, 1, "OK", 1, 6, 4, 2, 2, 0, 1, 2
3623, 8973, 0, "Compilation unit does not compile after method extraction.", 3, 145, 71, 71, 40, 31, 20, 0
7259, 8127, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 12, 6, 6, 0, 6, 1
4000, 4197, 1, "OK", 1, 5, 4, 2, 2, 0, 1, 2
6202, 7108, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 15, 12, 8, 4, 3, 1
4355, 4725, 1, "OK", 3, 7, 5, 3, 3, 0, 1, 2
7313, 7751, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 3, 3, 0, 3, 1
8199, 8952, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 10, 10, 5, 5, 3, 0
3882, 4290, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 5, 4, 1, 3, 1
3882, 7108, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 46, 35, 26, 9, 11, 1
7879, 8127, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 2, 1
7227, 7865, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 4, 4, 0, 4, 1
7661, 7979, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 3, 3, 0, 3, 1
7993, 8183, 0, "Compilation unit does not compile after method extraction.", 2, 7, 2, 1, 1, 0, 1, 1
8417, 8856, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 2, 2, 0, 2, 2
7182, 7979, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 10, 5, 5, 0, 5, 1
6430, 6976, 0, "Compilation unit does not compile after method extraction.", 2, 15, 12, 6, 5, 1, 3, 2
8417, 8608, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 1, 1, 0, 1, 2
7259, 7648, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 2, 1
7227, 8127, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 12, 6, 6, 0, 6, 1
5660, 5764, 1, "OK", 1, 3, 3, 1, 1, 0, 1, 2
7259, 7400, 1, "OK", 0, 4, 2, 1, 1, 0, 1, 1
5294, 5594, 0, "Compilation unit does not compile after method extraction.", 1, 7, 4, 2, 2, 0, 1, 2
6392, 6883, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 12, 6, 5, 1, 3, 2
8252, 8870, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 5, 3, 2, 3, 1
5906, 7108, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 17, 14, 10, 4, 3, 1
6996, 7108, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 1
7414, 7979, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 4, 4, 0, 4, 1
4304, 7108, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 38, 30, 22, 8, 8, 1
7556, 8183, 0, "Compilation unit does not compile after method extraction.", 3, 20, 8, 4, 4, 0, 4, 1
7661, 7751, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
7182, 7751, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 3, 3, 0, 3, 1
4871, 5151, 1, "OK", 3, 6, 4, 2, 2, 0, 1, 2
8352, 8856, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 2, 2, 0, 2, 2
7259, 8183, 0, "Compilation unit does not compile after method extraction.", 2, 29, 12, 6, 6, 0, 6, 1
4355, 4767, 0, "Compilation unit does not compile after method extraction.", 3, 8, 5, 3, 3, 0, 1, 2
7227, 7648, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 2, 1
7313, 7542, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 2, 1
8352, 8608, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 1, 1, 0, 1, 2
7765, 7865, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
7765, 8127, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 3, 3, 0, 3, 1
7227, 7400, 1, "OK", 1, 6, 2, 1, 1, 0, 1, 1
7414, 7751, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 2, 1
7879, 8183, 0, "Compilation unit does not compile after method extraction.", 3, 11, 4, 2, 2, 0, 2, 1
8417, 8663, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 1, 1, 0, 1, 2
3837, 4211, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String text DateTimeFormatter formatter", 0, 0, 6, 4, 3, 1, 2, 1
7227, 8183, 0, "Compilation unit does not compile after method extraction.", 3, 31, 12, 6, 6, 0, 6, 1
6392, 6675, 1, "OK", 1, 8, 8, 4, 3, 1, 2, 2
4871, 5190, 0, "Compilation unit does not compile after method extraction.", 3, 8, 4, 2, 2, 0, 1, 2
8626, 8856, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 1, 1, 0, 1, 2
6492, 6657, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 5, 2, 2, 0, 1, 3
6392, 6939, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 12, 6, 5, 1, 3, 2
7182, 7542, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 2, 1
7556, 7979, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 3, 3, 0, 3, 1
7259, 7979, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 10, 5, 5, 0, 5, 1
3776, 8952, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 70, 70, 39, 31, 20, 0
5660, 5843, 1, "OK", 2, 5, 3, 1, 1, 0, 1, 2
3962, 4211, 1, "OK", 2, 7, 6, 4, 3, 1, 2, 1
8352, 8663, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 1, 1, 0, 1, 2
