A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
59824, 60811, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 21, 14, 9, 5, 7, 1
59824, 60942, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 21, 14, 9, 5, 7, 1
60409, 60976, 1, "OK", 4, 18, 7, 4, 4, 0, 3, 1
60465, 60904, 1, "OK", 5, 15, 7, 4, 4, 0, 3, 1
59267, 60669, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 29, 20, 12, 8, 9, 1
60409, 60845, 1, "OK", 4, 15, 7, 4, 4, 0, 3, 1
59225, 60942, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 22, 14, 8, 10, 1
59267, 60536, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 27, 19, 11, 8, 8, 1
59308, 60669, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 29, 20, 12, 8, 9, 1
59225, 60811, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 22, 14, 8, 10, 1
59925, 60353, 1, "OK", 2, 13, 12, 6, 4, 2, 3, 2
59308, 60536, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 27, 19, 11, 8, 8, 1
59859, 60353, 1, "OK", 3, 15, 12, 6, 4, 2, 3, 2
59149, 60987, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 33, 33, 15, 18, 10, 0
59824, 60669, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 18, 12, 7, 5, 6, 1
59824, 60536, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 16, 11, 6, 5, 5, 1
60550, 60942, 1, "OK", 4, 13, 5, 3, 3, 0, 2, 1
59477, 59774, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 5, 2, 2, 0, 1, 3
59896, 60353, 1, "OK", 2, 14, 12, 6, 4, 2, 3, 2
59225, 60669, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 29, 20, 12, 8, 9, 1
60685, 60976, 1, "OK", 3, 9, 3, 2, 2, 0, 1, 1
59267, 60904, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 22, 14, 8, 10, 1
59267, 60393, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 25, 18, 10, 8, 7, 1
60550, 60811, 1, "OK", 3, 10, 5, 3, 3, 0, 2, 1
59225, 60536, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 27, 19, 11, 8, 8, 1
60685, 60845, 1, "OK", 2, 6, 3, 2, 2, 0, 1, 1
60685, 60904, 1, "OK", 3, 7, 3, 2, 2, 0, 1, 1
59267, 59808, 1, "OK", 1, 14, 11, 8, 5, 3, 3, 1
59824, 60845, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 21, 14, 9, 5, 7, 1
60465, 60942, 1, "OK", 5, 16, 7, 4, 4, 0, 3, 1
59225, 60976, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 22, 14, 8, 10, 1
59308, 60451, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 25, 18, 10, 8, 7, 1
60465, 60811, 1, "OK", 4, 13, 7, 4, 4, 0, 3, 1
59524, 59774, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 5, 2, 2, 0, 1, 3
59080, 60987, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 33, 33, 15, 18, 10, 0
59225, 60845, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 22, 14, 8, 10, 1
59308, 59808, 1, "OK", 2, 13, 11, 8, 5, 3, 3, 1
59824, 60451, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 14, 10, 5, 5, 4, 1
60027, 60305, 1, "OK", 2, 9, 9, 3, 3, 0, 2, 3
59109, 60987, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 33, 33, 15, 18, 10, 0
58989, 59068, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
59267, 60942, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 22, 14, 8, 10, 1
60465, 60669, 1, "OK", 4, 7, 4, 2, 2, 0, 2, 1
59149, 61017, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 33, 33, 15, 18, 10, 0
58989, 60987, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 34, 34, 16, 18, 10, 0
59225, 59808, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String text boolean hasSpecial", 0, 0, 11, 8, 5, 3, 3, 1
59267, 60811, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 22, 14, 8, 10, 1
60465, 60536, 1, "OK", 3, 3, 2, 1, 1, 0, 1, 1
60550, 60845, 1, "OK", 3, 11, 5, 3, 3, 0, 2, 1
59859, 60378, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 12, 6, 4, 2, 3, 2
60550, 60976, 1, "OK", 4, 14, 5, 3, 3, 0, 2, 1
59225, 60451, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 25, 18, 10, 8, 7, 1
59403, 59793, 1, "OK", 2, 9, 8, 4, 3, 1, 2, 2
59925, 60378, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 12, 6, 4, 2, 3, 2
59308, 60811, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 22, 14, 8, 10, 1
59896, 60378, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 12, 6, 4, 2, 3, 2
59308, 60942, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 22, 14, 8, 10, 1
60465, 60845, 1, "OK", 4, 14, 7, 4, 4, 0, 3, 1
60685, 60811, 1, "OK", 2, 5, 3, 2, 2, 0, 1, 1
59109, 61017, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 33, 33, 15, 18, 10, 0
60409, 60904, 1, "OK", 4, 16, 7, 4, 4, 0, 3, 1
59080, 61017, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 33, 33, 15, 18, 10, 0
58989, 61017, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 34, 34, 16, 18, 10, 0
59267, 60976, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 22, 14, 8, 10, 1
58989, 59099, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
59267, 60845, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 22, 14, 8, 10, 1
59308, 60976, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 22, 14, 8, 10, 1
59149, 61042, 1, "OK", 3, 58, 33, 33, 15, 18, 10, 0
59824, 60976, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 21, 14, 9, 5, 7, 1
59267, 60451, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 25, 18, 10, 8, 7, 1
59986, 60305, 1, "OK", 2, 10, 9, 3, 3, 0, 2, 3
59308, 60845, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 22, 14, 8, 10, 1
59308, 60904, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 22, 14, 8, 10, 1
59308, 60393, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 25, 18, 10, 8, 7, 1
59824, 60904, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 21, 14, 9, 5, 7, 1
60550, 60669, 1, "OK", 2, 4, 2, 1, 1, 0, 1, 1
59824, 60393, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 14, 10, 5, 5, 4, 1
58989, 59139, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
60409, 60942, 1, "OK", 4, 17, 7, 4, 4, 0, 3, 1
60124, 60305, 1, "OK", 1, 5, 5, 2, 2, 0, 1, 3
59225, 60904, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 32, 22, 14, 8, 10, 1
59225, 60393, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 25, 18, 10, 8, 7, 1
59925, 60324, 1, "OK", 2, 12, 12, 6, 4, 2, 3, 2
60409, 60811, 1, "OK", 4, 14, 7, 4, 4, 0, 3, 1
59986, 60100, 1, "OK", 2, 4, 4, 1, 1, 0, 1, 3
59859, 60324, 1, "OK", 3, 14, 12, 6, 4, 2, 3, 2
59896, 60324, 1, "OK", 2, 13, 12, 6, 4, 2, 3, 2
59109, 61042, 1, "OK", 2, 59, 33, 33, 15, 18, 10, 0
59080, 61042, 1, "OK", 1, 60, 33, 33, 15, 18, 10, 0
60027, 60100, 1, "OK", 1, 3, 4, 1, 1, 0, 1, 3
60409, 60669, 1, "OK", 4, 8, 4, 2, 2, 0, 2, 1
58989, 61042, 1, "OK", 1, 65, 34, 34, 16, 18, 10, 0
60409, 60536, 1, "OK", 4, 4, 2, 1, 1, 0, 1, 1
60465, 60976, 1, "OK", 5, 17, 7, 4, 4, 0, 3, 1
60550, 60904, 1, "OK", 4, 12, 5, 3, 3, 0, 2, 1
60685, 60942, 1, "OK", 3, 8, 3, 2, 2, 0, 1, 1
