A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
37374, 37775, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 12, 8, 4, 4, 4, 1
38556, 39660, 1, "OK", 3, 19, 6, 4, 4, 0, 1, 2
38006, 38415, 0, "Compilation unit does not compile after method extraction.", 2, 11, 6, 2, 2, 0, 2, 2
37315, 37947, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 14, 9, 5, 4, 5, 1
38484, 39600, 1, "OK", 1, 18, 6, 4, 4, 0, 1, 2
36763, 39930, 0, "Compilation unit does not compile after method extraction.", 1, 78, 37, 37, 19, 18, 11, 0
36763, 37246, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Class<?> clazz JavaBeanDeserializer beanDeser", 0, 0, 3, 3, 3, 0, 0, 0
36856, 37054, 1, "OK", 2, 4, 1, 1, 1, 0, 0, 0
39691, 39919, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 2, 1
37841, 39675, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 17, 12, 9, 3, 5, 1
37410, 37552, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 3, 1, 1, 0, 1, 2
37631, 37741, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 1, 1, 0, 1, 3
38622, 39660, 1, "OK", 4, 18, 6, 4, 4, 0, 1, 2
37963, 39772, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 17, 12, 9, 3, 5, 1
37066, 39930, 0, "Compilation unit does not compile after method extraction.", 3, 71, 36, 36, 18, 18, 11, 0
38006, 38444, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 6, 2, 2, 0, 2, 2
36808, 37054, 1, "OK", 1, 5, 1, 1, 1, 0, 0, 0
37066, 37246, 1, "OK", 0, 3, 2, 2, 2, 0, 0, 0
38006, 38186, 1, "OK", 2, 3, 3, 1, 1, 0, 1, 2
37315, 39772, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 31, 21, 14, 7, 10, 1
36930, 39930, 0, "Compilation unit does not compile after method extraction.", 4, 75, 37, 37, 19, 18, 11, 0
