A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
90476, 92248, 1, "OK", 0, 44, 34, 20, 12, 8, 7, 2
90568, 92210, 1, "OK", 0, 39, 31, 19, 11, 8, 6, 2
89757, 89949, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
93327, 94991, 1, "OK", 0, 57, 50, 38, 24, 14, 12, 1
90189, 92685, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 49, 36, 19, 17, 13, 1
89114, 90173, 1, "OK", 0, 32, 26, 19, 8, 11, 7, 1
90189, 94991, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 102, 76, 45, 31, 26, 1
94177, 94241, 1, "OK", 0, 3, 3, 1, 1, 0, 1, 2
90435, 93278, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 47, 35, 19, 16, 12, 1
90850, 92191, 1, "OK", 0, 31, 24, 12, 9, 3, 4, 3
93553, 94159, 1, "OK", 0, 21, 25, 13, 10, 3, 6, 2
88984, 94991, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 130, 96, 54, 42, 34, 1
90223, 92685, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 49, 36, 19, 17, 13, 1
91286, 91470, 1, "OK", 0, 4, 5, 1, 1, 0, 1, 4
88801, 90173, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 30, 21, 10, 11, 9, 1
94329, 94416, 1, "OK", 0, 3, 4, 2, 2, 0, 1, 2
94296, 94416, 1, "OK", 0, 5, 4, 2, 2, 0, 1, 2
88801, 90419, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  long hash int matchIndex", 0, 0, 35, 24, 12, 12, 11, 1
88984, 89098, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
89196, 93278, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 76, 56, 28, 28, 20, 1
92431, 92579, 1, "OK", 0, 4, 3, 1, 1, 0, 1, 2
88777, 95002, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 133, 133, 56, 77, 35, 0
89419, 89692, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int i char c", 0, 0, 9, 3, 2, 1, 2, 3
89461, 89669, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int i char c", 0, 0, 5, 1, 1, 0, 1, 4
88984, 92685, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 77, 56, 28, 28, 21, 1
89196, 90209, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  long hash int matchIndex", 0, 0, 24, 18, 7, 11, 6, 1
90892, 91134, 1, "OK", 0, 6, 5, 1, 1, 0, 1, 4
91213, 92191, 1, "OK", 0, 23, 15, 9, 7, 2, 2, 3
88801, 89098, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 2, 1
89196, 90419, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  long hash int matchIndex", 0, 0, 29, 21, 9, 12, 8, 1
90223, 92381, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 43, 32, 16, 16, 11, 1
88801, 94991, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 132, 97, 55, 42, 35, 1
88801, 92685, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 79, 57, 29, 28, 22, 1
89373, 90057, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 18, 6, 4, 2, 4, 3
89757, 89917, 1, "OK", 1, 4, 5, 1, 1, 0, 1, 4
88638, 88765, 1, "OK", 0, 3, 2, 2, 2, 0, 0, 0
90476, 92210, 1, "OK", 0, 42, 34, 20, 12, 8, 7, 2
88984, 92381, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 71, 52, 25, 27, 19, 1
89461, 89624, 1, "OK", 1, 4, 5, 1, 1, 0, 1, 4
89220, 93278, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 76, 56, 28, 28, 20, 1
89114, 90419, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  long hash int matchIndex", 0, 0, 31, 22, 10, 12, 9, 1
89220, 90209, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  long hash int matchIndex", 0, 0, 24, 18, 7, 11, 6, 1
89196, 90173, 1, "OK", 0, 28, 24, 18, 7, 11, 6, 1
93591, 93708, 1, "OK", 0, 4, 5, 2, 2, 0, 1, 3
94555, 94795, 1, "OK", 0, 8, 3, 1, 1, 0, 1, 2
90435, 92299, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 36, 28, 13, 15, 8, 1
89419, 90006, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 18, 6, 4, 2, 4, 3
93402, 93507, 1, "OK", 0, 4, 4, 2, 2, 0, 1, 2
89716, 90006, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 9, 3, 2, 1, 2, 3
90223, 90419, 1, "OK", 3, 6, 5, 3, 2, 1, 2, 1
90892, 91184, 1, "OK", 0, 7, 5, 1, 1, 0, 1, 4
88801, 90209, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  long hash int matchIndex", 0, 0, 30, 21, 10, 11, 9, 1
89196, 92299, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 65, 49, 22, 27, 16, 1
93822, 94046, 1, "OK", 0, 7, 10, 4, 4, 0, 2, 3
88984, 90173, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 28, 20, 9, 11, 8, 1
92315, 92381, 1, "OK", 0, 3, 2, 1, 1, 0, 1, 1
89794, 89917, 1, "OK", 0, 3, 5, 1, 1, 0, 1, 4
89114, 92299, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 67, 50, 23, 27, 17, 1
90568, 92284, 1, "OK", 1, 42, 31, 19, 11, 8, 6, 2
93851, 93936, 1, "OK", 0, 3, 5, 2, 2, 0, 1, 3
93427, 93507, 1, "OK", 0, 3, 4, 2, 2, 0, 1, 2
88801, 89206, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 3, 3, 0, 3, 1
90189, 93278, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 52, 38, 21, 17, 14, 1
94816, 94991, 1, "OK", 0, 7, 2, 2, 2, 0, 0, 1
92466, 92579, 1, "OK", 1, 3, 3, 1, 1, 0, 1, 2
93427, 93727, 1, "OK", 0, 11, 12, 6, 5, 1, 3, 2
89419, 89972, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 18, 6, 4, 2, 4, 3
93427, 94241, 1, "OK", 0, 29, 32, 16, 13, 3, 8, 2
89114, 90209, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  long hash int matchIndex", 0, 0, 26, 19, 8, 11, 7, 1
89220, 92299, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 65, 49, 22, 27, 16, 1
93402, 94241, 1, "OK", 0, 30, 32, 16, 13, 3, 8, 2
89114, 89180, 1, "OK", 0, 3, 2, 1, 1, 0, 1, 1
89716, 89972, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 9, 3, 2, 1, 2, 3
93771, 94065, 1, "OK", 0, 9, 14, 8, 6, 2, 3, 2
90189, 90419, 1, "OK", 2, 7, 5, 3, 2, 1, 2, 1
93402, 93727, 1, "OK", 0, 12, 12, 6, 5, 1, 3, 2
90223, 94991, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 102, 76, 45, 31, 26, 1
