A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
7005, 7935, 1, "OK", 8, 28, 9, 9, 6, 3, 3, 0
6054, 6181, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
7487, 7582, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int cc", 0, 0, 3, 2, 2, 0, 1, 1
6388, 6585, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int eIx int pad", 0, 0, 5, 5, 4, 1, 1, 0
6271, 7913, 1, "OK", 4, 43, 19, 19, 14, 5, 5, 0
6696, 6769, 1, "OK", 3, 1, 3, 3, 2, 1, 1, 0
6153, 6454, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int eIx", 0, 0, 4, 4, 4, 0, 0, 0
6085, 6769, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 11, 11, 9, 2, 2, 0
6271, 6890, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int eIx int pad int sepCnt int len byte[] dArr", 0, 0, 10, 10, 8, 2, 2, 0
6271, 6640, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int eIx int pad int cCnt", 0, 0, 7, 7, 6, 1, 1, 0
6054, 6454, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 5, 5, 5, 0, 0, 0
6513, 6822, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pad int sepCnt int len", 0, 0, 6, 6, 4, 2, 2, 0
7692, 7903, 1, "OK", 7, 6, 4, 2, 2, 0, 2, 1
6513, 7592, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int pad int len byte[] dArr int d", 0, 0, 10, 10, 7, 3, 3, 0
6615, 6996, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sepCnt int len byte[] dArr int d", 0, 0, 3, 3, 2, 1, 1, 0
6271, 7935, 1, "OK", 4, 45, 19, 19, 14, 5, 5, 0
6513, 6585, 1, "OK", 2, 1, 3, 3, 2, 1, 1, 0
7825, 7903, 1, "OK", 4, 2, 2, 1, 1, 0, 1, 1
6054, 6996, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 11, 11, 9, 2, 2, 0
6153, 6996, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int eIx int pad int sepCnt int len byte[] dArr int d", 0, 0, 10, 10, 8, 2, 2, 0
6388, 6890, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int eIx int pad int sepCnt int len byte[] dArr", 0, 0, 8, 8, 6, 2, 2, 0
6388, 7913, 1, "OK", 4, 39, 17, 17, 12, 5, 5, 0
6615, 6769, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int cCnt int sepCnt", 0, 0, 3, 3, 2, 1, 1, 0
7602, 7913, 1, "OK", 7, 9, 5, 5, 3, 2, 2, 0
