A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
61875, 62128, 1, "OK", 4, 6, 4, 2, 2, 0, 1, 2
61008, 62250, 1, "OK", 5, 32, 20, 20, 9, 11, 5, 0
60826, 62250, 1, "OK", 2, 36, 20, 20, 9, 11, 5, 0
60954, 62250, 1, "OK", 4, 33, 20, 20, 9, 11, 5, 0
60904, 62137, 1, "OK", 2, 32, 20, 20, 9, 11, 5, 0
61071, 62137, 1, "OK", 4, 29, 20, 20, 9, 11, 5, 0
61633, 61864, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 8, 2, 2, 0, 2, 3
60848, 62137, 1, "OK", 1, 33, 20, 20, 9, 11, 5, 0
61008, 62227, 1, "OK", 5, 31, 20, 20, 9, 11, 5, 0
61796, 61864, 1, "OK", 3, 3, 4, 1, 1, 0, 1, 3
60904, 62250, 1, "OK", 3, 34, 20, 20, 9, 11, 5, 0
61139, 62133, 1, "OK", 4, 27, 18, 13, 7, 6, 5, 1
61633, 61790, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 1, 1, 0, 1, 3
61071, 62250, 1, "OK", 5, 31, 20, 20, 9, 11, 5, 0
60848, 62250, 1, "OK", 2, 35, 20, 20, 9, 11, 5, 0
60826, 62227, 1, "OK", 2, 35, 20, 20, 9, 11, 5, 0
60954, 62227, 1, "OK", 4, 32, 20, 20, 9, 11, 5, 0
61432, 62128, 1, "OK", 5, 19, 16, 8, 6, 2, 4, 2
61186, 62133, 1, "OK", 4, 26, 18, 13, 7, 6, 5, 1
61213, 62128, 1, "OK", 4, 24, 16, 8, 6, 2, 4, 2
61432, 61870, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 12, 6, 4, 2, 3, 2
61684, 61864, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 8, 2, 2, 0, 2, 3
61213, 61870, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 12, 6, 4, 2, 3, 2
60904, 62227, 1, "OK", 3, 33, 20, 20, 9, 11, 5, 0
61254, 61870, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 12, 6, 4, 2, 3, 2
61351, 61870, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 12, 6, 4, 2, 3, 2
61684, 61790, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 1, 1, 0, 1, 3
61254, 62128, 1, "OK", 4, 23, 16, 8, 6, 2, 4, 2
61008, 62137, 1, "OK", 4, 30, 20, 20, 9, 11, 5, 0
61351, 62128, 1, "OK", 4, 21, 16, 8, 6, 2, 4, 2
61071, 62227, 1, "OK", 5, 30, 20, 20, 9, 11, 5, 0
60848, 62227, 1, "OK", 2, 34, 20, 20, 9, 11, 5, 0
60826, 62137, 1, "OK", 1, 34, 20, 20, 9, 11, 5, 0
60954, 62137, 1, "OK", 3, 31, 20, 20, 9, 11, 5, 0
