A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
23213, 24341, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 26, 26, 14, 12, 6, 0
23758, 23894, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 4, 1, 1, 0, 1, 3
24621, 24917, 1, "OK", 1, 8, 2, 1, 1, 0, 1, 1
23213, 24921, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 30, 30, 17, 13, 7, 0
23301, 24944, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 30, 30, 17, 13, 7, 0
24374, 24961, 1, "OK", 2, 18, 4, 4, 3, 1, 1, 0
23706, 23900, 1, "OK", 3, 7, 8, 4, 3, 1, 2, 2
23124, 24341, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 26, 26, 14, 12, 6, 0
23097, 24921, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 30, 30, 17, 13, 7, 0
23124, 24921, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 30, 30, 17, 13, 7, 0
24693, 24917, 1, "OK", 2, 7, 2, 1, 1, 0, 1, 1
24105, 24332, 1, "OK", 3, 8, 8, 4, 3, 1, 2, 2
23097, 24944, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 30, 30, 17, 13, 7, 0
23124, 24944, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 30, 30, 17, 13, 7, 0
23301, 24961, 1, "OK", 4, 49, 30, 30, 17, 13, 7, 0
23301, 23489, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
23075, 24341, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 26, 26, 14, 12, 6, 0
23492, 24341, 1, "OK", 4, 26, 24, 24, 12, 12, 6, 0
23659, 23900, 1, "OK", 3, 8, 8, 4, 3, 1, 2, 2
23075, 24921, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 30, 30, 17, 13, 7, 0
23492, 24921, 1, "OK", 4, 43, 28, 28, 15, 13, 7, 0
24253, 24326, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 4, 1, 1, 0, 1, 3
23097, 24961, 1, "OK", 2, 52, 30, 30, 17, 13, 7, 0
23097, 23489, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
23075, 24944, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 30, 30, 17, 13, 7, 0
23124, 24961, 1, "OK", 3, 51, 30, 30, 17, 13, 7, 0
23124, 23489, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
23604, 23905, 1, "OK", 3, 10, 11, 8, 5, 3, 3, 1
23492, 24944, 1, "OK", 4, 44, 28, 28, 15, 13, 7, 0
23920, 24337, 1, "OK", 3, 12, 11, 8, 5, 3, 3, 1
24050, 24337, 1, "OK", 3, 10, 11, 8, 5, 3, 3, 1
23213, 24944, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 30, 30, 17, 13, 7, 0
24374, 24921, 1, "OK", 2, 16, 4, 4, 3, 1, 1, 0
24374, 24944, 1, "OK", 2, 17, 4, 4, 3, 1, 1, 0
24204, 24326, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 4, 1, 1, 0, 1, 3
23807, 23894, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 4, 1, 1, 0, 1, 3
23075, 24961, 1, "OK", 2, 53, 30, 30, 17, 13, 7, 0
23075, 23489, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
23492, 24961, 1, "OK", 4, 45, 28, 28, 15, 13, 7, 0
23524, 23905, 1, "OK", 3, 11, 11, 8, 5, 3, 3, 1
23097, 24341, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 26, 26, 14, 12, 6, 0
23999, 24337, 1, "OK", 3, 11, 11, 8, 5, 3, 3, 1
23301, 24341, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 26, 26, 14, 12, 6, 0
23213, 24961, 1, "OK", 4, 50, 30, 30, 17, 13, 7, 0
23213, 23489, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
23301, 24921, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 30, 30, 17, 13, 7, 0
24152, 24332, 1, "OK", 3, 7, 8, 4, 3, 1, 2, 2
