A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
30487, 32260, 1, "OK", 2, 42, 20, 20, 9, 11, 5, 0
31196, 32170, 1, "OK", 5, 25, 18, 18, 7, 11, 5, 0
30509, 31192, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj String parameterNameFromLookUp String returnStatus Object lookUpValueObj Object lookUpDescObj", 0, 0, 2, 2, 2, 0, 0, 0
30788, 31118, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String parameterNameFromLookUp String returnStatus Object lookUpValueObj", 0, 0, 2, 2, 2, 0, 0, 0
30788, 30989, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String parameterNameFromLookUp String returnStatus", 0, 0, 1, 1, 1, 0, 0, 0
30908, 32260, 1, "OK", 4, 33, 19, 19, 8, 11, 5, 0
30992, 31192, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String returnStatus Object lookUpValueObj Object lookUpDescObj", 0, 0, 1, 1, 1, 0, 0, 0
30697, 31118, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String parameterNameFromLookUp String returnStatus Object lookUpValueObj", 0, 0, 2, 2, 2, 0, 0, 0
30697, 30989, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String parameterNameFromLookUp String returnStatus", 0, 0, 1, 1, 1, 0, 0, 0
30601, 32170, 1, "OK", 2, 38, 20, 20, 9, 11, 5, 0
32036, 32102, 1, "OK", 3, 1, 5, 1, 1, 0, 1, 4
30788, 32260, 1, "OK", 4, 36, 20, 20, 9, 11, 5, 0
31196, 32283, 1, "OK", 6, 27, 18, 18, 7, 11, 5, 0
31954, 32109, 1, "OK", 1, 4, 9, 3, 2, 1, 2, 3
30487, 31118, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj String parameterNameFromLookUp String returnStatus Object lookUpValueObj", 0, 0, 2, 2, 2, 0, 0, 0
30601, 31041, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj String parameterNameFromLookUp String returnStatus", 0, 0, 2, 2, 2, 0, 0, 0
30788, 32283, 1, "OK", 4, 37, 20, 20, 9, 11, 5, 0
30487, 30989, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj String parameterNameFromLookUp String returnStatus", 0, 0, 1, 1, 1, 0, 0, 0
30697, 32283, 1, "OK", 3, 38, 20, 20, 9, 11, 5, 0
30908, 31118, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String returnStatus Object lookUpValueObj", 0, 0, 1, 1, 1, 0, 0, 0
31663, 32161, 1, "OK", 4, 13, 12, 6, 3, 3, 3, 2
31977, 32155, 1, "OK", 4, 4, 9, 3, 2, 1, 2, 3
30601, 30904, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj String parameterNameFromLookUp", 0, 0, 1, 1, 1, 0, 0, 0
30908, 32170, 1, "OK", 3, 32, 19, 19, 8, 11, 5, 0
30788, 32170, 1, "OK", 3, 35, 20, 20, 9, 11, 5, 0
31862, 32155, 1, "OK", 2, 6, 9, 3, 2, 1, 2, 3
30487, 32283, 1, "OK", 2, 43, 20, 20, 9, 11, 5, 0
30697, 32170, 1, "OK", 2, 36, 20, 20, 9, 11, 5, 0
30908, 32283, 1, "OK", 4, 34, 19, 19, 8, 11, 5, 0
31045, 32260, 1, "OK", 5, 29, 18, 18, 7, 11, 5, 0
30992, 31118, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String returnStatus Object lookUpValueObj", 0, 0, 1, 1, 1, 0, 0, 0
30788, 31041, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String parameterNameFromLookUp String returnStatus", 0, 0, 2, 2, 2, 0, 0, 0
31322, 31507, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List paramDescriptions List biparams", 0, 0, 2, 1, 1, 0, 1, 1
30509, 32260, 1, "OK", 2, 41, 20, 20, 9, 11, 5, 0
30697, 31041, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String parameterNameFromLookUp String returnStatus", 0, 0, 2, 2, 2, 0, 0, 0
31045, 32283, 1, "OK", 5, 30, 18, 18, 7, 11, 5, 0
30487, 32170, 1, "OK", 1, 41, 20, 20, 9, 11, 5, 0
30788, 30904, 1, "OK", 1, 2, 1, 1, 1, 0, 0, 0
30992, 32260, 1, "OK", 5, 32, 19, 19, 8, 11, 5, 0
31474, 32166, 1, "OK", 4, 18, 14, 10, 4, 6, 4, 1
