A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
6861, 9583, 1, "OK", 1, 69, 21, 21, 11, 10, 4, 0
8348, 8539, 1, "OK", 2, 5, 1, 1, 1, 0, 0, 0
7831, 8186, 1, "OK", 4, 15, 13, 7, 4, 3, 3, 2
7209, 8274, 1, "OK", 3, 33, 17, 17, 7, 10, 4, 0
7401, 8978, 1, "OK", 4, 46, 18, 18, 8, 10, 4, 0
7060, 8539, 1, "OK", 3, 42, 18, 18, 8, 10, 4, 0
6871, 8772, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  PDFMergerUtility mergePdf ByteArrayOutputStream pdfDownload", 0, 0, 18, 18, 8, 10, 4, 0
8348, 8806, 1, "OK", 2, 10, 1, 1, 1, 0, 0, 0
7060, 8806, 1, "OK", 3, 47, 18, 18, 8, 10, 4, 0
7209, 8539, 1, "OK", 4, 39, 18, 18, 8, 10, 4, 0
7005, 8978, 1, "OK", 2, 52, 18, 18, 8, 10, 4, 0
6926, 8872, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ByteArrayOutputStream pdfDownload Map<String, Object> toReturn", 0, 0, 18, 18, 8, 10, 4, 0
7304, 8927, 1, "OK", 5, 46, 18, 18, 8, 10, 4, 0
7401, 8999, 1, "OK", 4, 48, 18, 18, 8, 10, 4, 0
7209, 8806, 1, "OK", 4, 44, 18, 18, 8, 10, 4, 0
6871, 8274, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  PDFMergerUtility mergePdf List<Snapshot> sortedSnapList", 0, 0, 17, 17, 7, 10, 4, 0
7974, 8136, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int min Snapshot minSnap int snapPos", 0, 0, 6, 2, 2, 0, 1, 4
7633, 8978, 1, "OK", 4, 42, 18, 18, 8, 10, 4, 0
7831, 8220, 1, "OK", 4, 16, 13, 7, 4, 3, 3, 2
6871, 8539, 1, "OK", 1, 45, 18, 18, 8, 10, 4, 0
7005, 8999, 1, "OK", 2, 54, 18, 18, 8, 10, 4, 0
7488, 8872, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ByteArrayOutputStream pdfDownload Map<String, Object> toReturn", 0, 0, 18, 18, 8, 10, 4, 0
7850, 8151, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Snapshot minSnap int snapPos", 0, 0, 13, 7, 4, 3, 3, 2
6926, 8634, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  PDFMergerUtility mergePdf ByteArrayOutputStream pdfDownload", 0, 0, 18, 18, 8, 10, 4, 0
8024, 8136, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int min Snapshot minSnap int snapPos", 0, 0, 6, 2, 2, 0, 1, 4
6871, 8806, 1, "OK", 1, 50, 18, 18, 8, 10, 4, 0
7633, 8999, 1, "OK", 4, 44, 18, 18, 8, 10, 4, 0
7724, 8226, 1, "OK", 2, 21, 15, 11, 5, 6, 4, 1
7900, 8144, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int min Snapshot minSnap int snapPos", 0, 0, 10, 4, 3, 1, 2, 3
7488, 8634, 1, "OK", 4, 38, 18, 18, 8, 10, 4, 0
6838, 9583, 1, "OK", 1, 71, 21, 21, 11, 10, 4, 0
7401, 8772, 1, "OK", 4, 41, 18, 18, 8, 10, 4, 0
7304, 8978, 1, "OK", 5, 47, 18, 18, 8, 10, 4, 0
7401, 8274, 1, "OK", 3, 31, 17, 17, 7, 10, 4, 0
8348, 8872, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ByteArrayOutputStream pdfDownload Map<String, Object> toReturn", 0, 0, 1, 1, 1, 0, 0, 0
7005, 8772, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  PDFMergerUtility mergePdf ByteArrayOutputStream pdfDownload", 0, 0, 18, 18, 8, 10, 4, 0
7401, 8539, 1, "OK", 4, 37, 18, 18, 8, 10, 4, 0
6926, 8927, 1, "OK", 2, 52, 18, 18, 8, 10, 4, 0
7850, 8186, 1, "OK", 5, 14, 13, 7, 4, 3, 3, 2
7005, 8274, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  PDFMergerUtility mergePdf List<Snapshot> sortedSnapList", 0, 0, 17, 17, 7, 10, 4, 0
7810, 8151, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Snapshot minSnap int snapPos", 0, 0, 13, 7, 4, 3, 3, 2
7060, 8872, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ByteArrayOutputStream pdfDownload Map<String, Object> toReturn", 0, 0, 18, 18, 8, 10, 4, 0
7633, 8772, 1, "OK", 4, 37, 18, 18, 8, 10, 4, 0
8348, 8634, 1, "OK", 2, 7, 1, 1, 1, 0, 0, 0
7005, 8539, 1, "OK", 2, 43, 18, 18, 8, 10, 4, 0
7401, 8806, 1, "OK", 4, 42, 18, 18, 8, 10, 4, 0
7633, 8274, 1, "OK", 3, 27, 17, 17, 7, 10, 4, 0
7209, 8872, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ByteArrayOutputStream pdfDownload Map<String, Object> toReturn", 0, 0, 18, 18, 8, 10, 4, 0
7304, 8999, 1, "OK", 5, 49, 18, 18, 8, 10, 4, 0
7488, 8927, 1, "OK", 4, 44, 18, 18, 8, 10, 4, 0
7060, 8634, 1, "OK", 3, 44, 18, 18, 8, 10, 4, 0
7633, 8539, 1, "OK", 4, 33, 18, 18, 8, 10, 4, 0
7005, 8806, 1, "OK", 2, 48, 18, 18, 8, 10, 4, 0
7943, 8144, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int min Snapshot minSnap int snapPos", 0, 0, 10, 4, 3, 1, 2, 3
7850, 8220, 1, "OK", 5, 15, 13, 7, 4, 3, 3, 2
6871, 8872, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ByteArrayOutputStream pdfDownload Map<String, Object> toReturn", 0, 0, 18, 18, 8, 10, 4, 0
7209, 8634, 1, "OK", 4, 41, 18, 18, 8, 10, 4, 0
7633, 8806, 1, "OK", 4, 38, 18, 18, 8, 10, 4, 0
7810, 8186, 1, "OK", 3, 16, 13, 7, 4, 3, 3, 2
7304, 8772, 1, "OK", 5, 42, 18, 18, 8, 10, 4, 0
8348, 8927, 1, "OK", 2, 13, 1, 1, 1, 0, 0, 0
7677, 8226, 1, "OK", 2, 23, 15, 11, 5, 6, 4, 1
6926, 8978, 1, "OK", 2, 53, 18, 18, 8, 10, 4, 0
7795, 8151, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Snapshot minSnap int snapPos", 0, 0, 13, 7, 4, 3, 3, 2
6871, 8634, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  PDFMergerUtility mergePdf ByteArrayOutputStream pdfDownload", 0, 0, 18, 18, 8, 10, 4, 0
7304, 8274, 1, "OK", 4, 32, 17, 17, 7, 10, 4, 0
7060, 8927, 1, "OK", 3, 50, 18, 18, 8, 10, 4, 0
7488, 8978, 1, "OK", 4, 45, 18, 18, 8, 10, 4, 0
7209, 8927, 1, "OK", 4, 47, 18, 18, 8, 10, 4, 0
7304, 8539, 1, "OK", 5, 38, 18, 18, 8, 10, 4, 0
7810, 8220, 1, "OK", 3, 17, 13, 7, 4, 3, 3, 2
6926, 8999, 1, "OK", 2, 55, 18, 18, 8, 10, 4, 0
7304, 8806, 1, "OK", 5, 43, 18, 18, 8, 10, 4, 0
7401, 8872, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ByteArrayOutputStream pdfDownload Map<String, Object> toReturn", 0, 0, 18, 18, 8, 10, 4, 0
6871, 8927, 1, "OK", 1, 53, 18, 18, 8, 10, 4, 0
7488, 8999, 1, "OK", 4, 47, 18, 18, 8, 10, 4, 0
7795, 8186, 1, "OK", 2, 17, 13, 7, 4, 3, 3, 2
7005, 8872, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ByteArrayOutputStream pdfDownload Map<String, Object> toReturn", 0, 0, 18, 18, 8, 10, 4, 0
7401, 8634, 1, "OK", 4, 39, 18, 18, 8, 10, 4, 0
8348, 8978, 1, "OK", 2, 14, 1, 1, 1, 0, 0, 0
6926, 8772, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  PDFMergerUtility mergePdf ByteArrayOutputStream pdfDownload", 0, 0, 18, 18, 8, 10, 4, 0
7695, 8226, 1, "OK", 2, 22, 15, 11, 5, 6, 4, 1
7633, 8872, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ByteArrayOutputStream pdfDownload Map<String, Object> toReturn", 0, 0, 18, 18, 8, 10, 4, 0
7060, 8978, 1, "OK", 3, 51, 18, 18, 8, 10, 4, 0
7005, 8634, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  PDFMergerUtility mergePdf ByteArrayOutputStream pdfDownload", 0, 0, 18, 18, 8, 10, 4, 0
6926, 8274, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  PDFMergerUtility mergePdf List<Snapshot> sortedSnapList", 0, 0, 17, 17, 7, 10, 4, 0
7488, 8772, 1, "OK", 4, 40, 18, 18, 8, 10, 4, 0
8348, 8999, 1, "OK", 2, 16, 1, 1, 1, 0, 0, 0
7209, 8978, 1, "OK", 4, 48, 18, 18, 8, 10, 4, 0
7633, 8634, 1, "OK", 4, 35, 18, 18, 8, 10, 4, 0
7795, 8220, 1, "OK", 2, 18, 13, 7, 4, 3, 3, 2
6926, 8539, 1, "OK", 2, 44, 18, 18, 8, 10, 4, 0
7488, 8274, 1, "OK", 3, 30, 17, 17, 7, 10, 4, 0
7401, 8927, 1, "OK", 4, 45, 18, 18, 8, 10, 4, 0
7060, 8999, 1, "OK", 3, 53, 18, 18, 8, 10, 4, 0
6926, 8806, 1, "OK", 2, 49, 18, 18, 8, 10, 4, 0
7209, 8999, 1, "OK", 4, 50, 18, 18, 8, 10, 4, 0
6871, 8978, 1, "OK", 1, 54, 18, 18, 8, 10, 4, 0
7488, 8539, 1, "OK", 4, 36, 18, 18, 8, 10, 4, 0
7005, 8927, 1, "OK", 2, 51, 18, 18, 8, 10, 4, 0
7304, 8872, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ByteArrayOutputStream pdfDownload Map<String, Object> toReturn", 0, 0, 18, 18, 8, 10, 4, 0
7746, 8226, 1, "OK", 2, 20, 15, 11, 5, 6, 4, 1
7831, 8151, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Snapshot minSnap int snapPos", 0, 0, 13, 7, 4, 3, 3, 2
7488, 8806, 1, "OK", 4, 41, 18, 18, 8, 10, 4, 0
7633, 8927, 1, "OK", 4, 41, 18, 18, 8, 10, 4, 0
8348, 8772, 1, "OK", 2, 9, 1, 1, 1, 0, 0, 0
7304, 8634, 1, "OK", 5, 40, 18, 18, 8, 10, 4, 0
6871, 8999, 1, "OK", 1, 56, 18, 18, 8, 10, 4, 0
7060, 8772, 1, "OK", 3, 46, 18, 18, 8, 10, 4, 0
7060, 8274, 1, "OK", 2, 36, 17, 17, 7, 10, 4, 0
7209, 8772, 1, "OK", 4, 43, 18, 18, 8, 10, 4, 0
