A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
11778, 13352, 1, "OK", 1, 44, 16, 16, 6, 10, 4, 0
13034, 13291, 1, "OK", 2, 6, 5, 1, 1, 0, 1, 4
11778, 13313, 1, "OK", 1, 42, 16, 16, 6, 10, 4, 0
12862, 13309, 1, "OK", 2, 13, 15, 11, 5, 6, 4, 1
12888, 13304, 1, "OK", 2, 11, 13, 7, 4, 3, 3, 2
11756, 13336, 1, "OK", 1, 44, 16, 16, 6, 10, 4, 0
12937, 13298, 1, "OK", 3, 9, 10, 4, 3, 1, 2, 3
11825, 13336, 1, "OK", 2, 42, 16, 16, 6, 10, 4, 0
12782, 13336, 1, "OK", 2, 17, 16, 16, 6, 10, 4, 0
12808, 13309, 1, "OK", 2, 14, 15, 11, 5, 6, 4, 1
13077, 13291, 1, "OK", 3, 5, 5, 1, 1, 0, 1, 4
11778, 13336, 1, "OK", 1, 43, 16, 16, 6, 10, 4, 0
12782, 13313, 1, "OK", 2, 16, 16, 16, 6, 10, 4, 0
11756, 13313, 1, "OK", 1, 43, 16, 16, 6, 10, 4, 0
11825, 13313, 1, "OK", 2, 41, 16, 16, 6, 10, 4, 0
11756, 13352, 1, "OK", 1, 45, 16, 16, 6, 10, 4, 0
11825, 13352, 1, "OK", 2, 43, 16, 16, 6, 10, 4, 0
12782, 13352, 1, "OK", 2, 18, 16, 16, 6, 10, 4, 0
12986, 13298, 1, "OK", 2, 8, 10, 4, 3, 1, 2, 3
