A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
2730, 6570, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject documentsResponseJSON JSONArray foldersJSON", 0, 0, 29, 29, 16, 13, 7, 0
4291, 4773, 1, "OK", 3, 8, 4, 4, 3, 1, 1, 0
3541, 6521, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject documentsResponseJSON JSONArray foldersJSON JSONObject scheduleAction", 0, 0, 19, 19, 12, 7, 4, 0
3987, 6521, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject documentsResponseJSON JSONArray foldersJSON JSONObject scheduleAction", 0, 0, 17, 17, 10, 7, 4, 0
3541, 5498, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality folder List objects IEngUserProfile profile Locale locale", 0, 0, 19, 19, 12, 7, 4, 0
3987, 5498, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List objects Locale locale", 0, 0, 17, 17, 10, 7, 4, 0
2690, 5776, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality folder IEngUserProfile profile Locale locale JSONObject documentsResponseJSON", 0, 0, 29, 29, 16, 13, 7, 0
2714, 6570, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject documentsResponseJSON JSONArray foldersJSON", 0, 0, 29, 29, 16, 13, 7, 0
3883, 6173, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List functionalities Locale locale JSONObject documentsResponseJSON", 0, 0, 17, 17, 10, 7, 4, 0
4322, 6385, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject documentsResponseJSON JSONArray foldersJSON JSONObject exportAction", 0, 0, 15, 15, 8, 7, 4, 0
3883, 6686, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject documentsResponseJSON JSONArray foldersJSON", 0, 0, 17, 17, 10, 7, 4, 0
4977, 6570, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject documentsResponseJSON JSONArray foldersJSON", 0, 0, 11, 11, 5, 6, 3, 0
2690, 6300, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject documentsResponseJSON JSONArray foldersJSON", 0, 0, 29, 29, 16, 13, 7, 0
2730, 7108, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject documentsResponseJSON JSONArray foldersJSON", 0, 0, 33, 33, 19, 14, 8, 0
3541, 3983, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality folder IEngUserProfile profile", 0, 0, 2, 2, 2, 0, 0, 0
6655, 7287, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject foldersResponseJSON JSONObject canAddResponseJSON", 0, 0, 4, 4, 3, 1, 1, 0
2690, 6813, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject documentsResponseJSON JSONArray foldersJSON Config documentBrowserFlatConfig", 0, 0, 29, 29, 16, 13, 7, 0
6388, 7381, 1, "OK", 3, 24, 4, 4, 3, 1, 1, 0
2894, 5618, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality folder IEngUserProfile profile Locale locale JSONArray documentsJSON", 0, 0, 29, 29, 16, 13, 7, 0
2690, 4773, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality folder boolean isHome IEngUserProfile profile List allSubDocuments", 0, 0, 18, 18, 11, 7, 4, 0
3819, 5618, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IEngUserProfile profile Locale locale JSONArray documentsJSON", 0, 0, 17, 17, 10, 7, 4, 0
2714, 7108, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject documentsResponseJSON JSONArray foldersJSON", 0, 0, 33, 33, 19, 14, 8, 0
4291, 6347, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject documentsResponseJSON JSONArray foldersJSON JSONObject exportAction", 0, 0, 15, 15, 8, 7, 4, 0
4459, 7287, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject documentsResponseJSON JSONObject foldersResponseJSON JSONObject canAddResponseJSON", 0, 0, 19, 19, 11, 8, 5, 0
4291, 7381, 1, "OK", 4, 71, 19, 19, 11, 8, 5, 0
5414, 7381, 1, "OK", 4, 43, 4, 4, 3, 1, 1, 0
5621, 7108, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject documentsResponseJSON JSONArray foldersJSON", 0, 0, 4, 4, 3, 1, 1, 0
5698, 7287, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject documentsResponseJSON JSONObject foldersResponseJSON JSONObject canAddResponseJSON", 0, 0, 4, 4, 3, 1, 1, 0
6177, 7287, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject foldersResponseJSON JSONObject canAddResponseJSON", 0, 0, 4, 4, 3, 1, 1, 0
