A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
19388, 20740, 1, "OK", 6, 43, 23, 23, 9, 14, 5, 0
19651, 20266, 1, "OK", 1, 19, 20, 15, 6, 9, 5, 1
19255, 20769, 1, "OK", 8, 49, 23, 23, 9, 14, 5, 0
19294, 20456, 1, "OK", 7, 36, 23, 23, 9, 14, 5, 0
19322, 20740, 1, "OK", 8, 45, 23, 23, 9, 14, 5, 0
19255, 20512, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject document Boolean isVisible", 0, 0, 23, 23, 9, 14, 5, 0
19481, 20546, 1, "OK", 4, 31, 22, 22, 8, 14, 5, 0
19676, 20266, 1, "OK", 2, 18, 20, 15, 6, 9, 5, 1
19804, 20266, 1, "OK", 4, 15, 20, 15, 6, 9, 5, 1
19676, 20393, 1, "OK", 3, 22, 20, 15, 6, 9, 5, 1
19804, 20393, 1, "OK", 5, 19, 20, 15, 6, 9, 5, 1
19651, 20393, 1, "OK", 2, 23, 20, 15, 6, 9, 5, 1
19294, 20707, 1, "OK", 8, 45, 23, 23, 9, 14, 5, 0
19388, 19477, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
19322, 19477, 1, "OK", 4, 5, 1, 1, 1, 0, 0, 0
19255, 20789, 1, "OK", 8, 51, 23, 23, 9, 14, 5, 0
19706, 20362, 1, "OK", 4, 19, 20, 15, 6, 9, 5, 1
19348, 20707, 1, "OK", 6, 43, 23, 23, 9, 14, 5, 0
19348, 20456, 1, "OK", 5, 34, 23, 23, 9, 14, 5, 0
19322, 20769, 1, "OK", 8, 46, 23, 23, 9, 14, 5, 0
19481, 20707, 1, "OK", 4, 38, 22, 22, 8, 14, 5, 0
19255, 20546, 1, "OK", 7, 40, 23, 23, 9, 14, 5, 0
19388, 20512, 1, "OK", 5, 34, 23, 23, 9, 14, 5, 0
19294, 20740, 1, "OK", 9, 46, 23, 23, 9, 14, 5, 0
19322, 20512, 1, "OK", 7, 36, 23, 23, 9, 14, 5, 0
19388, 20769, 1, "OK", 6, 44, 23, 23, 9, 14, 5, 0
19294, 19477, 1, "OK", 5, 6, 1, 1, 1, 0, 0, 0
19909, 20255, 1, "OK", 3, 11, 14, 5, 3, 2, 3, 3
19388, 20789, 1, "OK", 6, 46, 23, 23, 9, 14, 5, 0
19322, 20789, 1, "OK", 8, 48, 23, 23, 9, 14, 5, 0
19348, 20740, 1, "OK", 7, 44, 23, 23, 9, 14, 5, 0
19706, 20266, 1, "OK", 3, 16, 20, 15, 6, 9, 5, 1
19481, 20456, 1, "OK", 3, 29, 22, 22, 8, 14, 5, 0
19706, 20393, 1, "OK", 4, 20, 20, 15, 6, 9, 5, 1
19942, 20248, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Engine engine Domain engineType", 0, 0, 10, 2, 2, 0, 2, 4
19322, 20546, 1, "OK", 7, 37, 23, 23, 9, 14, 5, 0
19676, 20323, 1, "OK", 3, 20, 20, 15, 6, 9, 5, 1
19804, 20323, 1, "OK", 5, 17, 20, 15, 6, 9, 5, 1
19255, 20707, 1, "OK", 7, 47, 23, 23, 9, 14, 5, 0
19348, 20512, 1, "OK", 6, 35, 23, 23, 9, 14, 5, 0
19481, 20740, 1, "OK", 5, 39, 22, 22, 8, 14, 5, 0
19348, 20769, 1, "OK", 7, 45, 23, 23, 9, 14, 5, 0
19651, 20323, 1, "OK", 2, 21, 20, 15, 6, 9, 5, 1
19294, 20512, 1, "OK", 8, 37, 23, 23, 9, 14, 5, 0
19348, 19477, 1, "OK", 3, 4, 1, 1, 1, 0, 0, 0
19294, 20769, 1, "OK", 9, 47, 23, 23, 9, 14, 5, 0
19388, 20546, 1, "OK", 5, 35, 23, 23, 9, 14, 5, 0
19294, 20789, 1, "OK", 9, 49, 23, 23, 9, 14, 5, 0
19942, 20159, 1, "OK", 2, 5, 5, 1, 1, 0, 1, 4
19255, 20456, 1, "OK", 6, 38, 23, 23, 9, 14, 5, 0
19481, 20769, 1, "OK", 5, 40, 22, 22, 8, 14, 5, 0
19388, 20707, 1, "OK", 5, 42, 23, 23, 9, 14, 5, 0
19481, 20512, 1, "OK", 4, 30, 22, 22, 8, 14, 5, 0
19651, 20362, 1, "OK", 2, 22, 20, 15, 6, 9, 5, 1
19322, 20707, 1, "OK", 7, 44, 23, 23, 9, 14, 5, 0
19706, 20323, 1, "OK", 4, 18, 20, 15, 6, 9, 5, 1
19388, 20456, 1, "OK", 4, 33, 23, 23, 9, 14, 5, 0
19322, 20456, 1, "OK", 6, 35, 23, 23, 9, 14, 5, 0
19348, 20546, 1, "OK", 6, 36, 23, 23, 9, 14, 5, 0
19676, 20362, 1, "OK", 3, 21, 20, 15, 6, 9, 5, 1
19804, 20362, 1, "OK", 5, 18, 20, 15, 6, 9, 5, 1
19255, 20740, 1, "OK", 8, 48, 23, 23, 9, 14, 5, 0
19348, 20789, 1, "OK", 7, 47, 23, 23, 9, 14, 5, 0
19294, 20546, 1, "OK", 8, 38, 23, 23, 9, 14, 5, 0
19853, 20261, 1, "OK", 4, 13, 17, 9, 4, 5, 4, 2
19481, 20789, 1, "OK", 5, 42, 22, 22, 8, 14, 5, 0
19255, 19477, 1, "OK", 4, 8, 1, 1, 1, 0, 0, 0
20167, 20248, 1, "OK", 3, 3, 5, 1, 1, 0, 1, 4
