A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
11721, 13549, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream Iterator it", 0, 0, 2, 2, 2, 0, 0, 0
13147, 14398, 1, "OK", 4, 31, 15, 15, 9, 6, 4, 0
12820, 13272, 1, "OK", 1, 10, 1, 1, 1, 0, 0, 0
11282, 12817, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
11817, 14667, 1, "OK", 2, 59, 16, 16, 10, 6, 4, 0
11641, 11941, 1, "OK", 1, 6, 1, 1, 1, 0, 0, 0
12789, 14240, 1, "OK", 4, 36, 15, 15, 9, 6, 4, 0
12850, 14398, 1, "OK", 4, 36, 15, 15, 9, 6, 4, 0
11319, 14750, 1, "OK", 3, 71, 16, 16, 10, 6, 4, 0
13083, 13314, 1, "OK", 1, 7, 1, 1, 1, 0, 0, 0
11993, 13314, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String nameTree String context", 0, 0, 1, 1, 1, 0, 0, 0
11235, 13272, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree String context", 0, 0, 2, 2, 2, 0, 0, 0
13413, 14361, 1, "OK", 4, 23, 14, 14, 8, 6, 4, 0
13512, 14361, 1, "OK", 3, 22, 14, 14, 8, 6, 4, 0
11464, 14361, 1, "OK", 2, 59, 16, 16, 10, 6, 4, 0
12289, 14398, 1, "OK", 4, 45, 15, 15, 9, 6, 4, 0
13083, 14361, 1, "OK", 4, 32, 15, 15, 9, 6, 4, 0
11282, 12847, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
11817, 12646, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
12649, 14501, 1, "OK", 4, 44, 15, 15, 9, 6, 4, 0
11871, 13015, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
11514, 12817, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
11871, 11990, 1, "OK", 0, 4, 1, 1, 1, 0, 0, 0
12747, 13509, 1, "OK", 2, 16, 1, 1, 1, 0, 0, 0
13318, 14240, 1, "OK", 5, 23, 14, 14, 8, 6, 4, 0
11572, 13080, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
11376, 11990, 1, "OK", 1, 13, 1, 1, 1, 0, 0, 0
11993, 14361, 1, "OK", 3, 48, 15, 15, 9, 6, 4, 0
11817, 14698, 1, "OK", 2, 60, 16, 16, 10, 6, 4, 0
12820, 13314, 1, "OK", 1, 11, 1, 1, 1, 0, 0, 0
11376, 13015, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
13147, 14437, 1, "OK", 4, 32, 15, 15, 9, 6, 4, 0
13147, 13410, 1, "OK", 1, 7, 1, 1, 1, 0, 0, 0
13018, 13314, 1, "OK", 1, 8, 1, 1, 1, 0, 0, 0
13512, 14398, 1, "OK", 3, 23, 14, 14, 8, 6, 4, 0
11464, 14398, 1, "OK", 2, 60, 16, 16, 10, 6, 4, 0
12850, 14437, 1, "OK", 4, 37, 15, 15, 9, 6, 4, 0
11514, 12847, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
11401, 13272, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree String context", 0, 0, 2, 2, 2, 0, 0, 0
11319, 12744, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
12850, 13410, 1, "OK", 1, 12, 1, 1, 1, 0, 0, 0
11235, 12286, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
11641, 13015, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
11641, 11990, 1, "OK", 1, 8, 1, 1, 1, 0, 0, 0
12196, 14240, 1, "OK", 3, 44, 15, 15, 9, 6, 4, 0
12649, 13509, 1, "OK", 2, 18, 1, 1, 1, 0, 0, 0
13413, 14398, 1, "OK", 4, 24, 14, 14, 8, 6, 4, 0
11180, 11941, 1, "OK", 1, 15, 1, 1, 1, 0, 0, 0
12820, 14361, 1, "OK", 4, 36, 15, 15, 9, 6, 4, 0
12789, 13272, 1, "OK", 1, 11, 1, 1, 1, 0, 0, 0
13083, 14398, 1, "OK", 4, 33, 15, 15, 9, 6, 4, 0
11993, 14398, 1, "OK", 3, 49, 15, 15, 9, 6, 4, 0
12289, 14437, 1, "OK", 4, 46, 15, 15, 9, 6, 4, 0
11817, 14729, 1, "OK", 2, 61, 16, 16, 10, 6, 4, 0
12289, 13410, 1, "OK", 1, 21, 1, 1, 1, 0, 0, 0
11235, 13314, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree String context", 0, 0, 2, 2, 2, 0, 0, 0
12747, 13549, 1, "OK", 3, 17, 1, 1, 1, 0, 0, 0
13018, 14361, 1, "OK", 4, 33, 15, 15, 9, 6, 4, 0
12692, 14240, 1, "OK", 4, 38, 15, 15, 9, 6, 4, 0
11817, 12689, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
13147, 14468, 1, "OK", 4, 33, 15, 15, 9, 6, 4, 0
11282, 12889, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
11235, 14361, 1, "OK", 4, 64, 16, 16, 10, 6, 4, 0
11401, 12286, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
11817, 14750, 1, "OK", 2, 62, 16, 16, 10, 6, 4, 0
11721, 12601, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
12850, 14468, 1, "OK", 4, 38, 15, 15, 9, 6, 4, 0
13512, 14437, 1, "OK", 3, 24, 14, 14, 8, 6, 4, 0
11319, 12786, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
11464, 14437, 1, "OK", 2, 61, 16, 16, 10, 6, 4, 0
11464, 13410, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 2, 2, 2, 0, 0, 0
11401, 13314, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree String context", 0, 0, 2, 2, 2, 0, 0, 0
11871, 13080, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
11572, 13143, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
12289, 14468, 1, "OK", 4, 47, 15, 15, 9, 6, 4, 0
12649, 13549, 1, "OK", 3, 19, 1, 1, 1, 0, 0, 0
13018, 14398, 1, "OK", 4, 34, 15, 15, 9, 6, 4, 0
11514, 12889, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
11721, 14667, 1, "OK", 3, 61, 16, 16, 10, 6, 4, 0
13413, 14437, 1, "OK", 4, 25, 14, 14, 8, 6, 4, 0
11993, 14437, 1, "OK", 3, 50, 15, 15, 9, 6, 4, 0
12789, 13314, 1, "OK", 1, 12, 1, 1, 1, 0, 0, 0
11180, 13015, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
11376, 13080, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
12820, 14398, 1, "OK", 4, 37, 15, 15, 9, 6, 4, 0
13083, 14437, 1, "OK", 4, 34, 15, 15, 9, 6, 4, 0
13147, 14501, 1, "OK", 4, 34, 15, 15, 9, 6, 4, 0
11180, 11990, 1, "OK", 1, 17, 1, 1, 1, 0, 0, 0
13083, 13410, 1, "OK", 1, 9, 1, 1, 1, 0, 0, 0
11993, 13410, 1, "OK", 1, 25, 1, 1, 1, 0, 0, 0
12196, 13272, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String nameTree String context", 0, 0, 1, 1, 1, 0, 0, 0
12850, 14501, 1, "OK", 4, 39, 15, 15, 9, 6, 4, 0
11401, 14361, 1, "OK", 2, 60, 16, 16, 10, 6, 4, 0
13552, 14240, 1, "OK", 3, 20, 14, 14, 8, 6, 4, 0
11464, 14468, 1, "OK", 2, 62, 16, 16, 10, 6, 4, 0
11235, 14398, 1, "OK", 4, 65, 16, 16, 10, 6, 4, 0
11721, 12646, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
13512, 14468, 1, "OK", 3, 25, 14, 14, 8, 6, 4, 0
11319, 12817, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
11572, 12152, 1, "OK", 0, 11, 1, 1, 1, 0, 0, 0
12289, 14501, 1, "OK", 4, 48, 15, 15, 9, 6, 4, 0
12692, 13272, 1, "OK", 1, 13, 1, 1, 1, 0, 0, 0
12789, 14361, 1, "OK", 4, 37, 15, 15, 9, 6, 4, 0
12892, 14240, 1, "OK", 4, 33, 15, 15, 9, 6, 4, 0
13883, 14236, 1, "OK", 3, 11, 11, 8, 6, 2, 3, 1
11641, 13080, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
11817, 12744, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
13413, 14468, 1, "OK", 4, 26, 14, 14, 8, 6, 4, 0
11721, 14698, 1, "OK", 3, 62, 16, 16, 10, 6, 4, 0
11993, 14468, 1, "OK", 3, 51, 15, 15, 9, 6, 4, 0
12820, 13410, 1, "OK", 1, 13, 1, 1, 1, 0, 0, 0
11464, 12438, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
13018, 14437, 1, "OK", 4, 35, 15, 15, 9, 6, 4, 0
13083, 14468, 1, "OK", 4, 35, 15, 15, 9, 6, 4, 0
13147, 13509, 1, "OK", 2, 8, 1, 1, 1, 0, 0, 0
13018, 13410, 1, "OK", 1, 10, 1, 1, 1, 0, 0, 0
11282, 11941, 1, "OK", 2, 13, 1, 1, 1, 0, 0, 0
12850, 13509, 1, "OK", 2, 13, 1, 1, 1, 0, 0, 0
13318, 14361, 1, "OK", 5, 24, 14, 14, 8, 6, 4, 0
11401, 14398, 1, "OK", 2, 61, 16, 16, 10, 6, 4, 0
11572, 13193, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree String context", 0, 0, 1, 1, 1, 0, 0, 0
12820, 14437, 1, "OK", 4, 38, 15, 15, 9, 6, 4, 0
13275, 14667, 1, "OK", 5, 32, 14, 14, 8, 6, 4, 0
13512, 14501, 1, "OK", 3, 26, 14, 14, 8, 6, 4, 0
12196, 13314, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String nameTree String context", 0, 0, 1, 1, 1, 0, 0, 0
11464, 14501, 1, "OK", 2, 63, 16, 16, 10, 6, 4, 0
11319, 12847, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
11871, 13143, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
12289, 13509, 1, "OK", 2, 22, 1, 1, 1, 0, 0, 0
11721, 14729, 1, "OK", 3, 63, 16, 16, 10, 6, 4, 0
11235, 13410, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 2, 2, 2, 0, 0, 0
11235, 14437, 1, "OK", 4, 66, 16, 16, 10, 6, 4, 0
12747, 14667, 1, "OK", 4, 44, 15, 15, 9, 6, 4, 0
13413, 14501, 1, "OK", 4, 27, 14, 14, 8, 6, 4, 0
11180, 13080, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
11572, 14240, 1, "OK", 2, 56, 16, 16, 10, 6, 4, 0
11993, 14501, 1, "OK", 3, 52, 15, 15, 9, 6, 4, 0
11514, 11941, 1, "OK", 0, 8, 1, 1, 1, 0, 0, 0
12692, 13314, 1, "OK", 1, 14, 1, 1, 1, 0, 0, 0
11721, 12689, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
12789, 14398, 1, "OK", 4, 38, 15, 15, 9, 6, 4, 0
11376, 13143, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
13018, 14468, 1, "OK", 4, 36, 15, 15, 9, 6, 4, 0
13083, 14501, 1, "OK", 4, 36, 15, 15, 9, 6, 4, 0
11817, 12786, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
12196, 14361, 1, "OK", 3, 45, 15, 15, 9, 6, 4, 0
11721, 14750, 1, "OK", 3, 64, 16, 16, 10, 6, 4, 0
13147, 13549, 1, "OK", 3, 9, 1, 1, 1, 0, 0, 0
13275, 14698, 1, "OK", 5, 33, 14, 14, 8, 6, 4, 0
12820, 14468, 1, "OK", 4, 39, 15, 15, 9, 6, 4, 0
11401, 14437, 1, "OK", 2, 62, 16, 16, 10, 6, 4, 0
11641, 13143, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
12850, 13549, 1, "OK", 3, 14, 1, 1, 1, 0, 0, 0
11464, 13509, 1, "OK", 0, 37, 2, 2, 2, 0, 0, 0
12892, 13272, 1, "OK", 1, 8, 1, 1, 1, 0, 0, 0
11401, 13410, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 2, 2, 2, 0, 0, 0
11871, 12152, 1, "OK", 0, 6, 1, 1, 1, 0, 0, 0
13318, 14398, 1, "OK", 5, 25, 14, 14, 8, 6, 4, 0
11282, 11990, 1, "OK", 2, 15, 1, 1, 1, 0, 0, 0
12692, 14361, 1, "OK", 4, 39, 15, 15, 9, 6, 4, 0
11282, 13015, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
12649, 14667, 1, "OK", 4, 46, 15, 15, 9, 6, 4, 0
11319, 12889, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
12747, 14698, 1, "OK", 4, 45, 15, 15, 9, 6, 4, 0
11235, 14468, 1, "OK", 4, 67, 16, 16, 10, 6, 4, 0
11993, 13509, 1, "OK", 1, 26, 1, 1, 1, 0, 0, 0
12789, 13410, 1, "OK", 1, 14, 1, 1, 1, 0, 0, 0
13275, 14729, 1, "OK", 5, 34, 14, 14, 8, 6, 4, 0
13018, 14501, 1, "OK", 4, 37, 15, 15, 9, 6, 4, 0
12289, 13549, 1, "OK", 3, 23, 1, 1, 1, 0, 0, 0
11376, 12152, 1, "OK", 1, 15, 1, 1, 1, 0, 0, 0
11817, 12817, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
13083, 13509, 1, "OK", 2, 10, 1, 1, 1, 0, 0, 0
11871, 13193, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree String context", 0, 0, 1, 1, 1, 0, 0, 0
11235, 12438, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
12820, 14501, 1, "OK", 4, 40, 15, 15, 9, 6, 4, 0
12789, 14437, 1, "OK", 4, 39, 15, 15, 9, 6, 4, 0
11514, 11990, 1, "OK", 0, 10, 1, 1, 1, 0, 0, 0
11401, 14468, 1, "OK", 2, 63, 16, 16, 10, 6, 4, 0
12747, 14729, 1, "OK", 4, 46, 15, 15, 9, 6, 4, 0
11514, 13015, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree", 0, 0, 1, 1, 1, 0, 0, 0
12196, 14398, 1, "OK", 3, 46, 15, 15, 9, 6, 4, 0
11376, 13193, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  StringBuffer htmlStream String nameTree String context", 0, 0, 1, 1, 1, 0, 0, 0
