A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
7132, 9373, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree", 0, 0, 6, 6, 4, 2, 2, 0
7132, 7324, 1, "OK", 0, 4, 1, 1, 1, 0, 0, 0
6878, 9057, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree", 0, 0, 6, 6, 4, 2, 2, 0
6672, 7255, 1, "OK", 1, 12, 1, 1, 1, 0, 0, 0
9941, 10364, 1, "OK", 2, 9, 3, 2, 2, 0, 1, 1
6672, 9309, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree", 0, 0, 6, 6, 4, 2, 2, 0
7599, 11292, 1, "OK", 3, 69, 21, 21, 13, 8, 6, 0
7599, 9244, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree", 0, 0, 5, 5, 3, 2, 2, 0
6966, 8385, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream", 0, 0, 6, 6, 4, 2, 2, 0
8582, 9499, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String nameTree String context", 0, 0, 1, 1, 1, 0, 0, 0
8922, 11248, 1, "OK", 6, 45, 16, 16, 10, 6, 4, 0
9850, 11145, 1, "OK", 5, 25, 15, 15, 9, 6, 4, 0
6731, 9535, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree String context", 0, 0, 7, 7, 5, 2, 2, 0
7670, 11145, 1, "OK", 3, 63, 21, 21, 13, 8, 6, 0
7199, 9373, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree", 0, 0, 5, 5, 3, 2, 2, 0
7077, 9057, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree", 0, 0, 6, 6, 4, 2, 2, 0
7327, 9499, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree String context", 0, 0, 6, 6, 4, 2, 2, 0
7670, 9112, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree", 0, 0, 5, 5, 3, 2, 2, 0
6603, 9420, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree String context", 0, 0, 6, 6, 4, 2, 2, 0
6731, 7504, 1, "OK", 2, 14, 1, 1, 1, 0, 0, 0
7016, 10955, 1, "OK", 2, 71, 22, 22, 14, 8, 6, 0
8922, 11271, 1, "OK", 6, 46, 16, 16, 10, 6, 4, 0
7926, 9373, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality defaultFunc StringBuffer htmlStream String nameTree", 0, 0, 5, 5, 3, 2, 2, 0
6821, 8819, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree", 0, 0, 6, 6, 4, 2, 2, 0
6878, 11145, 1, "OK", 3, 76, 22, 22, 14, 8, 6, 0
6903, 8328, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc", 0, 0, 6, 6, 4, 2, 2, 0
7132, 9420, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree String context", 0, 0, 6, 6, 4, 2, 2, 0
7016, 8919, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree", 0, 0, 6, 6, 4, 2, 2, 0
9850, 11184, 1, "OK", 5, 26, 15, 15, 9, 6, 4, 0
7413, 10955, 1, "OK", 3, 64, 21, 21, 13, 8, 6, 0
6878, 9112, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree", 0, 0, 6, 6, 4, 2, 2, 0
7670, 11184, 1, "OK", 3, 64, 21, 21, 13, 8, 6, 0
9376, 9499, 1, "OK", 0, 4, 1, 1, 1, 0, 0, 0
8582, 9535, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String nameTree String context", 0, 0, 1, 1, 1, 0, 0, 0
7413, 8919, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree", 0, 0, 5, 5, 3, 2, 2, 0
6603, 7404, 1, "OK", 1, 16, 1, 1, 1, 0, 0, 0
7327, 9535, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree String context", 0, 0, 6, 6, 4, 2, 2, 0
7077, 11145, 1, "OK", 2, 72, 22, 22, 14, 8, 6, 0
7258, 9629, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree", 0, 0, 6, 6, 4, 2, 2, 0
8922, 11292, 1, "OK", 6, 47, 16, 16, 10, 6, 4, 0
7016, 8950, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree", 0, 0, 6, 6, 4, 2, 2, 0
7599, 9309, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree", 0, 0, 5, 5, 3, 2, 2, 0
6672, 9373, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree", 0, 0, 6, 6, 4, 2, 2, 0
7199, 9420, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree String context", 0, 0, 5, 5, 3, 2, 2, 0
6672, 7324, 1, "OK", 1, 13, 1, 1, 1, 0, 0, 0
6878, 11184, 1, "OK", 3, 77, 22, 22, 14, 8, 6, 0
7132, 7404, 1, "OK", 0, 5, 1, 1, 1, 0, 0, 0
9850, 11215, 1, "OK", 5, 27, 15, 15, 9, 6, 4, 0
7926, 9420, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality defaultFunc StringBuffer htmlStream String nameTree String context", 0, 0, 5, 5, 3, 2, 2, 0
7077, 9112, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree", 0, 0, 6, 6, 4, 2, 2, 0
7670, 11215, 1, "OK", 3, 65, 21, 21, 13, 8, 6, 0
7413, 8950, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree", 0, 0, 5, 5, 3, 2, 2, 0
9060, 11145, 1, "OK", 6, 38, 16, 16, 10, 6, 4, 0
9376, 9535, 1, "OK", 0, 5, 1, 1, 1, 0, 0, 0
6903, 8385, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream", 0, 0, 6, 6, 4, 2, 2, 0
7016, 8981, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree", 0, 0, 6, 6, 4, 2, 2, 0
7077, 11184, 1, "OK", 2, 73, 22, 22, 14, 8, 6, 0
6731, 9629, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree", 0, 0, 7, 7, 5, 2, 2, 0
6878, 11215, 1, "OK", 3, 78, 22, 22, 14, 8, 6, 0
6603, 9499, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree String context", 0, 0, 7, 7, 5, 2, 2, 0
9850, 11248, 1, "OK", 5, 28, 15, 15, 9, 6, 4, 0
7670, 11248, 1, "OK", 3, 66, 21, 21, 13, 8, 6, 0
8340, 10955, 1, "OK", 4, 46, 16, 16, 10, 6, 4, 0
6672, 9420, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj LowFunctionality defaultFunc StringBuffer htmlStream String nameTree String context", 0, 0, 6, 6, 4, 2, 2, 0
6731, 7596, 1, "OK", 2, 15, 1, 1, 1, 0, 0, 0
