A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
27295, 29451, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] createChildRoles", 0, 0, 18, 6, 4, 2, 4, 3
25617, 30392, 1, "OK", 3, 113, 41, 31, 10, 21, 10, 1
27295, 28297, 1, "OK", 3, 24, 9, 3, 2, 1, 2, 3
26441, 27251, 1, "OK", 4, 19, 9, 3, 2, 1, 2, 3
26219, 27345, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] devChildRoles", 0, 0, 9, 3, 2, 1, 2, 3
28515, 30277, 1, "OK", 4, 42, 18, 6, 4, 2, 4, 3
26219, 28391, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] execChildRoles", 0, 0, 18, 6, 4, 2, 4, 3
27466, 28391, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] execChildRoles", 0, 0, 9, 3, 2, 1, 2, 3
28339, 29351, 1, "OK", 3, 24, 9, 3, 2, 1, 2, 3
29515, 30270, 1, "OK", 5, 17, 5, 1, 1, 0, 1, 4
29457, 30277, 1, "OK", 4, 19, 9, 3, 2, 1, 2, 3
29395, 30277, 1, "OK", 3, 20, 9, 3, 2, 1, 2, 3
28629, 29344, 1, "OK", 6, 18, 5, 1, 1, 0, 1, 4
27295, 29351, 1, "OK", 3, 49, 18, 6, 4, 2, 4, 3
26219, 27251, 1, "OK", 3, 23, 9, 3, 2, 1, 2, 3
28571, 29344, 1, "OK", 5, 19, 5, 1, 1, 0, 1, 4
26441, 28297, 1, "OK", 4, 44, 18, 6, 4, 2, 4, 3
26441, 29451, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] createChildRoles", 0, 0, 27, 9, 6, 3, 6, 3
26219, 28297, 1, "OK", 3, 48, 18, 6, 4, 2, 4, 3
26441, 29351, 1, "OK", 4, 69, 27, 9, 6, 3, 6, 3
25872, 30337, 1, "OK", 3, 105, 39, 21, 9, 12, 9, 2
28339, 30277, 1, "OK", 3, 45, 18, 6, 4, 2, 4, 3
26497, 27244, 1, "OK", 5, 17, 5, 1, 1, 0, 1, 4
25553, 30397, 1, "OK", 3, 117, 42, 42, 11, 31, 10, 0
28515, 29451, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] createChildRoles", 0, 0, 9, 3, 2, 1, 2, 3
27578, 28290, 1, "OK", 6, 18, 5, 1, 1, 0, 1, 4
25582, 30392, 1, "OK", 3, 114, 41, 31, 10, 21, 10, 1
27295, 30277, 1, "OK", 3, 70, 27, 9, 6, 3, 6, 3
26219, 29451, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] createChildRoles", 0, 0, 27, 9, 6, 3, 6, 3
27466, 28297, 1, "OK", 4, 21, 9, 3, 2, 1, 2, 3
27466, 29451, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] createChildRoles", 0, 0, 18, 6, 4, 2, 4, 3
26219, 29351, 1, "OK", 3, 73, 27, 9, 6, 3, 6, 3
26441, 30277, 1, "OK", 4, 90, 36, 12, 8, 4, 8, 3
27466, 29351, 1, "OK", 4, 46, 18, 6, 4, 2, 4, 3
29575, 30270, 1, "OK", 6, 16, 5, 1, 1, 0, 1, 4
25450, 30397, 1, "OK", 3, 119, 42, 42, 11, 31, 10, 0
26555, 27244, 1, "OK", 6, 16, 5, 1, 1, 0, 1, 4
26006, 30337, 1, "OK", 3, 102, 39, 21, 9, 12, 9, 2
27295, 28391, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] execChildRoles", 0, 0, 9, 3, 2, 1, 2, 3
26441, 27345, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] devChildRoles", 0, 0, 9, 3, 2, 1, 2, 3
28515, 29351, 1, "OK", 4, 21, 9, 3, 2, 1, 2, 3
27521, 28290, 1, "OK", 5, 19, 5, 1, 1, 0, 1, 4
27466, 30277, 1, "OK", 4, 67, 27, 9, 6, 3, 6, 3
25311, 30397, 1, "OK", 2, 122, 42, 42, 11, 31, 10, 0
26441, 28391, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] execChildRoles", 0, 0, 18, 6, 4, 2, 4, 3
28339, 29451, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LowFunctionality lowFuncChild Role[] createChildRoles", 0, 0, 9, 3, 2, 1, 2, 3
25705, 30337, 1, "OK", 3, 108, 39, 21, 9, 12, 9, 2
26219, 30277, 1, "OK", 3, 94, 36, 12, 8, 4, 8, 3
25643, 30337, 1, "OK", 3, 109, 39, 21, 9, 12, 9, 2
