A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
82060, 82356, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
82885, 82962, 1, "OK", 3, 3, 4, 1, 1, 0, 1, 3
82360, 83238, 1, "OK", 2, 23, 15, 15, 6, 9, 5, 0
82407, 83238, 1, "OK", 3, 22, 15, 15, 6, 9, 5, 0
82498, 83233, 1, "OK", 3, 19, 14, 9, 5, 4, 5, 1
82310, 83238, 1, "OK", 2, 24, 15, 15, 6, 9, 5, 0
81970, 83475, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 18, 18, 9, 9, 5, 0
82113, 82306, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
82190, 82356, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
82018, 83475, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 18, 18, 9, 9, 5, 0
82113, 82259, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
82445, 82976, 1, "OK", 2, 14, 9, 6, 3, 3, 3, 1
82190, 82306, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
82445, 83233, 1, "OK", 3, 20, 14, 9, 5, 4, 5, 1
82852, 82969, 1, "OK", 3, 5, 7, 3, 2, 1, 2, 2
81970, 83496, 1, "OK", 1, 39, 18, 18, 9, 9, 5, 0
82060, 82306, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
82060, 82259, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
82648, 82976, 1, "OK", 1, 10, 9, 6, 3, 3, 3, 1
82648, 83233, 1, "OK", 2, 16, 14, 9, 5, 4, 5, 1
82264, 83238, 1, "OK", 2, 25, 15, 15, 6, 9, 5, 0
82706, 82976, 1, "OK", 2, 9, 9, 6, 3, 3, 3, 1
82113, 82403, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
82113, 83238, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 17, 17, 8, 9, 5, 0
82190, 82259, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
82018, 83496, 1, "OK", 2, 38, 18, 18, 9, 9, 5, 0
82060, 82403, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
82190, 83238, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 17, 17, 8, 9, 5, 0
82060, 83238, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 17, 17, 8, 9, 5, 0
82981, 83233, 1, "OK", 2, 6, 5, 3, 2, 1, 2, 1
83006, 83227, 1, "OK", 2, 4, 3, 1, 1, 0, 1, 2
82498, 82976, 1, "OK", 2, 13, 9, 6, 3, 3, 3, 1
82545, 82976, 1, "OK", 2, 11, 9, 6, 3, 3, 3, 1
82706, 83233, 1, "OK", 3, 15, 14, 9, 5, 4, 5, 1
82545, 83233, 1, "OK", 3, 17, 14, 9, 5, 4, 5, 1
82113, 82356, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
82797, 82976, 1, "OK", 3, 8, 9, 6, 3, 3, 3, 1
82797, 83233, 1, "OK", 4, 14, 14, 9, 5, 4, 5, 1
82190, 82403, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
