A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
29716, 31265, 1, "OK", 3, 37, 16, 16, 11, 5, 3, 0
30166, 30595, 1, "OK", 6, 7, 5, 3, 3, 0, 1, 2
30754, 31184, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Projection projection boolean isAscending", 0, 0, 5, 3, 3, 0, 1, 2
30166, 30657, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DataStoreCalculatedField projection boolean isAscending", 0, 0, 5, 3, 3, 0, 1, 2
30727, 31122, 1, "OK", 6, 8, 5, 3, 3, 0, 1, 2
30125, 30710, 1, "OK", 6, 12, 5, 3, 3, 0, 1, 2
30727, 31184, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Projection projection boolean isAscending", 0, 0, 5, 3, 3, 0, 1, 2
30023, 31242, 1, "OK", 5, 29, 13, 10, 8, 2, 3, 1
29802, 31246, 1, "OK", 5, 32, 16, 16, 11, 5, 3, 0
30754, 31237, 1, "OK", 6, 11, 5, 3, 3, 0, 1, 2
30088, 31242, 1, "OK", 6, 27, 13, 10, 8, 2, 3, 1
29743, 31246, 1, "OK", 4, 33, 16, 16, 11, 5, 3, 0
29931, 31242, 1, "OK", 4, 30, 13, 10, 8, 2, 3, 1
30166, 30710, 1, "OK", 6, 11, 5, 3, 3, 0, 1, 2
30727, 31237, 1, "OK", 6, 12, 5, 3, 3, 0, 1, 2
29716, 31246, 1, "OK", 3, 35, 16, 16, 11, 5, 3, 0
29802, 31265, 1, "OK", 5, 34, 16, 16, 11, 5, 3, 0
30125, 30595, 1, "OK", 6, 8, 5, 3, 3, 0, 1, 2
30125, 30657, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DataStoreCalculatedField projection boolean isAscending", 0, 0, 5, 3, 3, 0, 1, 2
29743, 31265, 1, "OK", 4, 35, 16, 16, 11, 5, 3, 0
30754, 31122, 1, "OK", 6, 7, 5, 3, 3, 0, 1, 2
