A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
46203, 47472, 1, "OK", 2, 23, 12, 8, 6, 2, 4, 1
47128, 47467, 1, "OK", 3, 7, 3, 1, 1, 0, 1, 2
40736, 40820, 1, "OK", 2, 2, 8, 2, 2, 0, 1, 6
37731, 43863, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ParameterUse parameterUse HashMap<String, Object> parameterAsMap boolean showParameterLov", 0, 0, 107, 85, 37, 48, 22, 1
43899, 46199, 1, "OK", 6, 53, 54, 42, 16, 26, 12, 1
45661, 45848, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String itemVal String itemDescr LovValue defValue", 0, 0, 6, 1, 1, 0, 1, 5
38123, 46051, 1, "OK", 6, 179, 159, 126, 52, 74, 33, 1
37675, 47657, 0, "Compilation unit does not compile after method extraction.", 7, 223, 176, 137, 61, 76, 39, 1
47766, 48156, 1, "OK", 1, 13, 12, 9, 6, 3, 3, 1
41597, 41761, 1, "OK", 2, 2, 5, 2, 2, 0, 1, 3
38237, 47613, 1, "OK", 6, 209, 174, 136, 60, 76, 38, 1
44490, 46282, 1, "OK", 5, 42, 49, 39, 14, 25, 10, 1
45856, 45921, 1, "OK", 3, 1, 6, 1, 1, 0, 1, 5
46665, 47467, 1, "OK", 2, 16, 7, 3, 3, 0, 2, 2
42453, 42870, 1, "OK", 2, 8, 4, 2, 2, 0, 1, 2
38179, 42252, 1, "OK", 3, 97, 87, 70, 25, 45, 17, 1
38373, 44430, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean showParameterLov DefaultValuesList parameterValueList", 0, 0, 110, 87, 38, 49, 23, 1
38973, 42215, 1, "OK", 2, 83, 87, 70, 25, 45, 17, 1
37731, 38730, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ParameterUse parameterUse HashMap<String, Object> parameterAsMap", 0, 0, 2, 1, 1, 0, 1, 1
38448, 46199, 1, "OK", 6, 177, 159, 126, 52, 74, 33, 1
44367, 46051, 1, "OK", 3, 40, 49, 39, 14, 25, 10, 1
42795, 43584, 1, "OK", 4, 10, 7, 5, 5, 0, 1, 2
38734, 47613, 1, "OK", 6, 202, 174, 136, 60, 76, 38, 1
38973, 42252, 1, "OK", 2, 85, 87, 70, 25, 45, 17, 1
38602, 47613, 1, "OK", 6, 204, 174, 136, 60, 76, 38, 1
39371, 42210, 1, "OK", 5, 73, 85, 53, 24, 29, 16, 2
42220, 46051, 1, "OK", 6, 82, 72, 56, 27, 29, 16, 1
37675, 38444, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ParameterUse parameterUse HashMap<String, Object> parameterAsMap", 0, 0, 2, 1, 1, 0, 1, 1
38666, 47657, 1, "OK", 7, 204, 174, 136, 60, 76, 38, 1
45249, 45317, 1, "OK", 3, 3, 6, 1, 1, 0, 1, 5
38007, 47613, 1, "OK", 6, 213, 174, 136, 60, 76, 38, 1
38973, 44289, 1, "OK", 6, 124, 110, 87, 38, 49, 23, 1
45018, 45317, 1, "OK", 4, 9, 14, 4, 4, 0, 2, 5
38800, 47613, 1, "OK", 6, 201, 174, 136, 60, 76, 38, 1
45856, 45962, 1, "OK", 4, 2, 6, 1, 1, 0, 1, 5
42988, 43734, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean showParameterLov Object values", 0, 0, 7, 5, 5, 0, 1, 2
38237, 47657, 1, "OK", 7, 210, 174, 136, 60, 76, 38, 1
38007, 47657, 1, "OK", 7, 214, 174, 136, 60, 76, 38, 1
39149, 46051, 1, "OK", 6, 162, 159, 126, 52, 74, 33, 1
38179, 46425, 1, "OK", 6, 183, 161, 127, 53, 74, 34, 1
44434, 46051, 1, "OK", 4, 39, 49, 39, 14, 25, 10, 1
38448, 46282, 1, "OK", 6, 178, 159, 126, 52, 74, 33, 1
