A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
25651, 26016, 1, "OK", 3, 12, 6, 6, 3, 3, 2, 0
26176, 26318, 1, "OK", 3, 6, 5, 3, 2, 1, 2, 1
24923, 25283, 1, "OK", 3, 12, 6, 6, 3, 3, 2, 0
25651, 26393, 1, "OK", 3, 24, 12, 12, 6, 6, 4, 0
26137, 26388, 1, "OK", 3, 8, 5, 3, 2, 1, 2, 1
24923, 26393, 1, "OK", 3, 48, 24, 24, 12, 12, 8, 0
26096, 26318, 1, "OK", 2, 8, 5, 3, 2, 1, 2, 1
25120, 25208, 1, "OK", 4, 3, 3, 1, 1, 0, 1, 2
25482, 25571, 1, "OK", 4, 3, 3, 1, 1, 0, 1, 2
25850, 25939, 1, "OK", 4, 3, 3, 1, 1, 0, 1, 2
25286, 26016, 1, "OK", 3, 24, 12, 12, 6, 6, 4, 0
25286, 26393, 1, "OK", 3, 36, 18, 18, 9, 9, 6, 0
26176, 26388, 1, "OK", 4, 7, 5, 3, 2, 1, 2, 1
25651, 26408, 1, "OK", 3, 25, 12, 12, 6, 6, 4, 0
26137, 26318, 1, "OK", 2, 7, 5, 3, 2, 1, 2, 1
26019, 26393, 1, "OK", 3, 12, 6, 6, 3, 3, 2, 0
25039, 25278, 1, "OK", 3, 8, 5, 3, 2, 1, 2, 1
25039, 25214, 1, "OK", 2, 7, 5, 3, 2, 1, 2, 1
25075, 25278, 1, "OK", 4, 7, 5, 3, 2, 1, 2, 1
25075, 25214, 1, "OK", 3, 6, 5, 3, 2, 1, 2, 1
25437, 25577, 1, "OK", 3, 6, 5, 3, 2, 1, 2, 1
25805, 25945, 1, "OK", 3, 6, 5, 3, 2, 1, 2, 1
24923, 26408, 1, "OK", 3, 49, 24, 24, 12, 12, 8, 0
25437, 25643, 1, "OK", 4, 7, 5, 3, 2, 1, 2, 1
25805, 26011, 1, "OK", 4, 7, 5, 3, 2, 1, 2, 1
25286, 25648, 1, "OK", 3, 12, 6, 6, 3, 3, 2, 0
26096, 26388, 1, "OK", 2, 9, 5, 3, 2, 1, 2, 1
24923, 26016, 1, "OK", 3, 36, 18, 18, 9, 9, 6, 0
26019, 26408, 1, "OK", 3, 13, 6, 6, 3, 3, 2, 0
25286, 26408, 1, "OK", 3, 37, 18, 18, 9, 9, 6, 0
26221, 26312, 1, "OK", 4, 3, 3, 1, 1, 0, 1, 2
25361, 25577, 1, "OK", 2, 8, 5, 3, 2, 1, 2, 1
25729, 25945, 1, "OK", 2, 8, 5, 3, 2, 1, 2, 1
25361, 25643, 1, "OK", 2, 9, 5, 3, 2, 1, 2, 1
25729, 26011, 1, "OK", 2, 9, 5, 3, 2, 1, 2, 1
25400, 25643, 1, "OK", 3, 8, 5, 3, 2, 1, 2, 1
25768, 26011, 1, "OK", 3, 8, 5, 3, 2, 1, 2, 1
24923, 25648, 1, "OK", 3, 24, 12, 12, 6, 6, 4, 0
25001, 25278, 1, "OK", 2, 9, 5, 3, 2, 1, 2, 1
25001, 25214, 1, "OK", 2, 8, 5, 3, 2, 1, 2, 1
25400, 25577, 1, "OK", 2, 7, 5, 3, 2, 1, 2, 1
25768, 25945, 1, "OK", 2, 7, 5, 3, 2, 1, 2, 1
