A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
13255, 15660, 1, "OK", 3, 75, 16, 16, 16, 0, 0, 0
12804, 13251, 1, "OK", 2, 11, 3, 3, 3, 0, 0, 0
13194, 15497, 1, "OK", 2, 70, 16, 16, 16, 0, 0, 0
13255, 13618, 1, "OK", 2, 14, 4, 4, 4, 0, 0, 0
11902, 15627, 1, "OK", 1, 113, 22, 22, 22, 0, 0, 0
11902, 13067, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IMenuDAO objDao JSONObject paramsObj Menu menu", 0, 0, 6, 6, 6, 0, 0, 0
11969, 15598, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IMenuDAO objDao Menu menu", 0, 0, 22, 22, 22, 0, 0, 0
12205, 12373, 1, "OK", 3, 6, 1, 1, 1, 0, 0, 0
12804, 14797, 1, "OK", 2, 63, 16, 16, 16, 0, 0, 0
12804, 13773, 1, "OK", 2, 31, 9, 9, 9, 0, 0, 0
12063, 13190, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IMenuDAO objDao Menu menu", 0, 0, 6, 6, 6, 0, 0, 0
12100, 15627, 1, "OK", 4, 107, 22, 22, 22, 0, 0, 0
12100, 13067, 1, "OK", 4, 29, 6, 6, 6, 0, 0, 0
13025, 15627, 1, "OK", 3, 79, 16, 16, 16, 0, 0, 0
14116, 15598, 1, "OK", 2, 37, 6, 6, 6, 0, 0, 0
12590, 13251, 1, "OK", 2, 17, 5, 5, 5, 0, 0, 0
11969, 12531, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IMenuDAO objDao ArrayList<Role> rolesArrayList Role[] rolesArray Menu menu", 0, 0, 1, 1, 1, 0, 0, 0
12100, 14111, 1, "OK", 4, 67, 16, 16, 16, 0, 0, 0
13025, 14111, 1, "OK", 2, 39, 10, 10, 10, 0, 0, 0
