A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
5394, 6035, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 14, 10, 4, 6, 4, 1
5084, 6366, 1, "OK", 0, 30, 18, 18, 8, 10, 4, 0
5615, 6003, 1, "OK", 3, 9, 12, 6, 3, 3, 3, 2
5864, 5996, 1, "OK", 3, 5, 9, 3, 2, 1, 2, 3
5394, 6009, 1, "OK", 4, 15, 14, 10, 4, 6, 4, 1
5110, 6366, 1, "OK", 1, 29, 18, 18, 8, 10, 4, 0
5119, 6151, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 17, 17, 7, 10, 4, 0
5451, 6035, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 14, 10, 4, 6, 4, 1
5707, 6003, 1, "OK", 2, 8, 12, 6, 3, 3, 3, 2
5451, 6009, 1, "OK", 4, 14, 14, 10, 4, 6, 4, 1
5243, 6151, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 17, 17, 7, 10, 4, 0
5206, 6151, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 17, 17, 7, 10, 4, 0
5572, 6003, 1, "OK", 3, 10, 12, 6, 3, 3, 3, 2
5342, 6035, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 14, 10, 4, 6, 4, 1
5533, 6003, 1, "OK", 3, 11, 12, 6, 3, 3, 3, 2
5821, 6003, 1, "OK", 3, 7, 12, 6, 3, 3, 3, 2
5898, 5988, 1, "OK", 3, 3, 5, 1, 1, 0, 1, 4
5500, 6035, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 14, 10, 4, 6, 4, 1
5167, 6151, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 17, 17, 7, 10, 4, 0
5500, 6009, 1, "OK", 4, 13, 14, 10, 4, 6, 4, 1
5056, 6366, 1, "OK", 0, 31, 18, 18, 8, 10, 4, 0
5342, 6009, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Role role List<Domain> categoriesDev", 0, 0, 14, 10, 4, 6, 4, 1
