A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
10872, 11324, 1, "OK", 6, 13, 2, 2, 2, 0, 0, 0
9894, 10922, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ParameterUse paruse String selected_paruse_idStr", 0, 0, 18, 18, 10, 8, 4, 0
9988, 10822, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ParameterUse paruse String selected_paruse_idStr", 0, 0, 18, 18, 10, 8, 4, 0
10732, 10807, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 4, 1, 1, 0, 1, 3
9894, 11183, 1, "OK", 6, 33, 19, 19, 11, 8, 4, 0
11046, 11183, 1, "OK", 2, 4, 1, 1, 1, 0, 0, 0
11046, 11324, 1, "OK", 4, 9, 2, 2, 2, 0, 0, 0
9855, 10869, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ParameterUse paruse String selected_paruse_idStr", 0, 0, 18, 18, 10, 8, 4, 0
9894, 11324, 1, "OK", 7, 38, 20, 20, 12, 8, 4, 0
9855, 10992, 1, "OK", 5, 29, 18, 18, 10, 8, 4, 0
10037, 10992, 1, "OK", 6, 25, 18, 18, 10, 8, 4, 0
10139, 10398, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ParameterUse paruse String selected_paruse_idStr", 0, 0, 5, 3, 3, 0, 1, 2
9894, 10822, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ParameterUse paruse String selected_paruse_idStr", 0, 0, 18, 18, 10, 8, 4, 0
10037, 10869, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ParameterUse paruse String selected_paruse_idStr", 0, 0, 18, 18, 10, 8, 4, 0
9825, 11042, 1, "OK", 5, 31, 18, 18, 10, 8, 4, 0
9988, 10992, 1, "OK", 6, 26, 18, 18, 10, 8, 4, 0
9825, 11183, 1, "OK", 6, 36, 19, 19, 11, 8, 4, 0
