A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
7414, 7802, 1, "OK", 3, 7, 10, 4, 4, 0, 2, 3
4241, 5813, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String currentFieldOrder String currentTypOrder String objIdStr", 0, 0, 8, 8, 8, 0, 0, 0
6520, 8891, 1, "OK", 6, 58, 36, 36, 18, 18, 9, 0
5532, 5733, 1, "OK", 2, 3, 2, 2, 2, 0, 0, 0
5822, 5959, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
4241, 8891, 1, "OK", 4, 99, 49, 49, 31, 18, 9, 0
5965, 6648, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  PaginatorIFace paginator List objectsList String checked", 0, 0, 5, 5, 5, 0, 0, 0
6073, 6372, 1, "OK", 3, 6, 3, 3, 3, 0, 0, 0
6100, 6563, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List objectsList String checked", 0, 0, 5, 5, 5, 0, 0, 0
4321, 5398, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String currentFieldOrder String currentTypOrder", 0, 0, 6, 6, 6, 0, 0, 0
5236, 8778, 1, "OK", 6, 80, 44, 44, 26, 18, 9, 0
5852, 6070, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Integer objId PaginatorIFace paginator IBIObjectDAO objDAO", 0, 0, 1, 1, 1, 0, 0, 0
5236, 6731, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Integer objId PaginatorIFace paginator List objectsList String checked", 0, 0, 9, 9, 9, 0, 0, 0
5532, 8819, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  PaginatorIFace paginator ListIFace list", 0, 0, 43, 43, 25, 18, 9, 0
7965, 8154, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 2, 2, 0, 1, 2
4241, 5843, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String currentFieldOrder String currentTypOrder String objIdStr Integer objId", 0, 0, 8, 8, 8, 0, 0, 0
4321, 6435, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Integer objId PaginatorIFace paginator List objectsList String checked", 0, 0, 12, 12, 12, 0, 0, 0
4072, 5959, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String currentFieldOrder String currentTypOrder Integer objId", 0, 0, 9, 9, 9, 0, 0, 0
