A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
4891, 5628, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 9, 5, 4, 1, 2, 2
5691, 6171, 1, "OK", 2, 7, 4, 1, 1, 0, 1, 3
3286, 3930, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  HttpSession session RequestContainer requestContainer", 0, 0, 2, 1, 1, 0, 1, 1
4518, 6956, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 23, 17, 11, 6, 6, 1
3148, 4626, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  HttpServletRequest httpRequest HttpServletResponse httpResponse HttpSession session SessionContainer permanentSession IEngUserProfile profile", 0, 0, 4, 2, 2, 0, 2, 1
3449, 4513, 1, "OK", 2, 19, 4, 2, 2, 0, 2, 1
4049, 4351, 1, "OK", 2, 6, 2, 1, 1, 0, 1, 1
3215, 4351, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  HttpServletResponse httpResponse HttpSession session RequestContainer requestContainer", 0, 0, 4, 2, 2, 0, 2, 1
3339, 4351, 1, "OK", 1, 18, 4, 2, 2, 0, 2, 1
3090, 7977, 1, "OK", 3, 106, 36, 36, 19, 17, 10, 0
4436, 6956, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 23, 17, 11, 6, 6, 1
3148, 6956, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 27, 19, 13, 6, 8, 1
4049, 4626, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SessionContainer permanentSession IEngUserProfile profile", 0, 0, 2, 1, 1, 0, 1, 1
3449, 7611, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 34, 24, 17, 7, 10, 1
3449, 4795, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SessionContainer permanentSession IEngUserProfile profile", 0, 0, 6, 3, 3, 0, 3, 1
3215, 4626, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  HttpServletResponse httpResponse HttpSession session SessionContainer permanentSession IEngUserProfile profile", 0, 0, 4, 2, 2, 0, 2, 1
3286, 4733, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  HttpSession session SessionContainer permanentSession IEngUserProfile profile UserProfile publicProfile", 0, 0, 4, 2, 2, 0, 2, 1
3339, 4626, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SessionContainer permanentSession IEngUserProfile profile", 0, 0, 4, 2, 2, 0, 2, 1
4739, 7571, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 30, 22, 15, 7, 8, 1
3449, 4044, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  RequestContainer requestContainer ResponseContainer responseContainer", 0, 0, 2, 1, 1, 0, 1, 1
5755, 6290, 1, "OK", 4, 8, 4, 1, 1, 0, 1, 3
4049, 6956, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 25, 18, 12, 6, 7, 1
4632, 7571, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 30, 22, 15, 7, 8, 1
3215, 6956, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 27, 19, 13, 6, 8, 1
3286, 7571, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 34, 24, 17, 7, 10, 1
