A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
32855, 34252, 1, "OK", 2, 24, 1, 1, 1, 0, 0, 0
29290, 31087, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 20, 20, 13, 7, 6, 0
29257, 31087, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 20, 20, 13, 7, 6, 0
28648, 29483, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber int endRangePages", 0, 0, 4, 4, 4, 0, 0, 0
29582, 34322, 1, "OK", 5, 85, 21, 21, 14, 7, 6, 0
29534, 30687, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd String pageLabel String pageOfLabel", 0, 0, 18, 18, 11, 7, 6, 0
28648, 30503, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber int startRangePages int endRangePages String dotsStart String dotsEnd String pageLabel", 0, 0, 22, 22, 15, 7, 6, 0
29582, 30251, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 18, 18, 11, 7, 6, 0
28626, 34288, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber", 0, 0, 25, 25, 18, 7, 6, 0
29486, 34252, 1, "OK", 3, 86, 21, 21, 14, 7, 6, 0
28540, 35927, 1, "OK", 0, 146, 27, 27, 20, 7, 6, 0
28540, 32852, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber int startRangePages int endRangePages String dotsEnd", 0, 0, 24, 24, 17, 7, 6, 0
29559, 36076, 1, "OK", 4, 117, 23, 23, 16, 7, 6, 0
30260, 35848, 1, "OK", 6, 91, 5, 5, 5, 0, 0, 0
28981, 29414, 1, "OK", 2, 17, 3, 3, 3, 0, 0, 0
29534, 35848, 1, "OK", 3, 112, 23, 23, 16, 7, 6, 0
34291, 35848, 1, "OK", 2, 26, 2, 2, 2, 0, 0, 0
30690, 35848, 1, "OK", 8, 85, 5, 5, 5, 0, 0, 0
32724, 34252, 1, "OK", 3, 26, 1, 1, 1, 0, 0, 0
32855, 34288, 1, "OK", 3, 25, 1, 1, 1, 0, 0, 0
29447, 30344, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 18, 18, 11, 7, 6, 0
31014, 36040, 1, "OK", 6, 86, 5, 5, 5, 0, 0, 0
29004, 32814, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pagesNumber int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 23, 23, 16, 7, 6, 0
31055, 32719, 1, "OK", 1, 27, 2, 2, 2, 0, 0, 0
29420, 34252, 1, "OK", 2, 88, 21, 21, 14, 7, 6, 0
30260, 32814, 1, "OK", 2, 39, 2, 2, 2, 0, 0, 0
28540, 30831, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 22, 22, 15, 7, 6, 0
34255, 35927, 1, "OK", 3, 28, 2, 2, 2, 0, 0, 0
28648, 29531, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber int deltaPages", 0, 0, 4, 4, 4, 0, 0, 0
29360, 31011, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 19, 19, 12, 7, 6, 0
29327, 31011, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 19, 19, 12, 7, 6, 0
28981, 29444, 1, "OK", 2, 19, 3, 3, 3, 0, 0, 0
29004, 35927, 1, "OK", 3, 133, 26, 26, 19, 7, 6, 0
30690, 32814, 1, "OK", 4, 33, 2, 2, 2, 0, 0, 0
34255, 35968, 1, "OK", 3, 29, 2, 2, 2, 0, 0, 0
28648, 29556, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber int deltaPages String dotsStart", 0, 0, 4, 4, 4, 0, 0, 0
29559, 31011, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 18, 18, 11, 7, 6, 0
34325, 35848, 1, "OK", 2, 25, 2, 2, 2, 0, 0, 0
29004, 32852, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pagesNumber int startRangePages int endRangePages String dotsEnd", 0, 0, 23, 23, 16, 7, 6, 0
31014, 36076, 1, "OK", 6, 87, 5, 5, 5, 0, 0, 0
28540, 35968, 1, "OK", 0, 147, 27, 27, 20, 7, 6, 0
29420, 34288, 1, "OK", 2, 89, 21, 21, 14, 7, 6, 0
32855, 34322, 1, "OK", 3, 26, 1, 1, 1, 0, 0, 0
29447, 30377, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 18, 18, 11, 7, 6, 0
29486, 34288, 1, "OK", 3, 87, 21, 21, 14, 7, 6, 0
32724, 34288, 1, "OK", 4, 27, 1, 1, 1, 0, 0, 0
28626, 34322, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber", 0, 0, 25, 25, 18, 7, 6, 0
28648, 30597, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber int startRangePages int endRangePages String dotsStart String dotsEnd String pageLabel String pageOfLabel", 0, 0, 22, 22, 15, 7, 6, 0
29327, 31052, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 19, 19, 12, 7, 6, 0
29360, 31052, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 19, 19, 12, 7, 6, 0
28626, 30251, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 22, 22, 15, 7, 6, 0
31055, 35848, 1, "OK", 6, 80, 5, 5, 5, 0, 0, 0
28981, 29483, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pagesNumber int endRangePages", 0, 0, 3, 3, 3, 0, 0, 0
28981, 30503, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pagesNumber int startRangePages int endRangePages String dotsStart String dotsEnd String pageLabel", 0, 0, 21, 21, 14, 7, 6, 0
28893, 34252, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pagesNumber String dotsEnd", 0, 0, 24, 24, 17, 7, 6, 0
29534, 32814, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 20, 20, 13, 7, 6, 0
28626, 29248, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber", 0, 0, 2, 2, 2, 0, 0, 0
34255, 36003, 1, "OK", 3, 30, 2, 2, 2, 0, 0, 0
28540, 36003, 1, "OK", 0, 148, 27, 27, 20, 7, 6, 0
29420, 34322, 1, "OK", 2, 90, 21, 21, 14, 7, 6, 0
28648, 29579, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber int deltaPages String dotsStart String dotsEnd", 0, 0, 4, 4, 4, 0, 0, 0
29004, 30831, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pagesNumber int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 21, 21, 14, 7, 6, 0
29257, 34252, 1, "OK", 2, 95, 23, 23, 16, 7, 6, 0
30260, 35927, 1, "OK", 6, 92, 5, 5, 5, 0, 0, 0
29486, 34322, 1, "OK", 3, 88, 21, 21, 14, 7, 6, 0
30347, 34252, 1, "OK", 5, 63, 3, 3, 3, 0, 0, 0
29290, 34252, 1, "OK", 3, 94, 23, 23, 16, 7, 6, 0
30260, 32852, 1, "OK", 3, 40, 2, 2, 2, 0, 0, 0
32724, 34322, 1, "OK", 4, 28, 1, 1, 1, 0, 0, 0
29486, 30251, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 18, 18, 11, 7, 6, 0
29534, 35927, 1, "OK", 3, 113, 23, 23, 16, 7, 6, 0
29666, 29787, 1, "OK", 2, 1, 3, 2, 2, 0, 1, 1
29582, 30344, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 18, 18, 11, 7, 6, 0
29559, 31052, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 18, 18, 11, 7, 6, 0
29534, 32852, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsEnd", 0, 0, 20, 20, 13, 7, 6, 0
30690, 35927, 1, "OK", 8, 86, 5, 5, 5, 0, 0, 0
28893, 34288, 1, "OK", 1, 108, 24, 24, 17, 7, 6, 0
29004, 35968, 1, "OK", 3, 134, 26, 26, 19, 7, 6, 0
30690, 32852, 1, "OK", 5, 34, 2, 2, 2, 0, 0, 0
28540, 36040, 1, "OK", 0, 150, 27, 27, 20, 7, 6, 0
30260, 35968, 1, "OK", 6, 93, 5, 5, 5, 0, 0, 0
29257, 34288, 1, "OK", 2, 96, 23, 23, 16, 7, 6, 0
30347, 34288, 1, "OK", 6, 64, 3, 3, 3, 0, 0, 0
28981, 29531, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pagesNumber int deltaPages", 0, 0, 3, 3, 3, 0, 0, 0
29290, 34288, 1, "OK", 3, 95, 23, 23, 16, 7, 6, 0
34255, 36040, 1, "OK", 3, 32, 2, 2, 2, 0, 0, 0
29360, 31087, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 19, 19, 12, 7, 6, 0
29420, 30251, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 18, 18, 11, 7, 6, 0
29327, 31087, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 19, 19, 12, 7, 6, 0
31055, 32814, 1, "OK", 1, 28, 2, 2, 2, 0, 0, 0
30690, 35968, 1, "OK", 8, 87, 5, 5, 5, 0, 0, 0
29582, 30377, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 18, 18, 11, 7, 6, 0
28540, 28889, 1, "OK", 0, 11, 1, 1, 1, 0, 0, 0
34291, 35927, 1, "OK", 2, 27, 2, 2, 2, 0, 0, 0
29004, 36003, 1, "OK", 3, 135, 26, 26, 19, 7, 6, 0
28540, 30933, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 22, 22, 15, 7, 6, 0
29559, 31087, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 18, 18, 11, 7, 6, 0
28626, 29287, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber int prevPage", 0, 0, 2, 2, 2, 0, 0, 0
28893, 34322, 1, "OK", 1, 109, 24, 24, 17, 7, 6, 0
29534, 30831, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 18, 18, 11, 7, 6, 0
28893, 30251, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pagesNumber int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 21, 21, 14, 7, 6, 0
29257, 34322, 1, "OK", 2, 97, 23, 23, 16, 7, 6, 0
28648, 32719, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 24, 24, 17, 7, 6, 0
30347, 34322, 1, "OK", 6, 65, 3, 3, 3, 0, 0, 0
31055, 35927, 1, "OK", 6, 81, 5, 5, 5, 0, 0, 0
29290, 34322, 1, "OK", 3, 96, 23, 23, 16, 7, 6, 0
31055, 32852, 1, "OK", 2, 29, 2, 2, 2, 0, 0, 0
29534, 35968, 1, "OK", 3, 114, 23, 23, 16, 7, 6, 0
28981, 29556, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pagesNumber int deltaPages String dotsStart", 0, 0, 3, 3, 3, 0, 0, 0
34255, 36076, 1, "OK", 3, 33, 2, 2, 2, 0, 0, 0
29004, 36040, 1, "OK", 3, 137, 26, 26, 19, 7, 6, 0
30416, 34252, 1, "OK", 5, 61, 3, 3, 3, 0, 0, 0
34325, 35927, 1, "OK", 2, 26, 2, 2, 2, 0, 0, 0
28626, 29324, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber", 0, 0, 3, 3, 3, 0, 0, 0
31126, 32719, 1, "OK", 1, 25, 2, 2, 2, 0, 0, 0
29791, 30073, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages", 0, 0, 7, 5, 4, 1, 2, 1
28648, 30687, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber int startRangePages int endRangePages String dotsStart String dotsEnd String pageLabel String pageOfLabel", 0, 0, 22, 22, 15, 7, 6, 0
29606, 29662, 1, "OK", 1, 1, 2, 1, 1, 0, 1, 1
28626, 30344, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 22, 22, 15, 7, 6, 0
28981, 29579, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pagesNumber int deltaPages String dotsStart String dotsEnd", 0, 0, 3, 3, 3, 0, 0, 0
30260, 36003, 1, "OK", 6, 94, 5, 5, 5, 0, 0, 0
34291, 35968, 1, "OK", 2, 28, 2, 2, 2, 0, 0, 0
28540, 36076, 1, "OK", 0, 151, 27, 27, 20, 7, 6, 0
28981, 30597, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pagesNumber int startRangePages int endRangePages String dotsStart String dotsEnd String pageLabel String pageOfLabel", 0, 0, 21, 21, 14, 7, 6, 0
34291, 36003, 1, "OK", 2, 29, 2, 2, 2, 0, 0, 0
29004, 30933, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pagesNumber int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 21, 21, 14, 7, 6, 0
29534, 36003, 1, "OK", 3, 115, 23, 23, 16, 7, 6, 0
28893, 29248, 1, "OK", 0, 11, 1, 1, 1, 0, 0, 0
29290, 30251, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 20, 20, 13, 7, 6, 0
29257, 30251, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 20, 20, 13, 7, 6, 0
30690, 36003, 1, "OK", 8, 88, 5, 5, 5, 0, 0, 0
29447, 30503, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd String pageLabel", 0, 0, 18, 18, 11, 7, 6, 0
29327, 34252, 1, "OK", 2, 92, 22, 22, 15, 7, 6, 0
28626, 29357, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber int nextPage", 0, 0, 3, 3, 3, 0, 0, 0
29360, 34252, 1, "OK", 3, 91, 22, 22, 15, 7, 6, 0
29420, 30344, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 18, 18, 11, 7, 6, 0
29486, 30344, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 18, 18, 11, 7, 6, 0
28626, 30377, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 22, 22, 15, 7, 6, 0
30260, 36040, 1, "OK", 6, 96, 5, 5, 5, 0, 0, 0
34325, 35968, 1, "OK", 2, 27, 2, 2, 2, 0, 0, 0
31055, 35968, 1, "OK", 6, 82, 5, 5, 5, 0, 0, 0
28540, 31011, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 22, 22, 15, 7, 6, 0
28893, 29287, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pagesNumber int prevPage", 0, 0, 1, 1, 1, 0, 0, 0
29534, 36040, 1, "OK", 3, 117, 23, 23, 16, 7, 6, 0
34291, 36040, 1, "OK", 2, 31, 2, 2, 2, 0, 0, 0
30690, 36040, 1, "OK", 8, 90, 5, 5, 5, 0, 0, 0
28648, 35848, 1, "OK", 2, 143, 27, 27, 20, 7, 6, 0
29004, 36076, 1, "OK", 3, 138, 26, 26, 19, 7, 6, 0
30416, 34288, 1, "OK", 6, 62, 3, 3, 3, 0, 0, 0
29420, 30377, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 18, 18, 11, 7, 6, 0
29486, 30377, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 18, 18, 11, 7, 6, 0
28981, 32719, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pagesNumber int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 23, 23, 16, 7, 6, 0
29534, 30933, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 18, 18, 11, 7, 6, 0
30260, 36076, 1, "OK", 6, 97, 5, 5, 5, 0, 0, 0
29559, 34252, 1, "OK", 4, 84, 21, 21, 14, 7, 6, 0
28540, 28978, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber String pagesNumberString", 0, 0, 1, 1, 1, 0, 0, 0
31055, 36003, 1, "OK", 6, 83, 5, 5, 5, 0, 0, 0
31126, 35848, 1, "OK", 6, 78, 5, 5, 5, 0, 0, 0
34325, 36003, 1, "OK", 2, 28, 2, 2, 2, 0, 0, 0
29791, 30127, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int startRangePages int endRangePages String dotsEnd", 0, 0, 9, 6, 5, 1, 3, 1
29534, 36076, 1, "OK", 3, 118, 23, 23, 16, 7, 6, 0
28893, 30344, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pagesNumber int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 21, 21, 14, 7, 6, 0
28540, 29001, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber String pagesNumberString int pagesNumber", 0, 0, 1, 1, 1, 0, 0, 0
30690, 36076, 1, "OK", 8, 91, 5, 5, 5, 0, 0, 0
34325, 36040, 1, "OK", 2, 30, 2, 2, 2, 0, 0, 0
28981, 30687, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pagesNumber int startRangePages int endRangePages String dotsStart String dotsEnd String pageLabel String pageOfLabel", 0, 0, 21, 21, 14, 7, 6, 0
30600, 32719, 1, "OK", 4, 33, 2, 2, 2, 0, 0, 0
28648, 32814, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pageNumber int pagesNumber int startRangePages int endRangePages String dotsStart String dotsEnd", 0, 0, 24, 24, 17, 7, 6, 0
34291, 36076, 1, "OK", 2, 32, 2, 2, 2, 0, 0, 0
29327, 34288, 1, "OK", 2, 93, 22, 22, 15, 7, 6, 0
30416, 34322, 1, "OK", 6, 63, 3, 3, 3, 0, 0, 0
29360, 34288, 1, "OK", 3, 92, 22, 22, 15, 7, 6, 0
