A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
22847, 32168, 1, "OK", 15, 171, 156, 84, 40, 44, 24, 3
18636, 19349, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean isChecklist String popupWidth String popupHeight String popupCloseRefresh String popupSaveStr String popupSaveFunction boolean popup boolean popupSave boolean closeRefresh", 0, 0, 8, 4, 4, 0, 2, 2
26156, 27898, 1, "OK", 7, 32, 49, 14, 11, 3, 7, 5
25016, 26367, 1, "OK", 4, 19, 7, 2, 2, 0, 1, 5
28882, 31451, 1, "OK", 8, 44, 49, 14, 11, 3, 7, 5
26689, 27755, 1, "OK", 5, 21, 29, 9, 6, 3, 4, 5
19739, 32251, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SourceBean onClickSB String onClickFunction String onClickFunctionName List parameters", 0, 0, 188, 126, 51, 75, 31, 2
28610, 31686, 1, "OK", 8, 53, 49, 14, 11, 3, 7, 5
25627, 27898, 1, "OK", 8, 40, 49, 14, 11, 3, 7, 5
28394, 30185, 1, "OK", 5, 25, 14, 4, 4, 0, 2, 5
16031, 32534, 1, "OK", 0, 343, 227, 227, 71, 156, 42, 0
25431, 27858, 1, "OK", 8, 41, 49, 14, 11, 3, 7, 5
26751, 27898, 1, "OK", 5, 22, 29, 9, 6, 3, 4, 5
23705, 32208, 1, "OK", 16, 157, 147, 81, 37, 44, 22, 3
29279, 31451, 1, "OK", 8, 39, 49, 14, 11, 3, 7, 5
18766, 19434, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String popupWidth String popupHeight String popupCloseRefresh String popupSaveFunction boolean popup boolean popupSave boolean closeRefresh", 0, 0, 8, 4, 4, 0, 2, 2
17376, 17469, 1, "OK", 1, 4, 4, 2, 2, 0, 1, 2
18895, 19532, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String popupHeight String popupSaveFunction boolean popup boolean popupSave boolean closeRefresh", 0, 0, 12, 6, 6, 0, 3, 2
16142, 16812, 1, "OK", 1, 17, 3, 3, 2, 1, 1, 0
29079, 31500, 1, "OK", 8, 43, 49, 14, 11, 3, 7, 5
19739, 19978, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SourceBean onClickSB String onClickFunction String onClickFunctionName", 0, 0, 3, 1, 1, 0, 1, 2
16764, 32333, 1, "OK", 1, 320, 224, 224, 69, 155, 41, 0
17156, 18133, 1, "OK", 1, 24, 14, 10, 7, 3, 4, 1
20622, 21277, 1, "OK", 4, 14, 6, 2, 2, 0, 1, 4
19216, 19809, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 15, 7, 7, 0, 4, 2
25366, 27813, 1, "OK", 8, 41, 49, 14, 11, 3, 7, 5
18168, 19532, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SourceBean captionSB String captionName boolean conditionsVerified boolean isChecklist String popupWidth String popupHeight String popupSaveFunction boolean popup boolean popupSave boolean closeRefresh", 0, 0, 16, 8, 8, 0, 4, 2
24946, 26525, 1, "OK", 5, 22, 14, 4, 4, 0, 2, 5
28951, 31394, 1, "OK", 8, 42, 49, 14, 11, 3, 7, 5
16634, 32295, 1, "OK", 1, 320, 224, 224, 69, 155, 41, 0
26003, 26525, 1, "OK", 2, 8, 14, 4, 4, 0, 2, 5
18829, 19532, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String popupWidth String popupHeight String popupSaveFunction boolean popup boolean popupSave boolean closeRefresh", 0, 0, 12, 6, 6, 0, 3, 2
16692, 32534, 1, "OK", 1, 325, 224, 224, 69, 155, 41, 0
24838, 27813, 1, "OK", 9, 48, 49, 14, 11, 3, 7, 5
28268, 30029, 1, "OK", 4, 25, 7, 2, 2, 0, 1, 5
16220, 16465, 1, "OK", 3, 6, 2, 1, 1, 0, 1, 1
25366, 27858, 1, "OK", 8, 42, 49, 14, 11, 3, 7, 5
18962, 19532, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String popupSaveFunction boolean popup boolean popupSave boolean closeRefresh", 0, 0, 12, 6, 6, 0, 3, 2
17957, 32256, 1, "OK", 3, 278, 209, 172, 61, 111, 37, 1
28882, 31500, 1, "OK", 8, 46, 49, 14, 11, 3, 7, 5
16031, 32572, 1, "OK", 0, 344, 227, 227, 71, 156, 42, 0
23705, 32245, 1, "OK", 16, 158, 147, 81, 37, 44, 22, 3
29715, 30250, 1, "OK", 2, 9, 14, 4, 4, 0, 2, 5
18301, 19532, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String captionName boolean conditionsVerified boolean isChecklist String popupWidth String popupHeight String popupSaveFunction boolean popup boolean popupSave boolean closeRefresh", 0, 0, 16, 8, 8, 0, 4, 2
29878, 31339, 1, "OK", 7, 28, 49, 14, 11, 3, 7, 5
16142, 16843, 1, "OK", 1, 18, 3, 3, 2, 1, 1, 0
22847, 32208, 1, "OK", 15, 172, 156, 84, 40, 44, 24, 3
19281, 19875, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 15, 7, 7, 0, 4, 2
16764, 32370, 1, "OK", 1, 321, 224, 224, 69, 155, 41, 0
29279, 31500, 1, "OK", 8, 41, 49, 14, 11, 3, 7, 5
16692, 32572, 1, "OK", 1, 326, 224, 224, 69, 155, 41, 0
24838, 27858, 1, "OK", 9, 49, 49, 14, 11, 3, 7, 5
17296, 17946, 1, "OK", 3, 17, 12, 6, 6, 0, 3, 2
22817, 22920, 1, "OK", 1, 4, 4, 1, 1, 0, 1, 3
18239, 19434, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SourceBean captionSB String captionName boolean conditionsVerified boolean isChecklist String popupWidth String popupHeight String popupCloseRefresh String popupSaveFunction boolean popup boolean popupSave boolean closeRefresh", 0, 0, 12, 6, 6, 0, 3, 2
25627, 27970, 1, "OK", 8, 41, 49, 14, 11, 3, 7, 5
18428, 19708, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 19, 9, 9, 0, 5, 2
25431, 27898, 1, "OK", 8, 42, 49, 14, 11, 3, 7, 5
26689, 27813, 1, "OK", 5, 22, 29, 9, 6, 3, 4, 5
28394, 30250, 1, "OK", 5, 27, 14, 4, 4, 0, 2, 5
26098, 27699, 1, "OK", 7, 29, 49, 14, 11, 3, 7, 5
29012, 31572, 1, "OK", 8, 45, 49, 14, 11, 3, 7, 5
25240, 27699, 1, "OK", 8, 41, 49, 14, 11, 3, 7, 5
29079, 31572, 1, "OK", 8, 44, 49, 14, 11, 3, 7, 5
17957, 32291, 1, "OK", 3, 279, 209, 172, 61, 111, 37, 1
