A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
2323, 3522, 1, "OK", 2, 31, 16, 16, 7, 9, 4, 0
2421, 3495, 1, "OK", 2, 27, 14, 10, 5, 5, 4, 1
3024, 3490, 1, "OK", 2, 12, 5, 3, 2, 1, 1, 2
2563, 3012, 1, "OK", 2, 11, 4, 1, 1, 0, 1, 3
3144, 3484, 1, "OK", 2, 9, 4, 1, 1, 0, 1, 3
2447, 3490, 1, "OK", 2, 25, 12, 6, 4, 2, 3, 2
2497, 3012, 1, "OK", 2, 12, 4, 1, 1, 0, 1, 3
2278, 3499, 1, "OK", 1, 32, 16, 16, 7, 9, 4, 0
2323, 3499, 1, "OK", 2, 30, 16, 16, 7, 9, 4, 0
3076, 3484, 1, "OK", 2, 10, 4, 1, 1, 0, 1, 3
2366, 3495, 1, "OK", 2, 28, 14, 10, 5, 5, 4, 1
2278, 3522, 1, "OK", 1, 33, 16, 16, 7, 9, 4, 0
