A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
36713, 39320, 1, "OK", 5, 37, 13, 11, 9, 2, 2, 1
38033, 39107, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String path String src String url", 0, 0, 3, 1, 1, 0, 1, 2
36069, 39320, 1, "OK", 4, 52, 19, 15, 12, 3, 4, 1
35136, 39320, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 37, 28, 20, 8, 9, 1
33843, 39725, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 59, 59, 35, 24, 14, 0
38091, 39107, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String path String src String url", 0, 0, 3, 1, 1, 0, 1, 2
38182, 39107, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String path String src String url", 0, 0, 3, 1, 1, 0, 1, 2
37959, 39107, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String path String src String url", 0, 0, 3, 1, 1, 0, 1, 2
35278, 36174, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 16, 12, 7, 5, 4, 1
34320, 34640, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 2, 2, 0, 2, 2
38429, 39107, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String src String url", 0, 0, 3, 1, 1, 0, 1, 2
35251, 39320, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 35, 27, 19, 8, 8, 1
33883, 39748, 1, "OK", 6, 136, 59, 59, 35, 24, 14, 0
35035, 36037, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 20, 14, 9, 5, 6, 1
34760, 39697, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 47, 47, 28, 19, 11, 0
34331, 34567, 1, "OK", 1, 6, 3, 1, 1, 0, 1, 2
35035, 35273, 1, "OK", 3, 8, 4, 2, 2, 0, 2, 1
38091, 39132, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String path String url", 0, 0, 3, 1, 1, 0, 1, 2
39328, 39697, 1, "OK", 5, 9, 5, 5, 4, 1, 1, 0
33843, 39748, 1, "OK", 5, 138, 59, 59, 35, 24, 14, 0
33964, 39325, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 54, 54, 31, 23, 13, 0
35251, 36037, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 16, 12, 7, 5, 4, 1
37959, 39132, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String path String url", 0, 0, 3, 1, 1, 0, 1, 2
