A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
26245, 26412, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
26340, 26412, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
31230, 32263, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Date valueDate Date valueFilterDate", 0, 0, 2, 1, 1, 0, 1, 1
29020, 31009, 1, "OK", 4, 34, 9, 7, 7, 0, 2, 1
33418, 34209, 1, "OK", 3, 12, 3, 3, 3, 0, 0, 1
27040, 27109, 1, "OK", 2, 1, 1, 1, 1, 0, 0, 2
27120, 28213, 1, "OK", 3, 16, 5, 5, 5, 0, 0, 1
27257, 28213, 1, "OK", 3, 14, 4, 4, 4, 0, 0, 1
31532, 32263, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Date valueDate Date valueFilterDate", 0, 0, 2, 1, 1, 0, 1, 1
26298, 34770, 1, "OK", 4, 157, 39, 39, 32, 7, 7, 0
28255, 34770, 1, "OK", 4, 122, 25, 25, 19, 6, 6, 0
28401, 31009, 1, "OK", 5, 47, 11, 8, 8, 0, 3, 1
28335, 31009, 1, "OK", 3, 49, 11, 8, 8, 0, 3, 1
26601, 28213, 1, "OK", 3, 24, 11, 10, 10, 0, 1, 1
29876, 31009, 1, "OK", 3, 16, 5, 5, 5, 0, 0, 1
26245, 34770, 1, "OK", 5, 158, 39, 39, 32, 7, 7, 0
26340, 34770, 1, "OK", 4, 155, 38, 38, 31, 7, 7, 0
26298, 26337, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
30330, 31009, 1, "OK", 3, 10, 2, 2, 2, 0, 0, 1
31230, 34209, 1, "OK", 4, 58, 11, 8, 8, 0, 3, 1
29727, 31009, 1, "OK", 3, 18, 7, 6, 6, 0, 1, 1
31590, 32263, 1, "OK", 3, 15, 2, 1, 1, 0, 1, 1
26245, 26337, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
31590, 34209, 1, "OK", 6, 51, 11, 8, 8, 0, 3, 1
33022, 34209, 1, "OK", 3, 18, 7, 6, 6, 0, 1, 1
28365, 31009, 1, "OK", 4, 48, 11, 8, 8, 0, 3, 1
32267, 34209, 1, "OK", 5, 36, 9, 7, 7, 0, 2, 1
31230, 32947, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Date valueDate Date valueFilterDate", 0, 0, 4, 2, 2, 0, 2, 1
31532, 34209, 1, "OK", 4, 53, 11, 8, 8, 0, 3, 1
29020, 29648, 1, "OK", 2, 13, 2, 1, 1, 0, 1, 1
31128, 32263, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String format Date valueDate Date valueFilterDate", 0, 0, 2, 1, 1, 0, 1, 1
26569, 28213, 1, "OK", 3, 25, 11, 10, 10, 0, 1, 1
31590, 32947, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Date valueDate Date valueFilterDate", 0, 0, 4, 2, 2, 0, 2, 1
26298, 26376, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
28401, 29016, 1, "OK", 2, 13, 2, 1, 1, 0, 1, 1
31128, 34209, 1, "OK", 3, 59, 11, 8, 8, 0, 3, 1
