A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
4342, 4732, 1, "OK", 1, 9, 3, 3, 3, 0, 0, 0
3914, 4692, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String theme String backUrl boolean isSSOActive String pwd", 0, 0, 4, 4, 4, 0, 0, 0
4100, 7115, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String theme String backUrl String userId", 0, 0, 7, 7, 6, 1, 1, 0
3521, 7661, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String callback String userId Locale locale", 0, 0, 11, 11, 10, 1, 1, 0
4342, 6788, 1, "OK", 3, 46, 7, 7, 6, 1, 1, 0
3716, 4692, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String theme String backUrl boolean isSSOActive String usr String pwd", 0, 0, 4, 4, 4, 0, 0, 0
7543, 7911, 1, "OK", 2, 5, 1, 1, 1, 0, 0, 0
3798, 6247, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String theme String backUrl String usr String userUniqueIdentifier", 0, 0, 8, 8, 7, 1, 1, 0
3670, 4075, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String callback String usr String pwd", 0, 0, 1, 1, 1, 0, 0, 0
3955, 6508, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String theme String backUrl String userUniqueIdentifier", 0, 0, 8, 8, 7, 1, 1, 0
3798, 4211, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String theme String usr String pwd", 0, 0, 1, 1, 1, 0, 0, 0
4261, 6247, 1, "OK", 4, 39, 7, 7, 6, 1, 1, 0
3955, 7539, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String userId Locale locale", 0, 0, 11, 11, 10, 1, 1, 0
4216, 6616, 1, "OK", 3, 46, 7, 7, 6, 1, 1, 0
3353, 8798, 1, "OK", 4, 116, 16, 16, 14, 2, 2, 0
3798, 7295, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String backUrl String usr String userId", 0, 0, 10, 10, 9, 1, 1, 0
3564, 6360, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String callback String theme String backUrl String usr String userUniqueIdentifier", 0, 0, 8, 8, 7, 1, 1, 0
3481, 7911, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String callback String userId", 0, 0, 12, 12, 11, 1, 1, 0
3521, 4624, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String callback String theme String backUrl boolean isSSOActive String usr String pwd", 0, 0, 3, 3, 3, 0, 0, 0
3914, 4732, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String theme String backUrl boolean isSSOActive String pwd", 0, 0, 4, 4, 4, 0, 0, 0
4216, 7661, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String userId Locale locale", 0, 0, 10, 10, 9, 1, 1, 0
3716, 4732, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String theme String backUrl boolean isSSOActive String usr String pwd", 0, 0, 4, 4, 4, 0, 0, 0
4261, 7295, 1, "OK", 5, 58, 9, 9, 8, 1, 1, 0
3914, 6788, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String theme String backUrl String userId", 0, 0, 8, 8, 7, 1, 1, 0
3521, 6682, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String callback String theme String backUrl String usr String userId", 0, 0, 8, 8, 7, 1, 1, 0
5051, 6360, 1, "OK", 3, 27, 4, 4, 3, 1, 1, 0
4140, 6952, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String backUrl String userId", 0, 0, 7, 7, 6, 1, 1, 0
3716, 6788, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String theme String backUrl String usr String userId", 0, 0, 8, 8, 7, 1, 1, 0
3564, 4337, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String callback String theme String backUrl String usr String pwd", 0, 0, 1, 1, 1, 0, 0, 0
6686, 7911, 1, "OK", 3, 24, 4, 4, 4, 0, 0, 0
6871, 7295, 1, "OK", 1, 8, 2, 2, 2, 0, 0, 0
3798, 4257, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String theme String backUrl String usr String pwd", 0, 0, 1, 1, 1, 0, 0, 0
