A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
12238, 13139, 1, "OK", 1, 30, 9, 9, 6, 3, 2, 0
12204, 13423, 1, "OK", 2, 40, 10, 10, 7, 3, 2, 0
11321, 14171, 1, "OK", 1, 104, 31, 31, 21, 10, 7, 0
11354, 14171, 1, "OK", 1, 103, 31, 31, 21, 10, 7, 0
11378, 14195, 1, "OK", 1, 102, 31, 31, 21, 10, 7, 0
13493, 14165, 1, "OK", 1, 23, 9, 6, 4, 2, 3, 1
12238, 14171, 1, "OK", 2, 66, 20, 20, 12, 8, 5, 0
11681, 12235, 1, "OK", 1, 21, 6, 6, 5, 1, 1, 0
11681, 11979, 1, "OK", 0, 12, 5, 5, 4, 1, 1, 0
12204, 14195, 1, "OK", 2, 69, 20, 20, 12, 8, 5, 0
12259, 13003, 1, "OK", 1, 20, 7, 5, 4, 1, 2, 1
11321, 13423, 1, "OK", 1, 77, 21, 21, 16, 5, 4, 0
11354, 13423, 1, "OK", 1, 76, 21, 21, 16, 5, 4, 0
11681, 13010, 1, "OK", 1, 45, 14, 14, 10, 4, 3, 0
12046, 12201, 1, "OK", 1, 4, 1, 1, 1, 0, 0, 0
11321, 14195, 1, "OK", 1, 106, 31, 31, 21, 10, 7, 0
11354, 14195, 1, "OK", 1, 105, 31, 31, 21, 10, 7, 0
12499, 13003, 1, "OK", 1, 16, 7, 5, 4, 1, 2, 1
12238, 14195, 1, "OK", 2, 68, 20, 20, 12, 8, 5, 0
12640, 12997, 1, "OK", 1, 12, 5, 3, 3, 0, 1, 2
12238, 13423, 1, "OK", 2, 39, 10, 10, 7, 3, 2, 0
13742, 14160, 1, "OK", 1, 16, 7, 3, 3, 0, 2, 2
11378, 11677, 1, "OK", 0, 12, 5, 5, 4, 1, 1, 0
11681, 13295, 1, "OK", 1, 55, 15, 15, 11, 4, 3, 0
11791, 11933, 1, "OK", 1, 5, 3, 2, 2, 0, 1, 1
13016, 13388, 1, "OK", 1, 11, 2, 2, 2, 0, 0, 0
13016, 13139, 1, "OK", 0, 3, 1, 1, 1, 0, 0, 0
12046, 12235, 1, "OK", 1, 5, 1, 1, 1, 0, 0, 0
12116, 13388, 1, "OK", 2, 42, 11, 11, 8, 3, 2, 0
11378, 12201, 1, "OK", 1, 33, 11, 11, 9, 2, 2, 0
11321, 11677, 1, "OK", 1, 16, 5, 5, 4, 1, 1, 0
12046, 13010, 1, "OK", 1, 29, 9, 9, 6, 3, 2, 0
11354, 11677, 1, "OK", 0, 15, 5, 5, 4, 1, 1, 0
13016, 14171, 1, "OK", 1, 39, 12, 12, 7, 5, 3, 0
12116, 13139, 1, "OK", 2, 34, 10, 10, 7, 3, 2, 0
14032, 14160, 1, "OK", 2, 6, 4, 2, 2, 0, 1, 2
12116, 14171, 1, "OK", 2, 70, 21, 21, 13, 8, 5, 0
13570, 14165, 1, "OK", 1, 20, 9, 6, 4, 2, 3, 1
11321, 12201, 1, "OK", 1, 37, 11, 11, 9, 2, 2, 0
11354, 12201, 1, "OK", 1, 36, 11, 11, 9, 2, 2, 0
12116, 13423, 1, "OK", 2, 43, 11, 11, 8, 3, 2, 0
13016, 14195, 1, "OK", 1, 41, 12, 12, 7, 5, 3, 0
13471, 14171, 1, "OK", 1, 26, 10, 10, 5, 5, 3, 0
12683, 12997, 1, "OK", 2, 11, 5, 3, 3, 0, 1, 2
13595, 14165, 1, "OK", 1, 19, 9, 6, 4, 2, 3, 1
13016, 13423, 1, "OK", 1, 12, 2, 2, 2, 0, 0, 0
13785, 14160, 1, "OK", 2, 15, 7, 3, 3, 0, 2, 2
11378, 12235, 1, "OK", 1, 34, 11, 11, 9, 2, 2, 0
11378, 11979, 1, "OK", 0, 25, 10, 10, 8, 2, 2, 0
12832, 12997, 1, "OK", 2, 6, 2, 2, 2, 0, 0, 2
12204, 13010, 1, "OK", 1, 25, 8, 8, 5, 3, 2, 0
12328, 13003, 1, "OK", 1, 18, 7, 5, 4, 1, 2, 1
11378, 13010, 1, "OK", 1, 58, 19, 19, 14, 5, 4, 0
12116, 14195, 1, "OK", 2, 72, 21, 21, 13, 8, 5, 0
12046, 13295, 1, "OK", 1, 39, 10, 10, 7, 3, 2, 0
12568, 12997, 1, "OK", 1, 13, 5, 3, 3, 0, 1, 2
11489, 11631, 1, "OK", 1, 5, 3, 2, 2, 0, 1, 1
13546, 14165, 1, "OK", 1, 21, 9, 6, 4, 2, 3, 1
13670, 14160, 1, "OK", 1, 17, 7, 3, 3, 0, 2, 2
13471, 14195, 1, "OK", 1, 28, 10, 10, 5, 5, 3, 0
11321, 12235, 1, "OK", 1, 38, 11, 11, 9, 2, 2, 0
