A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
5447, 7080, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean first String catValue", 0, 0, 42, 32, 17, 15, 10, 1
7335, 7945, 1, "OK", 4, 14, 12, 3, 3, 0, 3, 3
5399, 5753, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean first String catValue int contSer", 0, 0, 9, 6, 4, 2, 3, 1
4779, 8336, 1, "OK", 1, 107, 64, 64, 24, 40, 16, 0
5559, 5660, 1, "OK", 1, 3, 4, 2, 2, 0, 1, 2
7308, 7506, 1, "OK", 1, 7, 4, 1, 1, 0, 1, 3
4845, 8336, 1, "OK", 2, 105, 64, 64, 24, 40, 16, 0
5127, 8299, 1, "OK", 3, 96, 64, 64, 24, 40, 16, 0
5348, 7080, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean first HashMap additionalValues String catValue", 0, 0, 42, 32, 17, 15, 10, 1
5018, 8355, 1, "OK", 2, 101, 64, 64, 24, 40, 16, 0
4666, 8257, 1, "OK", 1, 109, 64, 64, 24, 40, 16, 0
4898, 8233, 1, "OK", 2, 100, 64, 64, 24, 40, 16, 0
5757, 8229, 1, "OK", 6, 69, 54, 41, 19, 22, 13, 1
4630, 8355, 1, "OK", 1, 113, 64, 64, 24, 40, 16, 0
4994, 8336, 1, "OK", 2, 101, 64, 64, 24, 40, 16, 0
5943, 7075, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String catValue int contSer", 0, 0, 31, 19, 12, 7, 6, 2
7335, 8216, 1, "OK", 5, 21, 16, 4, 4, 0, 4, 3
4508, 8299, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DefaultCategoryDataset dataset DatasetMap datasets", 0, 0, 64, 64, 24, 40, 16, 0
4705, 8336, 1, "OK", 1, 110, 64, 64, 24, 40, 16, 0
5902, 7075, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String catValue int contSer", 0, 0, 31, 19, 12, 7, 6, 2
4845, 8355, 1, "OK", 2, 106, 64, 64, 24, 40, 16, 0
4779, 8355, 1, "OK", 1, 108, 64, 64, 24, 40, 16, 0
5559, 5679, 1, "OK", 1, 4, 4, 2, 2, 0, 1, 2
5103, 8299, 1, "OK", 2, 97, 64, 64, 24, 40, 16, 0
4994, 8355, 1, "OK", 2, 102, 64, 64, 24, 40, 16, 0
4705, 8355, 1, "OK", 1, 111, 64, 64, 24, 40, 16, 0
4898, 8257, 1, "OK", 2, 102, 64, 64, 24, 40, 16, 0
5254, 8229, 1, "OK", 3, 90, 63, 47, 23, 24, 16, 1
5737, 7080, 1, "OK", 4, 39, 33, 26, 13, 13, 7, 1
