A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
10934, 11322, 1, "OK", 1, 12, 4, 4, 4, 0, 0, 0
10091, 14417, 1, "OK", 2, 136, 44, 44, 31, 13, 12, 0
10540, 13298, 1, "OK", 1, 84, 27, 27, 19, 8, 7, 0
10091, 15440, 1, "OK", 2, 172, 58, 58, 40, 18, 17, 0
13339, 13564, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String fontS String sizeS", 0, 0, 2, 1, 1, 0, 1, 1
14534, 14918, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String fontS String sizeS String colorS", 0, 0, 4, 2, 2, 0, 2, 1
12219, 12444, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String fontS String sizeS", 0, 0, 2, 1, 1, 0, 1, 1
10408, 14325, 1, "OK", 1, 126, 43, 43, 30, 13, 12, 0
12527, 13147, 1, "OK", 4, 24, 10, 6, 6, 0, 4, 1
13647, 14267, 1, "OK", 4, 24, 10, 6, 6, 0, 4, 1
10408, 13298, 1, "OK", 1, 90, 29, 29, 21, 8, 7, 0
10540, 14325, 1, "OK", 1, 120, 41, 41, 28, 13, 12, 0
9894, 11322, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 10, 10, 10, 0, 0, 0
9861, 11322, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 10, 10, 10, 0, 0, 0
12296, 13147, 1, "OK", 2, 29, 12, 7, 7, 0, 5, 1
13416, 14267, 1, "OK", 2, 29, 12, 7, 7, 0, 5, 1
10144, 14325, 1, "OK", 2, 133, 44, 44, 31, 13, 12, 0
12089, 15464, 1, "OK", 1, 115, 42, 42, 27, 15, 15, 0
10144, 13298, 1, "OK", 2, 97, 30, 30, 22, 8, 7, 0
