A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
1977, 5337, 1, "OK", 2, 92, 24, 24, 16, 8, 4, 0
4435, 4916, 1, "OK", 2, 12, 2, 2, 2, 0, 0, 0
2532, 3493, 1, "OK", 2, 30, 17, 17, 9, 8, 4, 0
3715, 4708, 1, "OK", 2, 26, 4, 4, 4, 0, 0, 0
2568, 4431, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  NumberAxis domainAxis NumberAxis rangeAxis", 0, 0, 19, 19, 11, 8, 4, 0
1900, 2613, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  XYPlot plot XYItemRenderer renderer", 0, 0, 2, 2, 2, 0, 0, 0
5281, 5320, 1, "OK", 1, 2, 1, 1, 1, 0, 0, 0
2357, 3806, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  NumberAxis domainAxis NumberAxis rangeAxis", 0, 0, 17, 17, 9, 8, 4, 0
2258, 3806, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  NumberAxis domainAxis NumberAxis rangeAxis", 0, 0, 17, 17, 9, 8, 4, 0
2392, 3747, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  XYPlot plot NumberAxis domainAxis", 0, 0, 17, 17, 9, 8, 4, 0
1952, 5102, 1, "OK", 3, 83, 23, 23, 15, 8, 4, 0
3619, 4624, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  NumberAxis domainAxis NumberAxis rangeAxis TickUnits domainUnits", 0, 0, 4, 4, 4, 0, 0, 0
4243, 4741, 1, "OK", 2, 15, 4, 4, 4, 0, 0, 0
1537, 2613, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DefaultXYZDataset dataset JFreeChart chart XYPlot plot XYItemRenderer renderer", 0, 0, 2, 2, 2, 0, 0, 0
1900, 4672, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  NumberAxis domainAxis NumberAxis rangeAxis", 0, 0, 23, 23, 15, 8, 4, 0
4219, 4462, 1, "OK", 1, 8, 2, 2, 2, 0, 0, 0
1952, 4085, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  NumberAxis domainAxis NumberAxis rangeAxis", 0, 0, 19, 19, 11, 8, 4, 0
4465, 5035, 1, "OK", 2, 12, 2, 2, 2, 0, 0, 0
2698, 3489, 1, "OK", 3, 21, 16, 12, 8, 4, 4, 1
3750, 4672, 1, "OK", 2, 23, 4, 4, 4, 0, 0, 0
4088, 4431, 1, "OK", 1, 11, 2, 2, 2, 0, 0, 0
5281, 5337, 1, "OK", 1, 4, 1, 1, 1, 0, 0, 0
2121, 3973, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  NumberAxis domainAxis NumberAxis rangeAxis", 0, 0, 17, 17, 9, 8, 4, 0
