A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
2972, 3547, 1, "OK", 1, 9, 25, 11, 7, 4, 7, 2
4695, 4793, 1, "OK", 1, 1, 4, 1, 1, 0, 1, 3
2846, 4896, 1, "OK", 1, 28, 81, 59, 22, 37, 22, 1
4023, 4121, 1, "OK", 1, 1, 4, 1, 1, 0, 1, 3
3597, 4017, 1, "OK", 1, 4, 16, 4, 4, 0, 4, 3
4495, 4596, 1, "OK", 1, 1, 4, 1, 1, 0, 1, 3
3823, 3924, 1, "OK", 1, 1, 4, 1, 1, 0, 1, 3
4269, 4689, 1, "OK", 1, 4, 16, 4, 4, 0, 4, 3
2972, 3300, 1, "OK", 1, 5, 14, 6, 4, 2, 4, 2
2548, 4926, 1, "OK", 1, 41, 83, 83, 24, 59, 22, 0
3058, 4219, 1, "OK", 2, 16, 49, 23, 13, 10, 13, 2
3713, 4017, 1, "OK", 1, 3, 12, 3, 3, 0, 3, 3
2921, 4891, 1, "OK", 1, 26, 79, 37, 21, 16, 21, 2
3305, 4891, 1, "OK", 2, 20, 65, 31, 17, 14, 17, 2
2972, 3053, 1, "OK", 1, 1, 3, 1, 1, 0, 1, 2
4385, 4689, 1, "OK", 1, 3, 12, 3, 3, 0, 3, 3
2730, 4926, 1, "OK", 2, 36, 83, 83, 24, 59, 22, 0
2669, 4900, 1, "OK", 1, 35, 83, 83, 24, 59, 22, 0
2570, 4900, 1, "OK", 1, 38, 83, 83, 24, 59, 22, 0
2603, 4900, 1, "OK", 1, 37, 83, 83, 24, 59, 22, 0
3930, 4213, 1, "OK", 1, 3, 12, 3, 3, 0, 3, 3
3200, 3294, 1, "OK", 1, 1, 4, 1, 1, 0, 1, 3
4602, 4885, 1, "OK", 1, 3, 12, 3, 3, 0, 3, 3
3349, 3541, 1, "OK", 1, 2, 8, 2, 2, 0, 2, 3
2972, 4219, 1, "OK", 1, 17, 52, 24, 14, 10, 14, 2
4495, 4885, 1, "OK", 1, 4, 16, 4, 4, 0, 4, 3
3823, 4213, 1, "OK", 1, 4, 16, 4, 4, 0, 4, 3
3597, 3924, 1, "OK", 1, 3, 12, 3, 3, 0, 3, 3
4269, 4596, 1, "OK", 1, 3, 12, 3, 3, 0, 3, 3
3058, 4891, 1, "OK", 2, 24, 76, 36, 20, 16, 20, 2
2669, 4926, 1, "OK", 1, 37, 83, 83, 24, 59, 22, 0
2570, 4926, 1, "OK", 1, 40, 83, 83, 24, 59, 22, 0
2603, 4926, 1, "OK", 1, 39, 83, 83, 24, 59, 22, 0
3713, 3924, 1, "OK", 1, 2, 8, 2, 2, 0, 2, 3
4385, 4596, 1, "OK", 1, 2, 8, 2, 2, 0, 2, 3
3349, 3441, 1, "OK", 1, 1, 4, 1, 1, 0, 1, 3
3597, 3817, 1, "OK", 1, 2, 8, 2, 2, 0, 2, 3
4269, 4489, 1, "OK", 1, 2, 8, 2, 2, 0, 2, 3
3102, 3294, 1, "OK", 1, 2, 8, 2, 2, 0, 2, 3
2972, 4891, 1, "OK", 1, 25, 79, 37, 21, 16, 21, 2
3930, 4121, 1, "OK", 1, 2, 8, 2, 2, 0, 2, 3
4602, 4793, 1, "OK", 1, 2, 8, 2, 2, 0, 2, 3
2819, 4900, 1, "OK", 1, 31, 82, 82, 23, 59, 22, 0
3597, 4213, 1, "OK", 1, 6, 24, 6, 6, 0, 6, 3
3713, 3817, 1, "OK", 1, 1, 4, 1, 1, 0, 1, 3
4495, 4793, 1, "OK", 1, 3, 12, 3, 3, 0, 3, 3
3823, 4121, 1, "OK", 1, 3, 12, 3, 3, 0, 3, 3
4269, 4885, 1, "OK", 1, 6, 24, 6, 6, 0, 6, 3
4385, 4489, 1, "OK", 1, 1, 4, 1, 1, 0, 1, 3
2548, 2816, 1, "OK", 1, 8, 1, 1, 1, 0, 0, 0
4269, 4379, 1, "OK", 1, 1, 4, 1, 1, 0, 1, 3
3597, 3707, 1, "OK", 1, 1, 4, 1, 1, 0, 1, 3
2921, 3547, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SourceBean att String name", 0, 0, 25, 11, 7, 4, 7, 2
3305, 3547, 1, "OK", 2, 4, 11, 5, 3, 2, 3, 2
3713, 4213, 1, "OK", 1, 5, 20, 5, 5, 0, 5, 3
2730, 2816, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
4385, 4885, 1, "OK", 1, 5, 20, 5, 5, 0, 5, 3
3930, 4017, 1, "OK", 1, 1, 4, 1, 1, 0, 1, 3
4602, 4689, 1, "OK", 1, 1, 4, 1, 1, 0, 1, 3
3102, 3194, 1, "OK", 1, 1, 4, 1, 1, 0, 1, 3
2819, 4926, 1, "OK", 1, 33, 82, 82, 23, 59, 22, 0
2921, 3300, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SourceBean att String name", 0, 0, 14, 6, 4, 2, 4, 2
3552, 4219, 1, "OK", 2, 8, 27, 13, 7, 6, 7, 2
4695, 4885, 1, "OK", 1, 2, 8, 2, 2, 0, 2, 3
4224, 4891, 1, "OK", 2, 8, 27, 13, 7, 6, 7, 2
4023, 4213, 1, "OK", 1, 2, 8, 2, 2, 0, 2, 3
4495, 4689, 1, "OK", 1, 2, 8, 2, 2, 0, 2, 3
3823, 4017, 1, "OK", 1, 2, 8, 2, 2, 0, 2, 3
2921, 3053, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SourceBean att String name", 0, 0, 3, 1, 1, 0, 1, 2
3058, 3547, 1, "OK", 2, 8, 22, 10, 6, 4, 6, 2
3597, 4121, 1, "OK", 1, 5, 20, 5, 5, 0, 5, 3
4269, 4793, 1, "OK", 1, 5, 20, 5, 5, 0, 5, 3
2548, 4900, 1, "OK", 1, 39, 83, 83, 24, 59, 22, 0
2921, 4219, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SourceBean att String name", 0, 0, 52, 24, 14, 10, 14, 2
3058, 3300, 1, "OK", 2, 4, 11, 5, 3, 2, 3, 2
3305, 4219, 1, "OK", 2, 12, 38, 18, 10, 8, 10, 2
2669, 2816, 1, "OK", 1, 4, 1, 1, 1, 0, 0, 0
4127, 4213, 1, "OK", 1, 1, 4, 1, 1, 0, 1, 3
