A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
29464, 29637, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Integer[] realDimensions int pos", 0, 0, 4, 1, 1, 0, 1, 3
29464, 29574, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pos String labelDim", 0, 0, 4, 1, 1, 0, 1, 3
29670, 30260, 1, "OK", 4, 15, 11, 11, 5, 6, 3, 0
29032, 30260, 1, "OK", 2, 31, 22, 22, 10, 12, 6, 0
29067, 30260, 1, "OK", 3, 30, 22, 22, 10, 12, 6, 0
29032, 30286, 1, "OK", 2, 33, 22, 22, 10, 12, 6, 0
29067, 30286, 1, "OK", 3, 32, 22, 22, 10, 12, 6, 0
29712, 30256, 1, "OK", 3, 13, 10, 7, 4, 3, 3, 1
29464, 29493, 1, "OK", 2, 2, 4, 1, 1, 0, 1, 3
29998, 30251, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 3, 2, 1, 1, 2
30058, 30087, 1, "OK", 2, 2, 4, 1, 1, 0, 1, 3
30058, 30245, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 1, 1, 0, 1, 3
29775, 30251, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 8, 4, 3, 1, 2, 2
29123, 29660, 1, "OK", 3, 13, 10, 7, 4, 3, 3, 1
29464, 29649, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 1, 1, 0, 1, 3
29082, 30260, 1, "OK", 4, 29, 22, 22, 10, 12, 6, 0
29405, 29655, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 3, 2, 1, 1, 2
29185, 29655, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 8, 4, 3, 1, 2, 2
29082, 30286, 1, "OK", 4, 31, 22, 22, 10, 12, 6, 0
30058, 30233, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Integer[] realDimensions int pos", 0, 0, 4, 1, 1, 0, 1, 3
30058, 30170, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pos String labelDim", 0, 0, 4, 1, 1, 0, 1, 3
