A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
13504, 14469, 1, "OK", 6, 20, 7, 4, 3, 1, 1, 3
12116, 14740, 1, "OK", 5, 61, 32, 25, 14, 11, 7, 1
12371, 12853, 1, "OK", 3, 11, 7, 3, 3, 0, 2, 2
13191, 13414, 1, "OK", 2, 7, 6, 2, 2, 0, 1, 4
13231, 13454, 1, "OK", 3, 7, 6, 2, 2, 0, 1, 4
13050, 14469, 1, "OK", 6, 31, 18, 9, 7, 2, 3, 3
13614, 14010, 1, "OK", 5, 8, 5, 1, 1, 0, 1, 4
12268, 12853, 1, "OK", 4, 14, 7, 3, 3, 0, 2, 2
11909, 14767, 1, "OK", 3, 68, 33, 33, 15, 18, 7, 0
12075, 14740, 1, "OK", 4, 62, 32, 25, 14, 11, 7, 1
13554, 13946, 1, "OK", 4, 8, 5, 1, 1, 0, 1, 4
13231, 13348, 1, "OK", 2, 5, 6, 2, 2, 0, 1, 4
11836, 14744, 1, "OK", 3, 69, 33, 33, 15, 18, 7, 0
13137, 13454, 1, "OK", 3, 9, 6, 2, 2, 0, 1, 4
12219, 12853, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int endInd String valueProfAttr", 0, 0, 7, 3, 3, 0, 2, 2
11793, 14794, 1, "OK", 2, 72, 33, 33, 15, 18, 7, 0
11909, 14794, 1, "OK", 3, 69, 33, 33, 15, 18, 7, 0
13656, 14010, 1, "OK", 6, 7, 5, 1, 1, 0, 1, 4
12337, 12798, 1, "OK", 2, 12, 7, 3, 3, 0, 2, 2
13191, 13454, 1, "OK", 3, 8, 6, 2, 2, 0, 1, 4
11836, 14767, 1, "OK", 3, 70, 33, 33, 15, 18, 7, 0
13137, 13348, 1, "OK", 2, 7, 6, 2, 2, 0, 1, 4
12803, 14610, 1, "OK", 7, 40, 22, 14, 9, 5, 4, 2
13191, 13348, 1, "OK", 2, 6, 6, 2, 2, 0, 1, 4
11771, 14744, 1, "OK", 2, 71, 33, 33, 15, 18, 7, 0
12537, 12625, 1, "OK", 1, 2, 4, 2, 2, 0, 1, 2
13614, 14054, 1, "OK", 6, 9, 5, 1, 1, 0, 1, 4
12337, 14610, 1, "OK", 7, 52, 29, 17, 12, 5, 6, 2
12915, 14610, 1, "OK", 7, 38, 22, 14, 9, 5, 4, 2
11945, 14740, 1, "OK", 3, 65, 32, 25, 14, 11, 7, 1
13656, 14054, 1, "OK", 7, 8, 5, 1, 1, 0, 1, 4
11836, 14794, 1, "OK", 3, 71, 33, 33, 15, 18, 7, 0
12371, 12798, 1, "OK", 3, 10, 7, 3, 3, 0, 2, 2
13614, 13946, 1, "OK", 4, 7, 5, 1, 1, 0, 1, 4
13554, 14010, 1, "OK", 5, 9, 5, 1, 1, 0, 1, 4
11771, 14767, 1, "OK", 2, 72, 33, 33, 15, 18, 7, 0
12268, 12798, 1, "OK", 4, 13, 7, 3, 3, 0, 2, 2
12949, 14469, 1, "OK", 6, 33, 18, 9, 7, 2, 3, 3
13231, 13414, 1, "OK", 2, 6, 6, 2, 2, 0, 1, 4
11995, 14740, 1, "OK", 3, 64, 32, 25, 14, 11, 7, 1
12219, 12798, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int endInd String valueProfAttr", 0, 0, 7, 3, 3, 0, 2, 2
12268, 14610, 1, "OK", 6, 53, 29, 17, 12, 5, 6, 2
12337, 12853, 1, "OK", 2, 13, 7, 3, 3, 0, 2, 2
13656, 13946, 1, "OK", 5, 6, 5, 1, 1, 0, 1, 4
12371, 14610, 1, "OK", 8, 50, 29, 17, 12, 5, 6, 2
11793, 14744, 1, "OK", 2, 70, 33, 33, 15, 18, 7, 0
13137, 13414, 1, "OK", 2, 8, 6, 2, 2, 0, 1, 4
11909, 14744, 1, "OK", 3, 67, 33, 33, 15, 18, 7, 0
12382, 12625, 1, "OK", 2, 5, 4, 2, 2, 0, 1, 2
13554, 14054, 1, "OK", 6, 10, 5, 1, 1, 0, 1, 4
11771, 14794, 1, "OK", 2, 73, 33, 33, 15, 18, 7, 0
11793, 14767, 1, "OK", 2, 71, 33, 33, 15, 18, 7, 0
12219, 14610, 1, "OK", 5, 54, 29, 17, 12, 5, 6, 2
