A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
18766, 21205, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 21, 21, 11, 10, 5, 0
18394, 21220, 1, "OK", 1, 68, 21, 21, 11, 10, 5, 0
18604, 19576, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 6, 5, 1, 1, 0
19416, 19750, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
18766, 19662, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 6, 5, 1, 1, 0
19907, 21157, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 12, 6, 4, 2, 3, 2
18766, 19412, 1, "OK", 2, 13, 4, 4, 3, 1, 1, 0
18802, 19576, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 6, 5, 1, 1, 0
19626, 21168, 1, "OK", 3, 38, 15, 15, 6, 9, 4, 0
18913, 19718, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 6, 5, 1, 1, 0
18877, 19576, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 6, 5, 1, 1, 0
18949, 19136, 1, "OK", 2, 3, 2, 1, 1, 0, 1, 1
19145, 19718, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 3, 3, 0, 0, 0
18462, 21168, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 21, 21, 11, 10, 5, 0
19800, 21163, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 14, 10, 5, 5, 4, 1
18766, 21220, 1, "OK", 2, 60, 21, 21, 11, 10, 5, 0
18462, 19141, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Rule rule IKpiDAO kpiDao JSError jsError", 0, 0, 3, 3, 2, 1, 1, 0
18394, 19718, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 6, 5, 1, 1, 0
19626, 21205, 1, "OK", 3, 40, 15, 15, 6, 9, 4, 0
19667, 21205, 1, "OK", 4, 38, 15, 15, 6, 9, 4, 0
18913, 19750, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 6, 5, 1, 1, 0
18766, 19718, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 6, 5, 1, 1, 0
