A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
6171, 7932, 1, "OK", 4, 30, 18, 13, 8, 5, 5, 1
5276, 5985, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 4, 3, 1, 1, 0
6589, 7520, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DataSetParameterItem aDataSetParameterItem String[] values", 0, 0, 9, 3, 3, 0, 2, 3
5704, 8081, 1, "OK", 3, 49, 22, 22, 11, 11, 6, 0
6016, 7881, 1, "OK", 2, 32, 18, 13, 8, 5, 5, 1
6137, 7970, 1, "OK", 3, 32, 18, 13, 8, 5, 5, 1
6137, 6439, 1, "OK", 1, 6, 3, 2, 2, 0, 1, 1
5429, 5603, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
5015, 5384, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
6444, 7932, 1, "OK", 4, 25, 15, 11, 6, 5, 4, 1
5006, 8483, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 28, 28, 17, 11, 6, 0
6101, 7819, 1, "OK", 2, 29, 18, 13, 8, 5, 5, 1
6589, 7024, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DataSetParameterItem aDataSetParameterItem SDKDataSetParameter sdkParameter", 0, 0, 4, 1, 1, 0, 1, 3
6674, 7461, 1, "OK", 2, 12, 9, 3, 3, 0, 2, 3
7186, 7461, 1, "OK", 2, 5, 5, 2, 2, 0, 1, 3
5388, 5603, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
4907, 8483, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 28, 28, 17, 11, 6, 0
5276, 5748, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
5141, 5335, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
6589, 7806, 1, "OK", 3, 17, 9, 3, 3, 0, 2, 3
6674, 7734, 1, "OK", 2, 15, 9, 3, 3, 0, 2, 3
7186, 7734, 1, "OK", 2, 8, 5, 2, 2, 0, 1, 3
6242, 7819, 1, "OK", 4, 26, 18, 13, 8, 5, 5, 1
5006, 8502, 1, "OK", 4, 84, 28, 28, 17, 11, 6, 0
5339, 5603, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
6171, 7970, 1, "OK", 4, 31, 18, 13, 8, 5, 5, 1
