A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
22633, 22995, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Session aSession List<SbiProductType> productTypes Map<String, String> roleNames", 0, 0, 1, 1, 1, 0, 0, 0
22779, 25061, 1, "OK", 6, 50, 25, 25, 8, 17, 6, 0
23638, 25056, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<SbiAuthorizations> authorizations List<SbiProductType> productTypes", 0, 0, 23, 17, 6, 11, 6, 1
23857, 25050, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<SbiAuthorizations> authorizations List<SbiProductType> productTypes", 0, 0, 21, 11, 5, 6, 5, 2
22583, 25061, 1, "OK", 2, 56, 25, 25, 8, 17, 6, 0
23692, 25050, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<SbiAuthorizations> authorizations List<SbiProductType> productTypes", 0, 0, 21, 11, 5, 6, 5, 2
23000, 25061, 1, "OK", 5, 46, 24, 24, 7, 17, 6, 0
22713, 25061, 1, "OK", 5, 51, 25, 25, 8, 17, 6, 0
22449, 22995, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Session aSession List<SbiAuthorizations> authorizations List<SbiProductType> productTypes Map<String, String> roleNames", 0, 0, 1, 1, 1, 0, 0, 0
22251, 25296, 1, "OK", 2, 69, 28, 28, 11, 17, 6, 0
25197, 25292, 1, "OK", 1, 4, 2, 2, 2, 0, 0, 0
24271, 24372, 1, "OK", 1, 2, 5, 1, 1, 0, 1, 4
23496, 25056, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<SbiAuthorizations> authorizations List<SbiProductType> productTypes", 0, 0, 23, 17, 6, 11, 6, 1
22229, 25296, 1, "OK", 2, 70, 28, 28, 11, 17, 6, 0
22633, 25061, 1, "OK", 3, 55, 25, 25, 8, 17, 6, 0
22679, 22995, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Session aSession Map<String, String> roleNames", 0, 0, 1, 1, 1, 0, 0, 0
24271, 25035, 1, "OK", 6, 16, 10, 2, 2, 0, 2, 4
24271, 24523, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<SbiAuthorizations> authorizations SbiAuthorizations sbiAuthorizations", 0, 0, 5, 1, 1, 0, 1, 4
23050, 25056, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<SbiAuthorizations> authorizations List<SbiProductType> productTypes", 0, 0, 23, 17, 6, 11, 6, 1
23242, 25056, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<SbiAuthorizations> authorizations List<SbiProductType> productTypes", 0, 0, 23, 17, 6, 11, 6, 1
22202, 25296, 1, "OK", 1, 71, 28, 28, 11, 17, 6, 0
22336, 22995, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Session aSession List<SbiAuthorizations> authorizations List<SbiProductType> productTypes Map<String, String> roleNames", 0, 0, 1, 1, 1, 0, 0, 0
22449, 25061, 1, "OK", 2, 58, 25, 25, 8, 17, 6, 0
23149, 25056, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<SbiAuthorizations> authorizations List<SbiProductType> productTypes", 0, 0, 23, 17, 6, 11, 6, 1
24005, 24206, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<SbiProductType> productTypes String authorizationName", 0, 0, 4, 1, 1, 0, 1, 3
24106, 25043, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<SbiAuthorizations> authorizations List<SbiProductType> productTypes", 0, 0, 18, 6, 4, 2, 4, 3
22153, 25296, 1, "OK", 1, 72, 28, 28, 11, 17, 6, 0
22679, 25061, 1, "OK", 4, 53, 25, 25, 8, 17, 6, 0
24005, 25043, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<SbiAuthorizations> authorizations List<SbiProductType> productTypes", 0, 0, 18, 6, 4, 2, 4, 3
24381, 25035, 1, "OK", 6, 13, 5, 1, 1, 0, 1, 4
25197, 25268, 1, "OK", 1, 3, 2, 2, 2, 0, 0, 0
23187, 25056, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<SbiAuthorizations> authorizations List<SbiProductType> productTypes", 0, 0, 23, 17, 6, 11, 6, 1
22260, 22995, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Session aSession List<SbiAuthorizations> authorizations List<SbiProductType> productTypes Map<String, String> roleNames", 0, 0, 1, 1, 1, 0, 0, 0
22336, 25061, 1, "OK", 1, 59, 25, 25, 8, 17, 6, 0
23098, 25056, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<SbiAuthorizations> authorizations List<SbiProductType> productTypes", 0, 0, 23, 17, 6, 11, 6, 1
23292, 25056, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<SbiAuthorizations> authorizations List<SbiProductType> productTypes", 0, 0, 23, 17, 6, 11, 6, 1
24106, 24206, 1, "OK", 1, 2, 4, 1, 1, 0, 1, 3
22713, 22995, 1, "OK", 1, 4, 1, 1, 1, 0, 0, 0
22779, 22995, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
23927, 24206, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<SbiProductType> productTypes String authorizationName", 0, 0, 4, 1, 1, 0, 1, 3
24532, 25035, 1, "OK", 4, 10, 5, 1, 1, 0, 1, 4
24214, 25043, 1, "OK", 6, 18, 14, 5, 3, 2, 3, 3
22583, 22995, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Session aSession List<SbiAuthorizations> authorizations List<SbiProductType> productTypes Map<String, String> roleNames", 0, 0, 1, 1, 1, 0, 0, 0
23927, 25043, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<SbiAuthorizations> authorizations List<SbiProductType> productTypes", 0, 0, 18, 6, 4, 2, 4, 3
22260, 25061, 1, "OK", 1, 60, 25, 25, 8, 17, 6, 0
