A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
6407, 6759, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String triggerGroup String triggerDescription String triggerCalendarName Date triggerStartTime String triggerStartTimeStr Date triggerEndTime", 0, 0, 3, 1, 1, 0, 1, 2
6072, 7421, 1, "OK", 1, 25, 25, 25, 10, 15, 8, 0
6257, 7318, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 21, 7, 7, 0, 7, 2
6453, 7386, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String triggerDescription String triggerCalendarName Date triggerStartTime String triggerStartTimeStr Date triggerEndTime String triggerEndTimeStr", 0, 0, 18, 6, 6, 0, 6, 2
6363, 6846, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String triggerName String triggerGroup String triggerDescription String triggerCalendarName Date triggerStartTime String triggerStartTimeStr Date triggerEndTime String triggerEndTimeStr", 0, 0, 6, 2, 2, 0, 2, 2
6407, 7025, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String triggerGroup String triggerDescription String triggerCalendarName Date triggerStartTime String triggerStartTimeStr Date triggerEndTime String triggerEndTimeStr", 0, 0, 12, 4, 4, 0, 4, 2
6453, 7134, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String triggerDescription String triggerCalendarName Date triggerStartTime String triggerStartTimeStr Date triggerEndTime String triggerEndTimeStr", 0, 0, 15, 5, 5, 0, 5, 2
6222, 6358, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 3, 1, 1, 0, 1, 2
6222, 7386, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 21, 7, 7, 0, 7, 2
6222, 6618, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 3, 1, 1, 0, 1, 2
6511, 7386, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String triggerCalendarName Date triggerStartTime String triggerStartTimeStr Date triggerEndTime String triggerEndTimeStr", 0, 0, 18, 6, 6, 0, 6, 2
6571, 7318, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Date triggerStartTime String triggerStartTimeStr Date triggerEndTime String triggerEndTimeStr", 0, 0, 18, 6, 6, 0, 6, 2
6222, 7134, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 18, 6, 6, 0, 6, 2
