A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
2976, 3488, 1, "OK", 1, 10, 5, 3, 2, 1, 2, 1
2592, 5023, 1, "OK", 1, 43, 30, 30, 12, 18, 7, 0
3082, 3470, 1, "OK", 2, 7, 3, 1, 1, 0, 1, 2
3874, 4390, 1, "OK", 1, 7, 6, 1, 1, 0, 1, 5
2757, 4842, 1, "OK", 1, 35, 29, 29, 11, 18, 7, 0
2722, 4842, 1, "OK", 1, 36, 29, 29, 11, 18, 7, 0
3594, 4562, 1, "OK", 1, 15, 18, 10, 4, 6, 4, 2
2545, 5023, 1, "OK", 1, 44, 30, 30, 12, 18, 7, 0
3024, 3488, 1, "OK", 2, 9, 5, 3, 2, 1, 2, 1
3956, 4484, 1, "OK", 3, 7, 6, 1, 1, 0, 1, 5
2704, 5023, 1, "OK", 1, 42, 30, 30, 12, 18, 7, 0
2976, 4660, 1, "OK", 2, 30, 26, 19, 8, 11, 7, 1
4078, 4484, 1, "OK", 3, 6, 6, 1, 1, 0, 1, 5
2592, 4981, 1, "OK", 1, 42, 30, 30, 12, 18, 7, 0
3748, 4540, 1, "OK", 1, 12, 15, 6, 3, 3, 3, 3
3547, 4562, 1, "OK", 1, 16, 18, 10, 4, 6, 4, 2
3817, 4514, 1, "OK", 2, 10, 11, 3, 2, 1, 2, 4
3151, 3470, 1, "OK", 3, 6, 3, 1, 1, 0, 1, 2
3874, 4484, 1, "OK", 2, 8, 6, 1, 1, 0, 1, 5
2545, 4981, 1, "OK", 1, 43, 30, 30, 12, 18, 7, 0
3024, 4660, 1, "OK", 3, 29, 26, 19, 8, 11, 7, 1
3505, 4660, 1, "OK", 2, 20, 21, 16, 6, 10, 5, 1
2704, 4981, 1, "OK", 1, 41, 30, 30, 12, 18, 7, 0
2911, 4842, 1, "OK", 2, 34, 29, 29, 11, 18, 7, 0
3956, 4390, 1, "OK", 2, 6, 6, 1, 1, 0, 1, 5
3689, 4540, 1, "OK", 1, 13, 15, 6, 3, 3, 3, 3
4078, 4390, 1, "OK", 2, 5, 6, 1, 1, 0, 1, 5
