A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
9922, 11462, 1, "OK", 7, 34, 32, 14, 9, 5, 9, 2
11113, 11404, 1, "OK", 3, 5, 4, 1, 1, 0, 1, 3
8314, 10111, 1, "OK", 5, 34, 24, 10, 7, 3, 7, 2
8833, 9378, 1, "OK", 2, 7, 5, 1, 1, 0, 1, 4
10835, 11317, 1, "OK", 5, 10, 12, 3, 3, 0, 3, 3
8591, 9210, 1, "OK", 3, 9, 5, 1, 1, 0, 1, 4
9814, 10211, 1, "OK", 5, 12, 12, 4, 4, 0, 4, 2
7915, 8152, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean showMonth boolean showWeek", 0, 0, 8, 2, 2, 0, 2, 3
10467, 10954, 1, "OK", 5, 10, 12, 3, 3, 0, 3, 3
10128, 10211, 1, "OK", 2, 3, 3, 1, 1, 0, 1, 2
9661, 10353, 1, "OK", 6, 19, 15, 5, 5, 0, 5, 2
9712, 9797, 1, "OK", 2, 3, 3, 1, 1, 0, 1, 2
10975, 11092, 1, "OK", 3, 3, 4, 1, 1, 0, 1, 3
10334, 11501, 1, "OK", 7, 24, 23, 11, 6, 5, 6, 2
7595, 8351, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean showYear boolean showQuarter boolean showMonth boolean showWeek boolean showDay StringBuffer sb", 0, 0, 23, 11, 6, 5, 6, 2
9712, 10317, 1, "OK", 6, 17, 15, 5, 5, 0, 5, 2
8462, 9644, 1, "OK", 3, 19, 12, 6, 3, 3, 3, 2
8368, 11539, 1, "OK", 8, 63, 50, 22, 14, 8, 14, 2
10026, 10317, 1, "OK", 3, 8, 6, 2, 2, 0, 2, 2
8724, 9210, 1, "OK", 2, 7, 5, 1, 1, 0, 1, 4
8995, 9513, 1, "OK", 2, 6, 5, 1, 1, 0, 1, 4
7595, 9905, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean showYear boolean showQuarter boolean showMonth boolean showWeek boolean showDay StringBuffer sb", 0, 0, 41, 19, 11, 8, 11, 2
8947, 9461, 1, "OK", 2, 6, 5, 1, 1, 0, 1, 4
9922, 11501, 1, "OK", 7, 35, 32, 14, 9, 5, 9, 2
11113, 11444, 1, "OK", 3, 6, 4, 1, 1, 0, 1, 3
8368, 10009, 1, "OK", 5, 30, 21, 9, 6, 3, 6, 2
10553, 11404, 1, "OK", 7, 17, 20, 5, 5, 0, 5, 3
