A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
59417, 60279, 1, "OK", 3, 29, 19, 19, 15, 4, 4, 0
59683, 59851, 1, "OK", 1, 5, 4, 3, 3, 0, 1, 1
60087, 60255, 1, "OK", 1, 5, 4, 3, 3, 0, 1, 1
60028, 60259, 1, "OK", 3, 7, 5, 5, 4, 1, 1, 0
59417, 60259, 1, "OK", 3, 27, 19, 19, 15, 4, 4, 0
59855, 59928, 1, "OK", 1, 3, 3, 2, 2, 0, 1, 1
59393, 60279, 1, "OK", 2, 30, 19, 19, 15, 4, 4, 0
59683, 59928, 1, "OK", 1, 8, 7, 5, 5, 0, 2, 1
59620, 60259, 1, "OK", 3, 19, 14, 14, 11, 3, 3, 0
59393, 60259, 1, "OK", 2, 28, 19, 19, 15, 4, 4, 0
59480, 59609, 1, "OK", 1, 5, 4, 3, 3, 0, 1, 1
59938, 60259, 1, "OK", 3, 9, 6, 6, 5, 1, 1, 0
