A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
12892, 15136, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String operation Boolean isFromSaveNoMetadata", 0, 0, 20, 14, 10, 4, 6, 1
12613, 16742, 1, "OK", 4, 86, 36, 36, 18, 18, 12, 0
16060, 16262, 1, "OK", 1, 6, 3, 1, 1, 0, 1, 2
13836, 14294, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Integer dsID VersionedDataSet dsSaved", 0, 0, 6, 2, 2, 0, 2, 2
12952, 13165, 1, "OK", 3, 5, 4, 2, 2, 0, 1, 2
15750, 16028, 1, "OK", 2, 7, 3, 1, 1, 0, 1, 2
12560, 16742, 1, "OK", 3, 88, 36, 36, 18, 18, 12, 0
12952, 13547, 1, "OK", 6, 12, 4, 2, 2, 0, 1, 2
13763, 14133, 1, "OK", 3, 10, 6, 2, 2, 0, 2, 2
15040, 15632, 1, "OK", 3, 10, 2, 1, 1, 0, 1, 1
15192, 15542, 1, "OK", 3, 6, 2, 1, 1, 0, 1, 1
12823, 15632, 1, "OK", 5, 51, 22, 15, 11, 4, 7, 1
12892, 15542, 1, "OK", 6, 48, 22, 15, 11, 4, 7, 1
13763, 14525, 1, "OK", 4, 16, 6, 2, 2, 0, 2, 2
12952, 13296, 1, "OK", 5, 8, 4, 2, 2, 0, 1, 2
13763, 14395, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Integer dsID VersionedDataSet dsSaved", 0, 0, 6, 2, 2, 0, 2, 2
13763, 14918, 1, "OK", 4, 22, 9, 3, 3, 0, 3, 2
12634, 16382, 1, "OK", 4, 75, 32, 21, 15, 6, 11, 1
14531, 14918, 1, "OK", 2, 6, 3, 1, 1, 0, 1, 2
16397, 16600, 1, "OK", 1, 6, 2, 1, 1, 0, 1, 1
12892, 15035, 1, "OK", 6, 40, 20, 14, 10, 4, 6, 1
12952, 13431, 1, "OK", 6, 10, 4, 2, 2, 0, 1, 2
14929, 15632, 1, "OK", 3, 11, 5, 3, 3, 0, 2, 1
13966, 14395, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Integer dsID VersionedDataSet dsSaved", 0, 0, 3, 1, 1, 0, 1, 2
14139, 14918, 1, "OK", 3, 12, 3, 1, 1, 0, 1, 2
12823, 15136, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String operation Boolean isFromSaveNoMetadata", 0, 0, 20, 14, 10, 4, 6, 1
14300, 14918, 1, "OK", 3, 10, 3, 1, 1, 0, 1, 2
13966, 14133, 1, "OK", 3, 5, 3, 1, 1, 0, 1, 2
15040, 15542, 1, "OK", 2, 8, 2, 1, 1, 0, 1, 1
13836, 14338, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Integer dsID VersionedDataSet dsSaved", 0, 0, 6, 2, 2, 0, 2, 2
13763, 14294, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Integer dsID VersionedDataSet dsSaved", 0, 0, 6, 2, 2, 0, 2, 2
13966, 14525, 1, "OK", 4, 11, 3, 1, 1, 0, 1, 2
12892, 14924, 1, "OK", 6, 39, 17, 12, 8, 4, 5, 1
14929, 15136, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String operation Boolean isFromSaveNoMetadata", 0, 0, 3, 2, 2, 0, 1, 1
16060, 16299, 1, "OK", 2, 7, 3, 1, 1, 0, 1, 2
13836, 14473, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Integer dsID VersionedDataSet dsSaved", 0, 0, 6, 2, 2, 0, 2, 2
12892, 15703, 1, "OK", 6, 51, 22, 15, 11, 4, 7, 1
