A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
7695, 8049, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Projection summaryRowProjection DataStoreCalculatedField summaryRowCalculatedField", 0, 0, 3, 2, 2, 0, 1, 1
9294, 9555, 1, "OK", 4, 5, 2, 1, 1, 0, 1, 1
7235, 9634, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IMetaData summaryRowMetaData Map<Integer, Integer> projectionToSummaryRowProjection", 0, 0, 31, 31, 16, 15, 7, 0
8212, 8538, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 6, 3, 3, 0, 1, 3
7516, 9634, 1, "OK", 6, 49, 31, 31, 16, 15, 7, 0
9122, 9634, 1, "OK", 4, 11, 3, 3, 2, 1, 1, 0
7757, 8049, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Projection summaryRowProjection DataStoreCalculatedField summaryRowCalculatedField", 0, 0, 3, 2, 2, 0, 1, 1
7516, 9119, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Map<Integer, Integer> projectionToSummaryRowProjection IRecord summaryRowRecord", 0, 0, 28, 28, 14, 14, 6, 0
9057, 10383, 1, "OK", 5, 23, 10, 10, 8, 2, 2, 0
8307, 8538, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 6, 3, 3, 0, 1, 3
10052, 10379, 1, "OK", 4, 4, 3, 3, 3, 0, 0, 1
9260, 9588, 1, "OK", 4, 7, 2, 1, 1, 0, 1, 1
9157, 9592, 1, "OK", 4, 9, 3, 3, 2, 1, 1, 0
8106, 9020, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 22, 14, 10, 4, 4, 2
7592, 9592, 1, "OK", 6, 47, 31, 31, 16, 15, 7, 0
7177, 9154, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IMetaData pagedMetaData IMetaData summaryRowMetaData Map<Integer, Integer> projectionToSummaryRowProjection IRecord summaryRowRecord Record newRecord", 0, 0, 28, 28, 14, 14, 6, 0
7652, 9025, 1, "OK", 5, 32, 27, 21, 13, 8, 6, 1
7177, 9029, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IMetaData pagedMetaData IMetaData summaryRowMetaData Map<Integer, Integer> projectionToSummaryRowProjection", 0, 0, 28, 28, 14, 14, 6, 0
7235, 9029, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IMetaData summaryRowMetaData Map<Integer, Integer> projectionToSummaryRowProjection", 0, 0, 28, 28, 14, 14, 6, 0
