A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
10971, 14783, 1, "OK", 5, 102, 65, 65, 22, 43, 14, 0
12953, 14783, 1, "OK", 4, 51, 46, 46, 13, 33, 9, 0
14283, 14513, 1, "OK", 2, 6, 13, 3, 2, 1, 2, 5
11118, 13306, 0, "Compilation unit does not compile after method extraction.", 6, 56, 21, 21, 11, 10, 5, 0
11731, 14783, 1, "OK", 6, 86, 63, 63, 20, 43, 14, 0
10785, 13388, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataStore dataStore IDataStore dataStoreFinal Record newRecord", 0, 0, 25, 25, 14, 11, 6, 0
11777, 13353, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataStore dataStore IDataStore dataStoreFinal", 0, 0, 19, 19, 9, 10, 5, 0
13719, 14090, 1, "OK", 7, 9, 11, 3, 2, 1, 2, 4
10971, 11728, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataStore dataStore Map<String, FieldStatsInfo> fieldStatsInfo", 0, 0, 2, 2, 2, 0, 0, 0
10620, 13388, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataStore dataStore IDataStore dataStoreFinal Record newRecord", 0, 0, 25, 25, 14, 11, 6, 0
11118, 11774, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Map<String, FieldStatsInfo> fieldStatsInfo IRecord summaryRow", 0, 0, 2, 2, 2, 0, 0, 0
11021, 14783, 1, "OK", 6, 101, 65, 65, 22, 43, 14, 0
11566, 14783, 0, "Compilation unit does not compile after method extraction.", 8, 91, 64, 64, 21, 43, 14, 0
12915, 13422, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IDataStore dataStore IDataStore dataStoreFinal Record newRecord MetaData meta", 0, 0, 2, 2, 2, 0, 0, 0
10971, 14808, 1, "OK", 5, 103, 65, 65, 22, 43, 14, 0
