A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
36674, 39250, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues int index", 0, 0, 26, 18, 10, 8, 8, 1
36800, 37910, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues Object cdValue Object nmValue", 0, 0, 11, 7, 5, 2, 4, 1
36853, 38315, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues int index Object cdValue", 0, 0, 11, 7, 5, 2, 4, 1
38624, 39222, 1, "OK", 12, 12, 13, 7, 4, 3, 3, 2
35947, 37728, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String cdColumn String nmColumn Object cdValue Object nmValue", 0, 0, 9, 6, 4, 2, 3, 1
35931, 39250, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues int index int lvlIndex", 0, 0, 26, 18, 10, 8, 8, 1
38260, 39250, 1, "OK", 13, 23, 15, 11, 5, 6, 4, 1
36674, 37728, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Object cdValue Object nmValue", 0, 0, 9, 6, 4, 2, 3, 1
36826, 38133, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues Object cdValue Object nmValue", 0, 0, 11, 7, 5, 2, 4, 1
36853, 37783, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues Object cdValue Object nmValue", 0, 0, 11, 7, 5, 2, 4, 1
36853, 38292, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues Object cdValue", 0, 0, 11, 7, 5, 2, 4, 1
35947, 39250, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues int index", 0, 0, 26, 18, 10, 8, 8, 1
36249, 38595, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues int index Object cdValue String cdUniqueColumn Object cdUniqueValue boolean uniqueNodeMng", 0, 0, 11, 7, 5, 2, 4, 1
35304, 39255, 1, "OK", 12, 93, 28, 28, 12, 16, 8, 0
36394, 37728, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String nmColumn Object cdValue Object nmValue", 0, 0, 9, 6, 4, 2, 3, 1
35931, 38256, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues int lvlIndex Object cdValue Object[] tmpLvl", 0, 0, 11, 7, 5, 2, 4, 1
36800, 38457, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues int index Object cdValue String cdUniqueColumn", 0, 0, 11, 7, 5, 2, 4, 1
36249, 38133, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues Object cdValue Object nmValue", 0, 0, 11, 7, 5, 2, 4, 1
37407, 37562, 1, "OK", 3, 2, 3, 1, 1, 0, 1, 2
36634, 38457, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues int index Object cdValue String cdUniqueColumn", 0, 0, 11, 7, 5, 2, 4, 1
36595, 38133, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues Object cdValue Object nmValue", 0, 0, 11, 7, 5, 2, 4, 1
35304, 35657, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
38976, 39071, 1, "OK", 2, 1, 6, 2, 2, 0, 1, 4
35931, 37728, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int lvlIndex String cdColumn String nmColumn Object cdValue Object nmValue", 0, 0, 9, 6, 4, 2, 3, 1
35947, 38256, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues Object cdValue Object[] tmpLvl", 0, 0, 11, 7, 5, 2, 4, 1
36394, 39250, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues int index", 0, 0, 26, 18, 10, 8, 8, 1
38624, 39245, 1, "OK", 12, 13, 13, 7, 4, 3, 3, 2
37732, 39250, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues int index", 0, 0, 17, 12, 6, 6, 5, 1
36674, 38256, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues Object cdValue Object[] tmpLvl", 0, 0, 11, 7, 5, 2, 4, 1
38976, 39084, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 6, 2, 2, 0, 1, 4
36674, 38292, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String concatNmValues Object cdValue", 0, 0, 11, 7, 5, 2, 4, 1
38493, 39250, 1, "OK", 13, 16, 15, 11, 5, 6, 4, 1
