A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
23279, 31065, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 40, 19, 19, 0, 7, 3
19247, 20886, 1, "OK", 4, 27, 25, 15, 8, 7, 5, 2
11220, 32154, 0, "Compilation unit does not compile after method extraction.", 14, 330, 110, 110, 51, 59, 25, 0
9797, 10724, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String modality String outputMIMEType String[] documentLabels String cycleOnFilters", 0, 0, 3, 3, 3, 0, 0, 0
23567, 30321, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 31, 16, 16, 0, 5, 3
15069, 31625, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 89, 70, 37, 33, 19, 1
11664, 14297, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String tempFolderName String tempFolderPath String documentLabelsString boolean uniqueMailForAll boolean suspendExecutionInUniqueMailCase Map<String, Object> mailOptions", 0, 0, 14, 14, 8, 6, 5, 0
23017, 26892, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 15, 9, 9, 0, 2, 3
11873, 32406, 0, "Compilation unit does not compile after method extraction.", 18, 322, 110, 110, 51, 59, 25, 0
21121, 28346, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 31, 16, 16, 0, 5, 3
23141, 27166, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 15, 9, 9, 0, 2, 3
27773, 31029, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Map<String, Object> mailOptions String mimeType String fileExtension long end long elapsed String documentStateCode", 0, 0, 20, 8, 8, 0, 4, 3
24231, 30244, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 31, 16, 16, 0, 5, 3
24849, 27465, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 10, 7, 7, 0, 1, 3
11220, 11697, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DispatchContext globalDispatchContext DocumentDispatcher globalDocumentDispatcher String tempFolderName String tempFolderPath String documentLabelsString", 0, 0, 1, 1, 1, 0, 0, 0
23414, 26892, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 15, 9, 9, 0, 2, 3
