A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
6661, 11686, 1, "OK", 4, 88, 51, 39, 15, 24, 12, 1
7617, 9696, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List iterativeParameters Map<String, String> loadAtRuntimeParameters Map<String, String> useFormulaParameters String queryString", 0, 0, 17, 7, 5, 2, 5, 2
7193, 9023, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List biobjpars SourceBean queryStringSB List iterativeParameters Map<String, String> loadAtRuntimeParameters SourceBean useFormulaSB Map<String, String> useFormulaParameters", 0, 0, 10, 4, 3, 1, 3, 2
7939, 8944, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Map<String, String> loadAtRuntimeParameters SourceBean useFormulaSB", 0, 0, 7, 3, 2, 1, 2, 2
7193, 11588, 1, "OK", 4, 77, 49, 27, 14, 13, 11, 2
11257, 11564, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 13, 3, 2, 1, 2, 5
9702, 11643, 1, "OK", 7, 40, 32, 20, 9, 11, 6, 2
7304, 8157, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String biobjlbl SourceBean queryStringSB List iterativeParameters SourceBean loadAtRuntimeSB Map<String, String> loadAtRuntimeParameters", 0, 0, 3, 1, 1, 0, 1, 2
7086, 9800, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject biobj List iterativeParameters Map<String, String> loadAtRuntimeParameters Map<String, String> useFormulaParameters String[] parCouples Iterator iterbiobjpar", 0, 0, 17, 7, 5, 2, 5, 2
6034, 11691, 1, "OK", 2, 100, 52, 52, 16, 36, 12, 0
6926, 11686, 1, "OK", 6, 85, 51, 39, 15, 24, 12, 1
7304, 9696, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List iterativeParameters Map<String, String> loadAtRuntimeParameters Map<String, String> useFormulaParameters String queryString", 0, 0, 17, 7, 5, 2, 5, 2
8163, 9696, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Map<String, String> useFormulaParameters String queryString", 0, 0, 14, 6, 4, 2, 4, 2
7666, 9749, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Map<String, String> loadAtRuntimeParameters Map<String, String> useFormulaParameters String[] parCouples", 0, 0, 17, 7, 5, 2, 5, 2
6497, 11691, 1, "OK", 3, 92, 52, 52, 16, 36, 12, 0
7362, 8944, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SourceBean queryStringSB List iterativeParameters Map<String, String> loadAtRuntimeParameters SourceBean useFormulaSB", 0, 0, 10, 4, 3, 1, 3, 2
7483, 9800, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List iterativeParameters Map<String, String> loadAtRuntimeParameters Map<String, String> useFormulaParameters String[] parCouples Iterator iterbiobjpar", 0, 0, 17, 7, 5, 2, 5, 2
7270, 9749, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List iterativeParameters Map<String, String> loadAtRuntimeParameters Map<String, String> useFormulaParameters String[] parCouples", 0, 0, 17, 7, 5, 2, 5, 2
8081, 9696, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Map<String, String> loadAtRuntimeParameters Map<String, String> useFormulaParameters String queryString", 0, 0, 14, 6, 4, 2, 4, 2
7617, 9749, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List iterativeParameters Map<String, String> loadAtRuntimeParameters Map<String, String> useFormulaParameters String[] parCouples", 0, 0, 17, 7, 5, 2, 5, 2
6862, 11649, 1, "OK", 5, 85, 51, 39, 15, 24, 12, 1
7086, 8808, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject biobj List biobjpars String biobjlbl SourceBean queryStringSB List iterativeParameters Map<String, String> loadAtRuntimeParameters", 0, 0, 10, 4, 3, 1, 3, 2
7362, 7933, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  SourceBean queryStringSB List iterativeParameters", 0, 0, 3, 1, 1, 0, 1, 2
7193, 11643, 1, "OK", 5, 79, 49, 27, 14, 13, 11, 2
