A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
6478, 9166, 1, "OK", 3, 76, 40, 40, 21, 19, 10, 0
5947, 9248, 1, "OK", 4, 87, 43, 43, 24, 19, 10, 0
6241, 8838, 1, "OK", 4, 73, 41, 41, 22, 19, 10, 0
6825, 9166, 1, "OK", 5, 69, 40, 40, 21, 19, 10, 0
5704, 9099, 1, "OK", 3, 87, 43, 43, 24, 19, 10, 0
7613, 9312, 1, "OK", 4, 49, 24, 24, 11, 13, 6, 0
8143, 8242, 1, "OK", 3, 4, 4, 2, 2, 0, 1, 2
6033, 7610, 1, "OK", 4, 40, 19, 19, 13, 6, 4, 0
6160, 6746, 1, "OK", 4, 11, 2, 2, 2, 0, 0, 0
5798, 8754, 1, "OK", 4, 77, 42, 42, 23, 19, 10, 0
5798, 6712, 1, "OK", 4, 14, 3, 3, 3, 0, 0, 0
6160, 9312, 1, "OK", 4, 86, 42, 42, 23, 19, 10, 0
5947, 8754, 1, "OK", 4, 76, 42, 42, 23, 19, 10, 0
5947, 6712, 1, "OK", 4, 13, 3, 3, 3, 0, 0, 0
7682, 9248, 1, "OK", 4, 44, 24, 24, 11, 13, 6, 0
6033, 9166, 1, "OK", 4, 85, 43, 43, 24, 19, 10, 0
8758, 9166, 1, "OK", 2, 9, 1, 1, 1, 0, 0, 0
6749, 8991, 1, "OK", 4, 68, 40, 40, 21, 19, 10, 0
8841, 9166, 1, "OK", 2, 8, 1, 1, 1, 0, 0, 0
5704, 6568, 1, "OK", 3, 13, 3, 3, 3, 0, 0, 0
5798, 7750, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean validStartDate boolean hasZonedEndTime", 0, 0, 19, 19, 13, 6, 4, 0
7883, 8138, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean validTime int m", 0, 0, 4, 2, 2, 0, 1, 2
7913, 8744, 1, "OK", 3, 25, 19, 9, 7, 2, 5, 2
6241, 6821, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean validStartDate boolean hasZonedStartTime", 0, 0, 2, 2, 2, 0, 0, 0
5798, 9290, 1, "OK", 4, 89, 43, 43, 24, 19, 10, 0
6275, 8838, 1, "OK", 3, 72, 41, 41, 22, 19, 10, 0
6716, 8991, 1, "OK", 3, 69, 40, 40, 21, 19, 10, 0
7613, 8838, 1, "OK", 4, 37, 23, 23, 10, 13, 6, 0
7781, 8750, 1, "OK", 3, 29, 22, 16, 9, 7, 6, 1
7913, 8242, 1, "OK", 3, 11, 8, 4, 4, 0, 2, 2
5947, 7750, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean validStartDate boolean hasZonedEndTime", 0, 0, 19, 19, 13, 6, 4, 0
6643, 7678, 1, "OK", 3, 30, 16, 16, 10, 6, 4, 0
5704, 7610, 1, "OK", 3, 43, 19, 19, 13, 6, 4, 0
5947, 9290, 1, "OK", 4, 88, 43, 43, 24, 19, 10, 0
6478, 7678, 1, "OK", 3, 32, 16, 16, 10, 6, 4, 0
7682, 8754, 1, "OK", 4, 33, 23, 23, 10, 13, 6, 0
6160, 8838, 1, "OK", 4, 74, 41, 41, 22, 19, 10, 0
6825, 7678, 1, "OK", 5, 25, 16, 16, 10, 6, 4, 0
5798, 6746, 1, "OK", 4, 16, 3, 3, 3, 0, 0, 0
5798, 9312, 1, "OK", 4, 91, 43, 43, 24, 19, 10, 0
5798, 6238, 1, "OK", 2, 6, 1, 1, 1, 0, 0, 0
6275, 6821, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean validStartDate boolean hasZonedStartTime", 0, 0, 2, 2, 2, 0, 0, 0
7754, 9099, 1, "OK", 5, 40, 24, 24, 11, 13, 6, 0
7243, 7532, 1, "OK", 3, 10, 8, 4, 4, 0, 2, 2
5947, 6746, 1, "OK", 4, 15, 3, 3, 3, 0, 0, 0
6033, 6640, 1, "OK", 4, 11, 3, 3, 3, 0, 0, 0
5947, 9312, 1, "OK", 4, 90, 43, 43, 24, 19, 10, 0
5704, 9166, 1, "OK", 3, 88, 43, 43, 24, 19, 10, 0
5660, 8991, 1, "OK", 2, 86, 43, 43, 24, 19, 10, 0
5947, 6238, 1, "OK", 2, 5, 1, 1, 1, 0, 0, 0
7682, 9290, 1, "OK", 4, 45, 24, 24, 11, 13, 6, 0
6033, 7678, 1, "OK", 4, 41, 19, 19, 13, 6, 4, 0
6354, 8991, 1, "OK", 3, 76, 42, 42, 23, 19, 10, 0
6643, 9248, 1, "OK", 3, 75, 40, 40, 21, 19, 10, 0
7280, 7421, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean validStartDate int m", 0, 0, 4, 2, 2, 0, 1, 2
7967, 8138, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean validTime int m", 0, 0, 4, 2, 2, 0, 1, 2
6478, 9248, 1, "OK", 3, 77, 40, 40, 21, 19, 10, 0
8447, 8629, 1, "OK", 4, 4, 4, 1, 1, 0, 1, 3
6160, 6821, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean validStartDate boolean hasZonedStartTime", 0, 0, 2, 2, 2, 0, 0, 0
5798, 6272, 1, "OK", 3, 7, 1, 1, 1, 0, 0, 0
6825, 9248, 1, "OK", 5, 70, 40, 40, 21, 19, 10, 0
7682, 9312, 1, "OK", 4, 47, 24, 24, 11, 13, 6, 0
6033, 6157, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
5798, 8838, 1, "OK", 4, 79, 42, 42, 23, 19, 10, 0
6643, 8754, 1, "OK", 3, 64, 39, 39, 20, 19, 10, 0
5947, 6272, 1, "OK", 3, 6, 1, 1, 1, 0, 0, 0
6478, 8754, 1, "OK", 3, 66, 39, 39, 20, 19, 10, 0
7426, 7532, 1, "OK", 3, 4, 4, 2, 2, 0, 1, 2
6825, 8754, 1, "OK", 5, 59, 39, 39, 20, 19, 10, 0
5704, 6640, 1, "OK", 3, 14, 3, 3, 3, 0, 0, 0
5947, 8838, 1, "OK", 4, 78, 42, 42, 23, 19, 10, 0
8758, 9248, 1, "OK", 3, 10, 1, 1, 1, 0, 0, 0
5660, 6475, 1, "OK", 2, 13, 3, 3, 3, 0, 0, 0
6033, 9248, 1, "OK", 4, 86, 43, 43, 24, 19, 10, 0
5704, 7678, 1, "OK", 3, 44, 19, 19, 13, 6, 4, 0
6643, 7750, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean validStartDate boolean hasZonedEndTime", 0, 0, 16, 16, 10, 6, 4, 0
6354, 6475, 1, "OK", 2, 3, 2, 2, 2, 0, 0, 0
6716, 7541, 1, "OK", 3, 25, 16, 16, 10, 6, 4, 0
6478, 7750, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean validStartDate boolean hasZonedEndTime", 0, 0, 16, 16, 10, 6, 4, 0
6749, 7541, 1, "OK", 4, 24, 16, 16, 10, 6, 4, 0
6643, 9290, 1, "OK", 3, 76, 40, 40, 21, 19, 10, 0
8841, 9248, 1, "OK", 3, 9, 1, 1, 1, 0, 0, 0
6825, 7750, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean validStartDate boolean hasZonedEndTime", 0, 0, 16, 16, 10, 6, 4, 0
7883, 8744, 1, "OK", 2, 26, 19, 9, 7, 2, 5, 2
6478, 9290, 1, "OK", 3, 78, 40, 40, 21, 19, 10, 0
6033, 8754, 1, "OK", 4, 75, 42, 42, 23, 19, 10, 0
6825, 9290, 1, "OK", 5, 71, 40, 40, 21, 19, 10, 0
5798, 6821, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean validStartDate boolean hasZonedStartTime", 0, 0, 3, 3, 3, 0, 0, 0
5704, 6157, 1, "OK", 1, 6, 1, 1, 1, 0, 0, 0
7545, 8991, 1, "OK", 4, 43, 24, 24, 11, 13, 6, 0
7682, 8838, 1, "OK", 4, 35, 23, 23, 10, 13, 6, 0
7754, 9166, 1, "OK", 5, 41, 24, 24, 11, 13, 6, 0
5947, 6821, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean validStartDate boolean hasZonedStartTime", 0, 0, 3, 3, 3, 0, 0, 0
