A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
8190, 9026, 1, "OK", 3, 25, 16, 16, 6, 10, 4, 0
8190, 8893, 1, "OK", 3, 20, 15, 15, 5, 10, 4, 0
8405, 8884, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 12, 6, 3, 3, 3, 2
7947, 9008, 1, "OK", 2, 29, 16, 16, 6, 10, 4, 0
7925, 8985, 1, "OK", 2, 29, 16, 16, 6, 10, 4, 0
8896, 9026, 1, "OK", 1, 5, 1, 1, 1, 0, 0, 0
8244, 9026, 1, "OK", 3, 24, 16, 16, 6, 10, 4, 0
8012, 8985, 1, "OK", 3, 26, 16, 16, 6, 10, 4, 0
8364, 8884, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 12, 6, 3, 3, 3, 2
8244, 8893, 1, "OK", 3, 19, 15, 15, 5, 10, 4, 0
8453, 8878, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 9, 3, 2, 1, 2, 3
7947, 8893, 1, "OK", 2, 25, 15, 15, 5, 10, 4, 0
8541, 8780, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
8190, 8985, 1, "OK", 3, 23, 16, 16, 6, 10, 4, 0
8541, 8730, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
8591, 8780, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
7947, 9026, 1, "OK", 2, 30, 16, 16, 6, 10, 4, 0
8896, 8985, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
7925, 9008, 1, "OK", 2, 30, 16, 16, 6, 10, 4, 0
8244, 8985, 1, "OK", 3, 22, 16, 16, 6, 10, 4, 0
8282, 8889, 1, "OK", 3, 17, 14, 10, 4, 6, 4, 1
8012, 9008, 1, "OK", 3, 27, 16, 16, 6, 10, 4, 0
8493, 8878, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 9, 3, 2, 1, 2, 3
8591, 8730, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
7925, 8893, 1, "OK", 2, 26, 15, 15, 5, 10, 4, 0
7947, 8985, 1, "OK", 2, 28, 16, 16, 6, 10, 4, 0
7925, 9026, 1, "OK", 2, 31, 16, 16, 6, 10, 4, 0
8541, 8871, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
8326, 8889, 1, "OK", 3, 16, 14, 10, 4, 6, 4, 1
8012, 8893, 1, "OK", 3, 23, 15, 15, 5, 10, 4, 0
8012, 9026, 1, "OK", 3, 28, 16, 16, 6, 10, 4, 0
8896, 9008, 1, "OK", 1, 4, 1, 1, 1, 0, 0, 0
8541, 8813, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
8190, 9008, 1, "OK", 3, 24, 16, 16, 6, 10, 4, 0
8244, 9008, 1, "OK", 3, 23, 16, 16, 6, 10, 4, 0
8591, 8813, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
8591, 8871, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 1, 1, 0, 1, 4
