A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
4296, 6153, 1, "OK", 4, 42, 37, 37, 17, 20, 8, 0
4358, 6535, 1, "OK", 6, 53, 41, 41, 20, 21, 9, 0
4234, 6153, 1, "OK", 3, 45, 37, 37, 17, 20, 8, 0
4296, 6535, 1, "OK", 5, 54, 41, 41, 20, 21, 9, 0
4613, 5221, 1, "OK", 5, 12, 14, 8, 5, 3, 3, 2
5428, 6073, 1, "OK", 5, 13, 14, 8, 5, 3, 3, 2
4358, 6153, 1, "OK", 5, 41, 37, 37, 17, 20, 8, 0
4234, 6484, 1, "OK", 4, 55, 41, 41, 20, 21, 9, 0
4972, 5110, 1, "OK", 3, 2, 6, 2, 2, 0, 1, 4
5729, 5961, 1, "OK", 4, 3, 6, 2, 2, 0, 1, 4
4358, 6484, 1, "OK", 6, 51, 41, 41, 20, 21, 9, 0
4471, 5221, 1, "OK", 4, 14, 14, 8, 5, 3, 3, 2
4296, 6484, 1, "OK", 5, 52, 41, 41, 20, 21, 9, 0
5636, 5968, 1, "OK", 4, 6, 10, 4, 3, 1, 2, 3
4869, 5110, 1, "OK", 4, 3, 6, 2, 2, 0, 1, 4
5240, 6153, 1, "OK", 5, 22, 19, 19, 9, 10, 4, 0
5608, 6073, 1, "OK", 5, 10, 14, 8, 5, 3, 3, 2
4566, 5221, 1, "OK", 5, 13, 14, 8, 5, 3, 3, 2
6200, 6535, 1, "OK", 2, 9, 4, 4, 3, 1, 1, 0
4148, 6153, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<String> ids JsonArray target", 0, 0, 37, 37, 17, 20, 8, 0
4148, 6535, 1, "OK", 2, 59, 41, 41, 20, 21, 9, 0
6363, 6478, 1, "OK", 3, 2, 3, 2, 2, 0, 1, 1
5536, 6073, 1, "OK", 4, 11, 14, 8, 5, 3, 3, 2
5313, 6078, 1, "OK", 4, 16, 16, 12, 6, 6, 4, 1
4834, 5120, 1, "OK", 4, 5, 10, 4, 3, 1, 2, 3
6200, 6484, 1, "OK", 2, 7, 4, 4, 3, 1, 1, 0
5831, 5961, 1, "OK", 3, 2, 6, 2, 2, 0, 1, 4
4148, 6484, 1, "OK", 2, 57, 41, 41, 20, 21, 9, 0
4674, 5221, 1, "OK", 4, 11, 14, 8, 5, 3, 3, 2
4188, 6153, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<String> ids JsonArray target", 0, 0, 37, 37, 17, 20, 8, 0
6240, 6478, 1, "OK", 3, 5, 3, 2, 2, 0, 1, 1
4188, 6535, 1, "OK", 3, 58, 41, 41, 20, 21, 9, 0
5695, 5968, 1, "OK", 4, 5, 10, 4, 3, 1, 2, 3
6296, 6478, 1, "OK", 2, 4, 3, 2, 2, 0, 1, 1
5475, 6073, 1, "OK", 5, 12, 14, 8, 5, 3, 3, 2
4439, 5226, 1, "OK", 4, 16, 16, 12, 6, 6, 4, 1
4188, 6484, 1, "OK", 3, 56, 41, 41, 20, 21, 9, 0
4234, 6535, 1, "OK", 4, 57, 41, 41, 20, 21, 9, 0
4743, 5221, 1, "OK", 5, 10, 14, 8, 5, 3, 3, 2
5339, 6073, 1, "OK", 4, 14, 14, 8, 5, 3, 3, 2
4773, 5120, 1, "OK", 4, 6, 10, 4, 3, 1, 2, 3
