NestedExtraction,AncestorExtraction,CCR
1,0,22
2,0,22
3,0,22
4,0,21
5,0,21
6,0,18
7,0,18
8,0,15
9,0,15
10,0,15
11,0,11
12,0,6
13,0,6
3,1,22
4,1,21
5,1,21
6,1,18
7,1,18
8,1,15
9,1,15
10,1,15
11,1,11
12,1,6
13,1,6
3,2,22
4,2,21
5,2,21
6,2,18
7,2,18
8,2,15
9,2,15
10,2,15
11,2,11
12,2,6
13,2,6
4,3,21
5,3,21
6,3,18
7,3,18
8,3,15
9,3,15
10,3,15
11,3,11
12,3,6
13,3,6
5,4,16
6,4,14
7,4,14
8,4,12
9,4,12
10,4,12
11,4,9
12,4,5
13,4,5
6,5,14
7,5,14
8,5,12
9,5,12
10,5,12
11,5,9
12,5,5
13,5,5
7,6,10
8,6,9
9,6,9
10,6,9
11,6,7
12,6,4
13,6,4
8,7,9
9,7,9
10,7,9
11,7,7
12,7,4
13,7,4
9,8,6
10,8,6
11,8,5
12,8,3
13,8,3
10,9,6
11,9,5
12,9,3
13,9,3
11,10,5
12,10,3
13,10,3
12,11,2
13,11,2
13,12,1
