extraction,extractedLOC,extractedMethodCC
0,54,22
1,49,21
2,48,21
3,47,21
4,45,21
5,8,4
6,7,4
7,53,22
8,48,21
9,47,21
10,46,21
11,44,21
12,35,15
13,33,15
14,9,4
15,7,4
16,6,4
17,4,2
18,3,2
19,3,2
20,2,2
21,47,18
22,42,17
23,41,17
24,40,17
25,38,17
26,29,11
27,27,11
28,45,18
29,40,17
30,39,17
31,38,17
32,36,17
33,27,11
34,25,11
35,44,18
36,39,17
37,38,17
38,37,17
39,35,17
40,26,11
41,24,11
42,43,18
43,38,17
44,37,17
45,36,17
46,34,17
47,25,11
48,23,11
49,41,18
50,36,17
51,35,17
52,34,17
53,32,17
54,23,11
55,21,11
56,19,6
57,17,6
58,13,5
59,18,6
60,16,6
61,12,5
62,16,6
63,14,6
64,10,5
65,8,2
66,4,1
67,7,2
68,3,1
69,4,1
70,5,1
71,3,1
72,19,7
73,14,6
74,13,6
75,12,6
76,10,6
77,18,7
78,13,6
79,12,6
80,11,6
81,9,6
82,7,3
83,6,3
84,6,3
85,5,3
86,3,1
87,2,1
88,8,1
89,7,1
90,6,1
91,4,1
