NestedExtraction,AncestorExtraction,CCR
1,0,59
2,0,59
3,0,58
4,0,39
5,0,1
6,0,58
7,0,58
8,0,58
9,0,57
10,0,38
11,0,37
12,0,37
13,0,37
14,0,37
15,0,37
16,0,37
17,0,2
18,0,35
19,0,35
20,0,3
21,0,3
22,0,29
23,0,22
24,0,16
25,0,9
26,0,6
27,0,3
28,0,26
29,0,19
30,0,13
31,0,6
32,0,3
33,0,26
34,0,19
35,0,13
36,0,6
37,0,3
38,0,3
39,0,3
40,0,26
41,0,19
42,0,13
43,0,6
44,0,3
45,0,3
46,0,3
47,0,23
48,0,16
49,0,10
50,0,3
51,0,23
52,0,16
53,0,10
54,0,3
55,0,23
56,0,16
57,0,13
58,0,13
59,0,10
60,0,10
61,0,3
62,0,23
63,0,16
64,0,13
65,0,13
66,0,10
67,0,10
68,0,3
69,0,20
70,0,13
71,0,10
72,0,10
73,0,7
74,0,7
75,0,4
76,0,4
77,0,4
78,0,4
79,0,4
80,0,4
81,0,4
82,0,4
83,0,13
84,0,6
85,0,3
86,0,3
87,0,13
88,0,6
89,0,3
90,0,3
91,0,10
92,0,3
93,0,10
94,0,3
95,0,7
96,0,4
97,0,4
98,0,4
99,0,4
100,0,4
101,0,4
102,0,4
103,0,4
104,0,4
105,0,20
106,0,20
107,0,20
108,0,19
109,0,18
110,0,16
111,0,18
112,0,16
113,0,18
114,0,16
115,0,18
116,0,16
117,0,14
118,0,3
119,0,11
120,0,8
121,0,4
122,0,8
123,0,4
124,0,4
125,0,2
126,0,1
127,0,1
128,0,1
2,1,59
3,1,58
4,1,39
5,1,1
7,1,58
8,1,58
9,1,57
10,1,38
11,1,37
12,1,37
13,1,37
14,1,37
15,1,37
16,1,37
17,1,2
18,1,35
19,1,35
20,1,3
21,1,3
22,1,29
23,1,22
24,1,16
25,1,9
26,1,6
27,1,3
28,1,26
29,1,19
30,1,13
31,1,6
32,1,3
33,1,26
34,1,19
35,1,13
36,1,6
37,1,3
38,1,3
39,1,3
40,1,26
41,1,19
42,1,13
43,1,6
44,1,3
45,1,3
46,1,3
47,1,23
48,1,16
49,1,10
50,1,3
51,1,23
52,1,16
53,1,10
54,1,3
55,1,23
56,1,16
57,1,13
58,1,13
59,1,10
60,1,10
61,1,3
62,1,23
63,1,16
64,1,13
65,1,13
66,1,10
67,1,10
68,1,3
69,1,20
70,1,13
71,1,10
72,1,10
73,1,7
74,1,7
75,1,4
76,1,4
77,1,4
78,1,4
79,1,4
80,1,4
81,1,4
82,1,4
83,1,13
84,1,6
85,1,3
86,1,3
87,1,13
88,1,6
89,1,3
90,1,3
91,1,10
92,1,3
93,1,10
94,1,3
95,1,7
96,1,4
97,1,4
98,1,4
99,1,4
100,1,4
101,1,4
102,1,4
103,1,4
104,1,4
106,1,20
107,1,20
108,1,19
109,1,18
110,1,16
111,1,18
112,1,16
113,1,18
114,1,16
115,1,18
116,1,16
117,1,14
118,1,3
119,1,11
120,1,8
121,1,4
122,1,8
123,1,4
124,1,4
125,1,2
127,1,1
128,1,1
3,2,58
4,2,39
5,2,1
8,2,58
9,2,57
10,2,38
11,2,37
12,2,37
13,2,37
14,2,37
15,2,37
16,2,37
17,2,2
18,2,35
19,2,35
20,2,3
21,2,3
22,2,29
23,2,22
24,2,16
25,2,9
26,2,6
27,2,3
28,2,26
29,2,19
30,2,13
31,2,6
32,2,3
33,2,26
34,2,19
35,2,13
36,2,6
37,2,3
38,2,3
39,2,3
40,2,26
41,2,19
42,2,13
43,2,6
44,2,3
45,2,3
46,2,3
47,2,23
48,2,16
49,2,10
50,2,3
51,2,23
52,2,16
53,2,10
54,2,3
55,2,23
56,2,16
57,2,13
58,2,13
59,2,10
60,2,10
61,2,3
62,2,23
63,2,16
64,2,13
65,2,13
66,2,10
67,2,10
68,2,3
