extraction,extractedLOC,extractedMethodCC,parameters
0,164,61,2
1,10,3,0
2,163,61,2
3,9,3,0
4,161,61,3
5,7,3,0
6,159,61,3
7,5,3,0
8,3,1,0
9,153,58,3
10,146,57,3
11,145,57,3
12,143,57,3
13,142,57,3
14,141,57,3
15,139,57,3
16,138,57,3
17,137,57,3
18,135,57,3
19,110,47,2
20,109,47,2
21,107,47,2
22,92,39,2
23,91,39,2
24,89,39,2
25,11,2,2
26,9,2,2
27,7,2,2
28,5,2,2
29,2,1,2
30,143,56,2
31,142,56,2
32,140,56,2
33,139,56,2
34,138,56,2
35,136,56,2
36,135,56,2
37,134,56,2
38,132,56,2
39,107,46,1
40,106,46,1
41,104,46,1
42,89,38,1
43,88,38,1
44,86,38,1
45,8,1,1
46,6,1,1
47,4,1,1
48,2,1,1
49,140,55,2
50,139,55,2
51,137,55,2
52,136,55,2
53,135,55,2
54,133,55,2
55,132,55,2
56,131,55,2
57,129,55,2
58,104,45,1
59,103,45,1
60,101,45,1
61,86,37,1
62,85,37,1
63,83,37,1
64,138,55,2
65,137,55,2
66,135,55,2
67,134,55,2
68,133,55,2
69,131,55,2
70,130,55,2
71,129,55,2
72,127,55,2
73,102,45,1
74,101,45,1
75,99,45,1
76,84,37,1
77,83,37,1
78,81,37,1
79,136,55,2
80,135,55,2
81,133,55,2
82,132,55,2
83,131,55,2
84,129,55,2
85,128,55,2
86,127,55,2
87,125,55,2
88,100,45,1
89,99,45,1
90,97,45,1
91,82,37,1
92,81,37,1
93,79,37,1
94,134,55,3
95,133,55,3
96,131,55,3
97,130,55,3
98,129,55,3
99,127,55,3
100,126,55,3
101,125,55,3
102,123,55,3
103,98,45,2
104,97,45,2
105,95,45,2
106,80,37,2
107,79,37,2
108,77,37,2
109,75,28,3
110,74,28,3
111,72,28,2
112,73,28,4
113,72,28,4
114,70,28,3
115,71,28,4
116,70,28,4
117,68,28,3
118,70,28,5
119,69,28,5
120,67,28,4
121,65,20,4
122,45,10,4
123,25,8,3
124,44,10,4
125,24,8,3
126,43,10,4
127,23,8,3
128,41,10,4
129,21,8,3
130,17,8,3
131,16,8,2
132,15,8,3
133,14,8,3
134,13,8,4
135,12,8,5
136,7,5,2
137,6,5,2
138,3,1,2
139,2,1,2
140,19,2,3
141,13,1,2
142,12,1,2
143,11,1,2
144,9,1,2
145,8,1,2
146,7,1,1
147,12,1,2
148,11,1,2
149,10,1,2
150,8,1,2
151,7,1,2
152,6,1,1
153,10,1,1
154,9,1,1
155,8,1,1
156,6,1,1
157,5,1,1
158,4,1,0
159,9,1,2
160,8,1,2
161,7,1,2
162,5,1,2
163,4,1,2
164,3,1,1
165,19,4,3
166,15,1,3
167,56,18,2
168,55,18,2
169,53,18,2
170,52,18,2
171,51,18,2
172,49,18,2
173,48,18,2
174,47,18,2
175,45,18,2
176,20,8,0
177,19,8,0
178,17,8,0
179,55,18,2
180,54,18,2
181,52,18,2
182,51,18,2
183,50,18,2
184,48,18,2
185,47,18,2
186,46,18,2
187,44,18,2
188,19,8,0
189,18,8,0
190,16,8,0
191,54,18,2
192,53,18,2
193,51,18,2
194,50,18,2
195,49,18,2
196,47,18,2
197,46,18,2
198,45,18,2
199,43,18,2
200,18,8,0
201,17,8,0
202,15,8,0
203,13,4,1
204,12,4,1
205,8,3,1
206,11,4,2
207,7,3,2
208,5,1,3
209,2,1,3
210,4,1,2
211,38,10,2
212,37,10,2
213,35,10,2
214,34,10,2
215,33,10,2
216,31,10,2
217,30,10,2
218,29,10,2
219,27,10,2
220,37,10,2
221,36,10,2
222,34,10,2
223,33,10,2
224,32,10,2
225,30,10,2
226,29,10,2
227,28,10,2
228,26,10,2
229,35,10,2
230,34,10,2
231,32,10,2
232,31,10,2
233,30,10,2
234,28,10,2
235,27,10,2
236,26,10,2
237,24,10,2
238,22,6,3
239,20,3,3
240,19,3,3
241,17,3,2
242,19,3,3
243,18,3,3
244,16,3,2
245,14,1,2
246,13,1,2
247,11,1,2
