NestedExtraction,AncestorExtraction,CCR
1,0,35
2,0,35
3,0,35
4,0,35
5,0,35
6,0,35
7,0,35
8,0,35
9,0,35
10,0,35
11,0,35
12,0,12
13,0,8
14,0,4
15,0,8
16,0,4
17,0,4
18,0,12
19,0,8
20,0,4
21,0,8
22,0,4
23,0,4
24,0,8
25,0,8
26,0,8
27,0,7
28,0,4
2,1,35
4,1,35
5,1,35
7,1,35
8,1,35
10,1,35
11,1,35
12,1,12
13,1,8
14,1,4
15,1,8
16,1,4
17,1,4
18,1,12
19,1,8
20,1,4
21,1,8
22,1,4
23,1,4
25,1,8
26,1,8
27,1,7
28,1,4
5,2,35
8,2,35
11,2,35
12,2,12
13,2,8
14,2,4
15,2,8
16,2,4
17,2,4
18,2,12
19,2,8
20,2,4
21,2,8
22,2,4
23,2,4
26,2,8
27,2,7
28,2,4
4,3,35
5,3,35
6,3,35
7,3,35
8,3,35
9,3,35
10,3,35
11,3,35
12,3,12
13,3,8
14,3,4
15,3,8
16,3,4
17,3,4
18,3,12
19,3,8
20,3,4
21,3,8
22,3,4
23,3,4
24,3,8
25,3,8
26,3,8
27,3,7
28,3,4
5,4,35
7,4,35
8,4,35
10,4,35
11,4,35
12,4,12
13,4,8
14,4,4
15,4,8
16,4,4
17,4,4
18,4,12
19,4,8
20,4,4
21,4,8
22,4,4
23,4,4
25,4,8
26,4,8
27,4,7
28,4,4
8,5,35
11,5,35
12,5,12
13,5,8
14,5,4
15,5,8
16,5,4
17,5,4
18,5,12
19,5,8
20,5,4
21,5,8
22,5,4
23,5,4
26,5,8
27,5,7
28,5,4
7,6,35
8,6,35
9,6,35
10,6,35
11,6,35
12,6,12
13,6,8
14,6,4
15,6,8
16,6,4
17,6,4
18,6,12
19,6,8
20,6,4
21,6,8
22,6,4
23,6,4
24,6,8
25,6,8
26,6,8
27,6,7
28,6,4
8,7,35
10,7,35
11,7,35
12,7,12
13,7,8
14,7,4
15,7,8
16,7,4
17,7,4
18,7,12
19,7,8
20,7,4
21,7,8
22,7,4
23,7,4
25,7,8
26,7,8
27,7,7
28,7,4
11,8,35
12,8,12
13,8,8
14,8,4
15,8,8
16,8,4
17,8,4
18,8,12
19,8,8
20,8,4
21,8,8
22,8,4
23,8,4
26,8,8
27,8,7
28,8,4
10,9,35
11,9,35
12,9,12
13,9,8
14,9,4
15,9,8
16,9,4
17,9,4
18,9,12
19,9,8
20,9,4
21,9,8
22,9,4
23,9,4
24,9,8
25,9,8
26,9,8
27,9,7
28,9,4
11,10,35
12,10,12
13,10,8
14,10,4
15,10,8
16,10,4
17,10,4
18,10,12
19,10,8
20,10,4
21,10,8
22,10,4
23,10,4
25,10,8
26,10,8
27,10,7
28,10,4
12,11,12
13,11,8
14,11,4
15,11,8
16,11,4
17,11,4
18,11,12
19,11,8
20,11,4
21,11,8
22,11,4
23,11,4
26,11,8
27,11,7
28,11,4
13,12,4
14,12,2
15,12,4
16,12,2
17,12,2
14,13,2
16,13,2
16,15,2
17,15,2
19,18,4
20,18,2
21,18,4
22,18,2
23,18,2
20,19,2
22,19,2
22,21,2
23,21,2
25,24,8
26,24,8
27,24,7
28,24,4
26,25,8
27,25,7
28,25,4
27,26,7
28,26,4
28,27,3
