ExtractionA,ExtractionB
1,17
1,36
1,55
1,74
1,93
1,112
1,129
1,149
1,160
1,171
1,182
1,193
1,204
1,215
1,225
1,234
1,242
1,249
1,255
1,265
1,273
2,17
2,18
2,36
2,37
2,55
2,56
2,74
2,75
2,93
2,94
2,112
2,113
2,129
2,130
2,149
2,150
2,160
2,161
2,171
2,172
2,182
2,183
2,193
2,194
2,204
2,205
2,215
2,216
2,225
2,226
2,234
2,235
2,242
2,243
2,249
2,250
2,255
2,256
2,265
2,266
2,273
2,274
3,17
3,18
3,19
3,36
3,37
3,38
3,55
3,56
3,57
3,74
3,75
3,76
3,93
3,94
3,95
3,112
3,113
3,114
3,129
3,130
3,131
3,149
3,150
3,151
3,160
3,161
3,162
3,171
3,172
3,173
3,182
3,183
3,184
3,193
3,194
3,195
3,204
3,205
3,206
3,215
3,216
3,217
3,225
3,226
3,227
3,234
3,235
3,236
3,242
3,243
3,244
3,249
3,250
3,251
3,255
3,256
3,257
3,265
3,266
3,267
4,17
4,18
4,19
4,20
4,21
4,36
4,37
4,38
4,39
4,40
4,55
4,56
4,57
4,58
4,59
4,74
4,75
4,76
4,77
4,78
4,93
4,94
4,95
4,96
4,97
4,112
4,113
4,114
4,115
4,116
4,129
4,130
4,131
4,132
4,133
4,149
4,150
4,151
4,152
4,153
4,160
4,161
4,162
4,163
4,164
4,171
4,172
4,173
4,174
4,175
4,182
4,183
4,184
4,185
4,186
4,193
4,194
4,195
4,196
4,197
4,204
4,205
4,206
4,207
4,208
4,215
4,216
4,217
4,218
4,219
4,225
4,226
4,227
4,228
4,229
4,234
4,235
4,236
4,237
4,238
4,242
4,243
4,244
4,245
4,246
4,249
4,250
4,251
4,252
4,253
5,17
5,18
5,19
5,20
5,21
5,22
5,36
5,37
5,38
5,39
5,40
5,41
5,55
5,56
5,57
5,58
5,59
5,60
5,74
5,75
5,76
5,77
5,78
5,79
5,93
5,94
5,95
5,96
5,97
5,98
5,112
5,113
5,114
5,115
5,116
5,117
5,129
5,130
5,131
5,132
5,133
5,134
5,149
5,150
5,151
5,152
5,153
5,154
5,160
5,161
5,162
5,163
5,164
5,165
5,171
5,172
5,173
5,174
5,175
5,176
5,182
5,183
5,184
5,185
5,186
5,187
5,193
5,194
5,195
5,196
5,197
5,198
5,204
5,205
5,206
5,207
5,208
5,209
5,215
5,216
5,217
5,218
5,219
5,220
5,225
5,226
5,227
5,228
5,229
5,230
5,234
5,235
5,236
5,237
5,238
5,239
5,242
5,243
5,244
5,245
5,246
5,247
6,17
6,18
6,19
6,20
6,21
6,22
6,23
6,36
6,37
6,38
6,39
6,40
6,41
6,42
6,55
6,56
6,57
6,58
6,59
6,60
6,61
6,74
6,75
6,76
6,77
6,78
6,79
6,80
6,93
6,94
6,95
6,96
6,97
6,98
6,99
6,112
6,113
6,114
6,115
6,116
6,117
6,118
6,129
6,130
6,131
6,132
6,133
6,134
6,135
6,149
6,150
6,151
6,152
6,153
6,154
6,155
6,160
6,161
6,162
6,163
6,164
6,165
6,166
6,171
6,172
6,173
6,174
6,175
6,176
6,177
6,182
6,183
6,184
6,185
6,186
6,187
6,188
6,193
6,194
6,195
6,196
6,197
6,198
6,199
6,204
6,205
6,206
6,207
6,208
6,209
6,210
6,215
6,216
6,217
6,218
6,219
6,220
6,221
6,225
6,226
6,227
6,228
6,229
6,230
6,231
6,234
6,235
6,236
6,237
6,238
6,239
6,240
7,17
7,18
7,19
7,20
7,21
7,22
7,23
7,24
7,36
7,37
7,38
7,39
7,40
7,41
7,42
7,43
7,55
7,56
7,57
7,58
7,59
7,60
7,61
7,62
7,74
7,75
7,76
7,77
7,78
7,79
7,80
7,81
7,93
7,94
7,95
7,96
7,97
7,98
7,99
7,100
7,112
7,113
7,114
7,115
7,116
7,117
7,118
7,119
7,129
7,130
7,131
7,132
7,133
7,134
7,135
7,136
7,149
7,150
7,151
7,152
7,153
7,154
7,155
7,156
7,160
7,161
7,162
7,163
7,164
7,165
7,166
7,167
7,171
7,172
7,173
7,174
7,175
7,176
7,177
7,178
7,182
7,183
7,184
7,185
7,186
7,187
7,188
7,189
7,193
7,194
7,195
7,196
7,197
7,198
7,199
7,200
7,204
7,205
7,206
7,207
7,208
7,209
7,210
7,211
7,215
7,216
7,217
7,218
7,219
7,220
7,221
7,222
7,225
7,226
7,227
7,228
7,229
7,230
7,231
7,232
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,36
8,37
8,38
8,39
8,40
8,41
8,42
8,43
8,44
8,55
8,56
8,57
8,58
8,59
8,60
8,61
8,62
8,63
8,74
8,75
8,76
8,77
8,78
8,79
8,80
8,81
8,82
8,93
8,94
8,95
8,96
8,97
8,98
8,99
8,100
8,101
8,112
8,113
8,114
8,115
8,116
8,117
8,118
8,119
8,120
8,129
8,130
8,131
8,132
8,133
8,134
8,135
8,136
8,137
8,149
8,150
8,151
8,152
8,153
8,154
8,155
8,156
8,157
8,160
8,161
8,162
8,163
8,164
8,165
8,166
8,167
8,168
8,171
8,172
8,173
8,174
8,175
8,176
8,177
8,178
8,179
8,182
8,183
8,184
8,185
8,186
8,187
8,188
8,189
8,190
8,193
8,194
8,195
8,196
