extraction,A,B
0,2021,5187
1,2021,5051
2,2021,4986
3,2021,4739
4,2021,3714
5,2021,3578
6,2021,3505
7,2021,3343
8,2021,3211
9,2021,3043
10,2021,2872
11,2021,2849
12,2021,2793
13,2021,2765
14,2021,2742
15,2021,2717
16,2021,2374
17,2081,5187
18,2081,5051
19,2081,4986
20,2081,4739
21,2081,4450
22,2081,3714
23,2081,3578
24,2081,3505
25,2081,3343
26,2081,3211
27,2081,3043
28,2081,2872
29,2081,2849
30,2081,2793
31,2081,2765
32,2081,2742
33,2081,2717
34,2081,2430
35,2081,2374
36,2121,5187
37,2121,5051
38,2121,4986
39,2121,4739
40,2121,4450
41,2121,3714
42,2121,3578
43,2121,3505
44,2121,3343
45,2121,3211
46,2121,3043
47,2121,2872
48,2121,2849
49,2121,2793
50,2121,2765
51,2121,2742
52,2121,2717
53,2121,2430
54,2121,2374
55,2168,5187
56,2168,5051
57,2168,4986
58,2168,4739
59,2168,4450
60,2168,3714
61,2168,3578
62,2168,3505
63,2168,3343
64,2168,3211
65,2168,3043
66,2168,2872
67,2168,2849
68,2168,2793
69,2168,2765
70,2168,2742
71,2168,2717
72,2168,2430
73,2168,2374
74,2192,5187
75,2192,5051
76,2192,4986
77,2192,4739
78,2192,4450
79,2192,3714
80,2192,3578
81,2192,3505
82,2192,3343
83,2192,3211
84,2192,3043
85,2192,2872
86,2192,2849
87,2192,2793
88,2192,2765
89,2192,2742
90,2192,2717
91,2192,2430
92,2192,2374
93,2220,5187
94,2220,5051
95,2220,4986
96,2220,4739
97,2220,4450
98,2220,3714
99,2220,3578
100,2220,3505
101,2220,3343
102,2220,3211
103,2220,3043
104,2220,2872
105,2220,2849
106,2220,2793
107,2220,2765
108,2220,2742
109,2220,2717
110,2220,2430
111,2220,2374
112,2384,5187
113,2384,5051
114,2384,4986
115,2384,4739
116,2384,4450
117,2384,3714
118,2384,3578
119,2384,3505
120,2384,3343
121,2384,3211
122,2384,3043
123,2384,2872
124,2384,2849
125,2384,2793
126,2384,2765
127,2384,2742
128,2384,2717
129,2439,5187
130,2439,5051
131,2439,4986
132,2439,4739
133,2439,4450
134,2439,3714
135,2439,3578
136,2439,3505
137,2439,3343
138,2439,3211
139,2439,3043
140,2439,2872
141,2439,2849
142,2439,2793
143,2439,2765
144,2439,2742
145,2439,2717
146,2481,2707
147,2520,2707
148,2565,2707
149,2726,5187
150,2726,5051
151,2726,4986
152,2726,4739
153,2726,4450
154,2726,3714
155,2726,3578
156,2726,3505
157,2726,3343
158,2726,3211
159,2726,3043
160,2751,5187
161,2751,5051
162,2751,4986
163,2751,4739
164,2751,4450
165,2751,3714
166,2751,3578
167,2751,3505
168,2751,3343
169,2751,3211
170,2751,3043
171,2774,5187
172,2774,5051
173,2774,4986
174,2774,4739
175,2774,4450
176,2774,3714
177,2774,3578
178,2774,3505
179,2774,3343
180,2774,3211
181,2774,3043
182,2802,5187
183,2802,5051
184,2802,4986
185,2802,4739
186,2802,4450
187,2802,3714
188,2802,3578
189,2802,3505
190,2802,3343
191,2802,3211
192,2802,3043
193,2858,5187
194,2858,5051
195,2858,4986
196,2858,4739
197,2858,4450
198,2858,3714
199,2858,3578
200,2858,3505
201,2858,3343
202,2858,3211
203,2858,3043
204,2882,5187
205,2882,5051
206,2882,4986
207,2882,4739
208,2882,4450
209,2882,3714
210,2882,3578
211,2882,3505
212,2882,3343
213,2882,3211
214,2882,3043
215,3053,5187
216,3053,5051
217,3053,4986
218,3053,4739
219,3053,4450
220,3053,3714
221,3053,3578
222,3053,3505
223,3053,3343
224,3053,3211
225,3221,5187
226,3221,5051
227,3221,4986
228,3221,4739
229,3221,4450
230,3221,3714
231,3221,3578
232,3221,3505
233,3221,3343
234,3353,5187
235,3353,5051
236,3353,4986
237,3353,4739
238,3353,4450
239,3353,3714
240,3353,3578
241,3353,3505
242,3514,5187
243,3514,5051
244,3514,4986
245,3514,4739
246,3514,4450
247,3514,3714
248,3514,3578
249,3587,5187
250,3587,5051
251,3587,4986
252,3587,4739
253,3587,4450
254,3587,3714
255,3724,5187
256,3724,5051
257,3724,4986
258,3724,4739
259,3724,4450
260,3779,4440
261,3823,4440
262,3938,4426
263,3993,4426
264,4083,4426
265,4460,5187
266,4460,5051
267,4460,4986
268,4460,4739
269,4508,4729
270,4508,4702
271,4590,4729
272,4590,4702
273,4749,5187
274,4749,5051
275,4749,4986
276,4785,4976
277,4812,4976
