NestedExtraction,AncestorExtraction,CCR
1,0,43
2,0,14
3,0,14
4,0,14
5,0,11
6,0,11
7,0,11
8,0,4
9,0,4
10,0,4
11,0,13
12,0,2
13,0,2
14,0,9
15,0,7
16,0,7
17,0,7
18,0,4
19,0,4
2,1,14
3,1,14
4,1,14
5,1,11
6,1,11
7,1,11
8,1,4
9,1,4
10,1,4
11,1,13
12,1,2
13,1,2
14,1,9
15,1,7
16,1,7
17,1,7
18,1,4
19,1,4
3,2,10
4,2,10
5,2,8
6,2,8
7,2,8
8,2,3
9,2,3
10,2,3
4,3,10
5,3,8
6,3,8
7,3,8
8,3,3
9,3,3
10,3,3
5,4,5
6,4,5
7,4,5
8,4,2
9,4,2
10,4,2
6,5,5
7,5,5
8,5,2
9,5,2
10,5,2
7,6,5
8,6,2
9,6,2
10,6,2
8,7,2
9,7,2
10,7,2
9,8,1
10,8,1
10,9,1
12,11,2
13,11,2
14,11,9
15,11,7
16,11,7
17,11,7
18,11,4
19,11,4
13,12,1
15,14,7
16,14,7
17,14,7
18,14,4
19,14,4
16,15,5
17,15,5
18,15,3
19,15,3
17,16,5
18,16,3
19,16,3
18,17,3
19,17,3
19,18,2
