NestedExtraction,AncestorExtraction,CCR
1,0,20
2,0,20
3,0,20
4,0,20
5,0,2
6,0,20
7,0,2
8,0,20
9,0,2
10,0,20
11,0,2
12,0,20
13,0,2
14,0,18
15,0,16
16,0,13
17,0,13
18,0,16
19,0,13
20,0,13
21,0,16
22,0,13
23,0,13
24,0,16
25,0,13
26,0,13
27,0,12
28,0,11
29,0,11
30,0,12
31,0,11
32,0,11
33,0,11
34,0,9
35,0,2
36,0,2
37,0,2
38,0,12
39,0,11
40,0,11
41,0,11
42,0,9
43,0,2
44,0,2
45,0,2
46,0,10
47,0,9
48,0,9
49,0,9
50,0,7
51,0,10
52,0,9
53,0,9
54,0,9
55,0,8
56,0,8
57,0,7
58,0,7
59,0,7
60,0,10
61,0,9
62,0,9
63,0,9
64,0,8
65,0,8
66,0,7
67,0,7
68,0,7
69,0,7
70,0,5
71,0,7
72,0,5
73,0,3
74,0,2
75,0,3
76,0,2
77,0,2
78,0,2
79,0,1
80,0,1
81,0,3
82,0,2
83,0,2
84,0,2
85,0,1
86,0,1
87,0,3
88,0,2
89,0,2
90,0,2
91,0,1
92,0,1
93,0,1
94,0,1
95,0,2
96,0,1
97,0,1
98,0,1
99,0,2
100,0,1
101,0,1
102,0,1
103,0,1
104,0,1
105,0,1
106,0,1
107,0,1
108,0,3
109,0,3
2,1,20
3,1,20
4,1,20
5,1,2
6,1,20
7,1,2
8,1,20
9,1,2
10,1,20
11,1,2
12,1,20
13,1,2
14,1,18
15,1,16
16,1,13
17,1,13
18,1,16
19,1,13
20,1,13
21,1,16
22,1,13
23,1,13
24,1,16
25,1,13
26,1,13
27,1,12
28,1,11
29,1,11
30,1,12
31,1,11
32,1,11
33,1,11
34,1,9
35,1,2
36,1,2
37,1,2
38,1,12
39,1,11
40,1,11
41,1,11
42,1,9
43,1,2
44,1,2
45,1,2
46,1,10
47,1,9
48,1,9
49,1,9
50,1,7
51,1,10
52,1,9
53,1,9
54,1,9
55,1,8
56,1,8
57,1,7
58,1,7
59,1,7
60,1,10
61,1,9
62,1,9
63,1,9
64,1,8
65,1,8
66,1,7
67,1,7
68,1,7
69,1,7
70,1,5
71,1,7
72,1,5
73,1,3
74,1,2
75,1,3
76,1,2
77,1,2
78,1,2
79,1,1
80,1,1
81,1,3
82,1,2
83,1,2
84,1,2
85,1,1
86,1,1
87,1,3
88,1,2
89,1,2
90,1,2
91,1,1
92,1,1
93,1,1
94,1,1
95,1,2
96,1,1
97,1,1
98,1,1
99,1,2
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,3
109,1,3
3,2,20
4,2,20
5,2,2
6,2,20
7,2,2
8,2,20
9,2,2
10,2,20
11,2,2
12,2,20
13,2,2
14,2,18
15,2,16
16,2,13
17,2,13
18,2,16
19,2,13
20,2,13
21,2,16
22,2,13
23,2,13
24,2,16
25,2,13
26,2,13
27,2,12
28,2,11
29,2,11
30,2,12
31,2,11
32,2,11
33,2,11
34,2,9
35,2,2
36,2,2
37,2,2
38,2,12
39,2,11
40,2,11
41,2,11
42,2,9
43,2,2
44,2,2
45,2,2
46,2,10
47,2,9
48,2,9
49,2,9
50,2,7
51,2,10
52,2,9
53,2,9
54,2,9
55,2,8
56,2,8
57,2,7
58,2,7
59,2,7
60,2,10
61,2,9
62,2,9
63,2,9
64,2,8
65,2,8
66,2,7
67,2,7
68,2,7
69,2,7
70,2,5
71,2,7
72,2,5
73,2,3
74,2,2
75,2,3
76,2,2
77,2,2
78,2,2
79,2,1
80,2,1
81,2,3
82,2,2
83,2,2
84,2,2
85,2,1
86,2,1
