extraction,extractedLOC,extractedMethodCC,parameters
0,107,20,2
1,106,20,3
2,105,20,4
3,104,20,5
4,103,20,6
5,10,2,3
6,102,20,7
7,9,2,3
8,100,20,6
9,7,2,2
10,99,20,5
11,6,2,1
12,97,20,5
13,4,2,0
14,92,18,5
15,87,16,5
16,77,13,5
17,75,13,5
18,86,16,4
19,76,13,4
20,74,13,4
21,84,16,4
22,74,13,4
23,72,13,4
24,83,16,5
25,73,13,5
26,71,13,5
27,66,12,4
28,63,11,3
29,62,11,3
30,65,12,5
31,62,11,4
32,61,11,4
33,59,11,4
34,39,9,3
35,21,2,3
36,20,2,3
37,18,2,3
38,63,12,5
39,60,11,4
40,59,11,4
41,57,11,4
42,37,9,3
43,19,2,3
44,18,2,3
45,16,2,3
46,46,10,3
47,43,9,2
48,42,9,2
49,40,9,2
50,20,7,1
51,45,10,3
52,42,9,2
53,41,9,2
54,39,9,2
55,32,8,2
56,30,8,2
57,21,7,1
58,19,7,1
59,18,7,1
60,43,10,3
61,40,9,2
62,39,9,2
63,37,9,2
64,30,8,2
65,28,8,2
66,19,7,1
67,17,7,1
68,16,7,1
69,14,4,1
70,8,3,0
71,13,4,2
72,7,3,1
73,5,1,0
74,5,1,1
75,27,3,4
76,24,2,3
77,23,2,3
78,21,2,3
79,14,1,3
80,12,1,3
81,25,3,3
82,22,2,2
83,21,2,2
84,19,2,2
85,12,1,2
86,10,1,2
87,22,3,4
88,19,2,3
89,18,2,3
90,16,2,2
91,9,1,2
92,7,1,2
93,3,1,2
94,2,1,2
95,14,2,4
96,11,1,3
97,10,1,3
98,8,1,2
99,13,2,4
100,10,1,3
101,9,1,3
102,7,1,2
103,3,1,2
104,2,1,2
105,5,1,3
106,4,1,2
107,2,1,2
108,11,3,3
109,9,3,2
